,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
44,FNMA,Federal National Mortgage Association,,6.02 +0.34 (+5.99%),0.34,+5.99%,3.332M,16.94M,6.972B,-,213.89%,
45,EAT,"Brinker International, Inc.",,141.41 +7.95 (+5.96%),7.95,+5.96%,1.252M,1.39M,6.28B,24.59,183.35%,
46,OWL,Blue Owl Capital Inc.,,21.01 +1.18 (+5.95%),1.18,+5.95%,13.361M,6.388M,32.089B,105.05,10.54%,
47,RCL,Royal Caribbean Cruises Ltd.,,215.12 +11.74 (+5.77%),11.74,+5.77%,2.214M,2.689M,57.895B,19.66,50.06%,
48,SMCI,"Super Micro Computer, Inc.",,40.10 +2.20 (+5.80%),2.2,+5.80%,59.983M,72.264M,23.799B,17.43,-57.72%,
49,CVNA,Carvana Co.,,176.09 +9.57 (+5.75%),9.57,+5.75%,5.69M,4.179M,20.593B,111.45,92.69%,
50,CZR,"Caesars Entertainment, Inc.",,29.12 +1.56 (+5.66%),1.56,+5.66%,8.095M,4.999M,6.174B,-,-33.97%,
51,IESC,"IES Holdings, Inc.",,189.44 +10.07 (+5.61%),10.07,+5.61%,124241,224653,3.79B,17.64,62.37%,
52,MOD,Modine Manufacturing Company,,87.70 +4.66 (+5.61%),4.66,+5.61%,1.035M,1.317M,4.611B,29.53,-16.12%,
53,RYTM,"Rhythm Pharmaceuticals, Inc.",,55.21 +2.92 (+5.58%),2.92,+5.58%,688521,518650,3.491B,-,31.78%,
54,APH,Amphenol Corporation,,67.41 +3.56 (+5.58%),3.56,+5.58%,13.506M,7.607M,81.639B,35.11,13.91%,
55,SNEX,StoneX Group Inc.,,119.83 +6.32 (+5.57%),6.32,+5.57%,339648,235593,3.845B,14.32,65.61%,
56,CLSK,"CleanSpark, Inc.",,8.01 +0.42 (+5.53%),0.42,+5.53%,22.689M,23.468M,2.249B,-,-62.52%,
57,CAVA,"CAVA Group, Inc.",,81.00 +4.22 (+5.50%),4.22,+5.50%,3.355M,2.834M,9.363B,73.64,12.38%,
58,GH,"Guardant Health, Inc.",,46.24 +2.39 (+5.45%),2.39,+5.45%,2.256M,2.374M,5.707B,-,144.56%,
59,DRS,"Leonardo DRS, Inc.",,34.95 +1.80 (+5.43%),1.8,+5.43%,1.09M,730346,9.267B,43.69,50.07%,
60,W,Wayfair Inc.,,31.69 +1.62 (+5.39%),1.62,+5.39%,3.731M,3.74M,4.022B,-,-53.55%,
61,FIX,"Comfort Systems USA, Inc.",,357.53 +18.23 (+5.37%),18.23,+5.37%,523407,526663,12.711B,24.51,7.95%,
62,BIRK,Birkenstock Holding plc,,46.01 +2.34 (+5.36%),2.34,+5.36%,1.867M,1.616M,8.642B,35.95,-4.96%,
63,PAM,Pampa Energía S.A.,,79.95 +4.05 (+5.34%),4.05,+5.34%,202963,252108,5.285B,6.95,73.84%,
64,VRT,Vertiv Holdings Co,,89.17 +4.51 (+5.33%),4.51,+5.33%,7.107M,9.923M,33.954B,69.66,8.76%,
65,GGAL,Grupo Financiero Galicia S.A.,,57.72 +2.91 (+5.31%),2.91,+5.31%,971248,1.045M,11.312B,6.06,116.30%,
66,HGV,Hilton Grand Vacations Inc.,,38.15 +1.92 (+5.30%),1.92,+5.30%,861365,944343,3.635B,84.78,-21.19%,
67,GEV,GE Vernova Inc.,,335.80 +16.87 (+5.29%),16.87,+5.29%,2.777M,3.968M,92.648B,60.18,124.57%,
68,OSIS,"OSI Systems, Inc.",,202.83 +10.16 (+5.27%),10.16,+5.27%,360479,248817,3.407B,26.07,40.97%,
69,PENN,"PENN Entertainment, Inc.",,17.40 +0.87 (+5.26%),0.87,+5.26%,4.072M,4.569M,2.661B,-,-7.29%,
70,TEO,Telecom Argentina S.A.,,10.87 +0.54 (+5.23%),0.54,+5.23%,142657,219498,3.868B,4.94,29.61%,
71,AXON,"Axon Enterprise, Inc.",,568.11 +28.12 (+5.21%),28.12,+5.21%,539313,926441,44.12B,118.11,71.82%,
72,BROS,Dutch Bros Inc.,,66.29 +3.28 (+5.21%),3.28,+5.21%,5.348M,2.983M,10.222B,194.97,84.02%,
73,VERX,"Vertex, Inc.",,36.45 +1.80 (+5.19%),1.8,+5.19%,1.879M,1.302M,5.766B,-,15.69%,
74,JOBY,"Joby Aviation, Inc.",,6.49 +0.32 (+5.19%),0.32,+5.19%,8.825M,13.71M,5.113B,-,19.11%,
75,RIOT,"Riot Platforms, Inc.",,7.78 +0.38 (+5.14%),0.38,+5.14%,18.771M,29.079M,2.725B,22.88,-40.32%,
