,Unnamed: 0,Volume,Last,Chg,% Chg
0,Regencell Bioscience Holdings Ltd. (RGC),558.0K,7.29,3.09,73.57
1,E.W. Scripps Co. Cl A (SSP),4.2M,2.64,0.59,29.02
2,Aveanna Healthcare Holdings Inc. (AVAH),790.1K,4.79,1.05,28.07
3,Heidmar Maritime Holdings Corp. (HMR),11.8M,3.26,0.7,27.65
4,FreightCar America Inc. (RAIL),592.9K,7.87,1.64,26.25
5,MeiraGTx Holdings PLC (MGTX),3.0M,7.9,1.49,23.24
6,OptimizeRx Corp. (OPRX),1.0M,7.48,1.2,19.11
7,NextNav Inc. (NN),1.3M,12.02,1.75,17.04
8,Quantum Corp. (QMCO),462.6K,13.17,1.91,16.96
9,Intel Corp. (INTC),111.5M,24.16,3.48,16.8
10,Blade Air Mobility Inc. (BLDE),1.1M,3.27,0.44,15.55
11,D-Wave Quantum Inc. (QBTS),47.6M,6.69,0.87,14.97
12,Currenc Group Inc. (CURR),314.6K,3.44,0.45,15.02
13,Wang & Lee Group Inc. (WLGS),423.0K,3.58,0.46,14.74
14,Cibus Inc. (CBUS),183.4K,2.46,0.3,13.78
15,Claros Mortgage Trust Inc. (CMTG),544.8K,3.84,0.42,12.28
16,Yalla Group Ltd. ADR (YALA),751.2K,4.95,0.53,11.99
17,G-III Apparel Group Ltd. (GIII),367.2K,28.22,2.88,11.39
18,Fabrinet (FN),439.0K,224.8,22.93,11.36
19,Concrete Pumping Holdings Inc. (BBCP),171.1K,5.42,0.46,9.27
20,N-able Inc. (NABL),310.0K,7.8,0.65,9.09
21,Build-A-Bear Workshop Inc. (BBW),161.4K,38.58,3.08,8.68
22,Yatsen Holding Ltd. ADR (YSG),98.6K,4.66,0.35,8.12
23,SolarBank Corp. (SUUN),55.3K,4.7,0.35,8.05
24,Aris Mining Corp. (ARMN),434.9K,4.38,0.32,7.88
25,Dollar Tree Inc. (DLTR),1.7M,66.76,4.83,7.81
26,SenesTech Inc. (SNES),2.4M,2.48,0.18,7.76
27,Dollar General Corp. (DG),2.7M,80.5,5.66,7.56
28,Algoma Steel Group Inc. (ASTL),554.1K,6.25,0.43,7.39
29,Shoals Technologies Group Inc. (SHLS),1.8M,3.16,0.21,7.31
30,Savara Inc. (SVRA),536.0K,2.78,0.18,7.12
31,Unusual Machines Inc. (UMAC),195.8K,6.52,0.42,6.89
32,Ramaco Resources Inc. Cl A (METC),259.1K,9.46,0.6,6.77
33,Ceragon Networks Ltd. (CRNT),799.4K,2.66,0.17,6.63
34,CervoMed Inc. (CRVO),44.1M,6.57,0.4,6.48
35,Allegro MicroSystems Inc. (ALGM),1.2M,26.54,1.6,6.42
36,Upland Software Inc. (UPLD),104.9K,3.28,0.17,5.65
37,Mercury Systems Inc. (MRCY),95.1K,44.32,2.22,5.27
38,Telomir Pharmaceuticals Inc. (TELO),57.6K,5.2,0.26,5.26
39,ModivCare Inc. (MODV),131.3K,2.4,0.12,5.26
40,National CineMedia Inc. (NCMI),137.6K,5.82,0.29,5.24
41,Gray Media Inc. (GTN),465.4K,4.32,0.21,5.23
42,Arbutus Biopharma Corp. (ABUS),440.2K,3.36,0.17,5.17
43,MicroAlgo Inc. (MLGO),514.4K,4.16,0.2,5.17
44,Hallador Energy Co. (HNRG),232.0K,10.33,0.49,4.98
45,Arqit Quantum Inc. (ARQQ),122.0K,14.06,0.67,4.97
