,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
24,ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",,283.09 +24.60 (+9.52%),24.6,+9.52%,35218,50249,8.476B,13.52,-15.32%,
25,FNMAH,Federal National Mortgage Association,,8.90 +0.75 (+9.20%),0.75,+9.20%,21494,88540,12.667B,1271.43,144.74%,
26,NU,Nu Holdings Ltd.,,11.73 +0.98 (+9.12%),0.98,+9.12%,30.589M,48.955M,56.381B,29.32,-7.41%,
27,ROOT,"Root, Inc.",,146.52 +12.29 (+9.16%),12.29,+9.16%,769308,517183,2.227B,80.07,153.79%,
28,SMMT,Summit Therapeutics Inc.,,20.89 +1.70 (+8.86%),1.7,+8.86%,1.835M,2.504M,15.41B,-,315.37%,
29,FMCKJ,Federal Home Loan Mortgage Corporation,,10.76 +0.86 (+8.69%),0.86,+8.69%,121185,874774,7.349B,158.24,167.57%,
30,FUTU,Futu Holdings Limited,,117.00 +9.48 (+8.82%),9.48,+8.82%,3.634M,2.536M,16.137B,23.40,98.19%,
31,FMCKI,Federal Home Loan Mortgage Corporation,,8.70 +0.69 (+8.61%),0.69,+8.61%,18354,33014,6.554B,127.94,133.53%,
32,FNMAJ,Federal National Mortgage Association,,9.45 +0.73 (+8.35%),0.73,+8.35%,46301,37571,13.044B,1350.00,155.17%,
33,APP,AppLovin Corporation,,294.72 +22.72 (+8.35%),22.72,+8.35%,6.758M,6.975M,100.192B,64.92,330.86%,
34,PONY,Pony AI Inc.,,13.90 +1.09 (+8.55%),1.09,+8.55%,1.234M,1.333M,4.852B,-,6.75%,
35,BOLSY,"B3 S.A. - Brasil, Bolsa, Balcão",,6.50 +0.48 (+7.97%),0.48,+7.97%,64313,168140,11.439B,15.12,-13.91%,
36,HOOD,"Robinhood Markets, Inc.",,38.93 +2.91 (+8.08%),2.91,+8.08%,28.36M,31.166M,34.471B,24.96,98.46%,
37,ALAB,"Astera Labs, Inc.",,70.42 +5.10 (+7.81%),5.1,+7.81%,1.878M,5.45M,11.419B,-,5.30%,
38,PLTR,Palantir Technologies Inc.,,85.73 +6.11 (+7.67%),6.11,+7.67%,78.336M,99.307M,201.068B,451.21,238.95%,
39,BEKE,KE Holdings Inc.,,24.12 +1.68 (+7.51%),1.68,+7.51%,6.465M,8.132M,28.892B,49.23,59.94%,
40,ASAN,"Asana, Inc.",,13.87 +0.96 (+7.44%),0.96,+7.44%,2.074M,3.795M,3.172B,-,-19.11%,
41,FUN,Six Flags Entertainment Corporation,,37.65 +2.59 (+7.39%),2.59,+7.39%,561354,1.418M,3.779B,-,-18.48%,
42,FINMY,Leonardo S.p.a.,,25.82 +1.76 (+7.32%),1.76,+7.32%,32879,87722,29.767B,25.56,106.10%,
43,MARA,"MARA Holdings, Inc.",,13.01 +0.85 (+6.95%),0.85,+6.95%,30.46M,39.684M,4.497B,7.56,-37.06%,
44,LKNCY,Luckin Coffee Inc.,,34.18 +2.47 (+7.79%),2.47,+7.79%,1.586M,1.978M,9.598B,26.91,33.01%,
45,CSAN,Cosan S.A.,,5.28 +0.36 (+7.20%),0.36,+7.20%,966893,1.13M,2.456B,-,-62.31%,
46,CRDO,Credo Technology Group Holding Ltd,,48.15 +3.20 (+7.13%),3.2,+7.13%,2.752M,5.659M,8.177B,1605.17,136.21%,
47,CLF,Cleveland-Cliffs Inc.,,10.41 +0.69 (+7.04%),0.69,+7.04%,10.435M,18.281M,5.15B,-,-50.76%,
48,FNMAL,Federal National Mortgage Association,,17.40 +1.15 (+7.08%),1.15,+7.08%,18800,7937,13.019B,2485.71,175.42%,
49,FMCKM,Federal Home Loan Mortgage Corporation,,8.50 +0.56 (+7.05%),0.56,+7.05%,35373,27608,6.839B,125.00,162.90%,
50,ACHR,Archer Aviation Inc.,,7.77 +0.52 (+7.17%),0.52,+7.17%,16.003M,35.927M,4.215B,-,44.42%,
51,FNMAT,Federal National Mortgage Association,,9.90 +0.65 (+7.03%),0.65,+7.03%,28561,97957,13.1B,1414.29,149.33%,
52,CVNA,Carvana Co.,,178.68 +12.01 (+7.21%),12.01,+7.21%,3.322M,4.085M,20.896B,113.09,109.44%,
53,OMAB,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",,80.82 +5.24 (+6.93%),5.24,+6.93%,45505,71062,3.887B,16.07,7.88%,
54,MP,MP Materials Corp.,,26.08 +1.70 (+6.97%),1.7,+6.97%,2.004M,3.155M,4.263B,-,75.40%,
55,ELF,"e.l.f. Beauty, Inc.",,67.39 +4.42 (+7.03%),4.42,+7.03%,1.274M,2.736M,3.801B,40.36,-68.42%,
56,FNMAS,Federal National Mortgage Association,,10.93 +0.68 (+6.63%),0.68,+6.63%,286356,1.504M,13.834B,1561.43,151.36%,
57,LYFT,"Lyft, Inc.",,12.02 +0.74 (+6.61%),0.74,+6.61%,8.754M,18.474M,5.022B,200.25,-34.59%,
58,LMND,"Lemonade, Inc.",,34.73 +2.13 (+6.54%),2.13,+6.54%,874141,2.35M,2.529B,-,100.74%,
59,RIOT,"Riot Platforms, Inc.",,7.78 +0.47 (+6.50%),0.47,+6.50%,12.089M,30.336M,2.726B,22.90,-36.98%,
60,CE,Celanese Corporation,,56.55 +3.46 (+6.52%),3.46,+6.52%,1.197M,3.06M,6.183B,-,-66.83%,
61,SPOT,Spotify Technology S.A.,,572.07 +34.16 (+6.35%),34.16,+6.35%,1.835M,2.199M,117.107B,95.03,111.04%,
62,STNE,StoneCo Ltd.,,9.80 +0.58 (+6.29%),0.58,+6.29%,1.729M,6.097M,2.908B,8.91,-46.71%,
63,DJTWW,Trump Media & Technology Group Corp.,,12.33 +0.74 (+6.38%),0.74,+6.38%,25871,115225,3.937B,-,-13.40%,
64,PATH,UiPath Inc.,,10.60 +0.63 (+6.37%),0.63,+6.37%,14.278M,9.704M,5.828B,-,-56.18%,
65,SAABY,Saab AB (publ),,19.66 +1.16 (+6.27%),1.16,+6.27%,18485,162944,21.199B,50.41,52.64%,
66,MANH,"Manhattan Associates, Inc.",,173.76 +10.26 (+6.28%),10.26,+6.28%,415321,772715,10.621B,49.36,-33.81%,
67,NE,Noble Corporation plc,,23.86 +1.40 (+6.23%),1.4,+6.23%,890068,2.101M,3.798B,8.06,-52.61%,
68,EDU,New Oriental Education & Technology Group Inc.,,51.00 +2.96 (+6.16%),2.96,+6.16%,845794,1.922M,8.34B,22.17,-47.70%,
69,SMMYY,"Sumitomo Metal Mining Co., Ltd.",,5.53 +0.32 (+6.14%),0.32,+6.14%,44278,215215,6.118B,30.72,-29.25%,
70,WDC,Western Digital Corporation,,44.63 +2.60 (+6.18%),2.6,+6.18%,3.671M,8.849M,15.522B,12.90,-7.00%,
71,PENN,"PENN Entertainment, Inc.",,17.21 +0.98 (+6.04%),0.98,+6.04%,2.621M,4.555M,2.632B,-,-7.99%,
72,AFRM,"Affirm Holdings, Inc.",,49.67 +2.76 (+5.90%),2.76,+5.90%,3.057M,6.947M,15.898B,-,39.13%,
73,CC,The Chemours Company,,14.53 +0.84 (+6.09%),0.84,+6.09%,1.413M,2.021M,2.172B,25.50,-49.52%,
74,RKLB,"Rocket Lab USA, Inc.",,18.63 +1.06 (+6.03%),1.06,+6.03%,8.321M,19.495M,8.45B,-,326.46%,
75,BYDDY,BYD Company Limited,,100.08 +5.72 (+6.06%),5.72,+6.06%,193855,483762,154.114B,31.18,77.14%,
76,INFA,Informatica Inc.,,18.44 +1.05 (+6.04%),1.05,+6.04%,1.108M,2.389M,5.58B,614.67,-49.23%,
77,VICR,Vicor Corporation,,54.06 +3.06 (+6.00%),3.06,+6.00%,68183,283872,2.443B,386.14,41.39%,
78,CZR,"Caesars Entertainment, Inc.",,28.25 +1.62 (+6.06%),1.62,+6.06%,2.406M,4.995M,5.988B,-,-32.01%,
79,QFIN,"Qifu Technology, Inc.",,42.39 +2.42 (+6.05%),2.42,+6.05%,855935,1.233M,6.701B,8.78,118.30%,
80,NFE,New Fortress Energy Inc.,,9.02 +0.51 (+6.00%),0.51,+6.00%,3.225M,5.138M,2.468B,-,-72.90%,
81,TEAM,Atlassian Corporation,,220.04 +12.04 (+5.79%),12.04,+5.79%,1.658M,2.135M,57.649B,-,6.98%,
82,SCHW,The Charles Schwab Corporation,,77.82 +4.31 (+5.86%),4.31,+5.86%,7.98M,11.326M,141.132B,26.03,9.65%,
83,PETRY,Vibra Energia S.A.,,6.11 +0.34 (+5.89%),0.34,+5.89%,28376,67188,3.426B,3.12,-37.72%,
84,BYDDF,BYD Company Limited,,50.01 +2.77 (+5.86%),2.77,+5.86%,34384,104506,153.908B,31.06,76.61%,
85,MU,"Micron Technology, Inc.",,100.43 +5.55 (+5.85%),5.55,+5.85%,17.191M,24.713M,111.896B,28.78,1.75%,
86,PSTG,"Pure Storage, Inc.",,51.35 +2.81 (+5.79%),2.81,+5.79%,1.781M,2.818M,16.752B,165.65,-2.84%,
87,KVYO,"Klaviyo, Inc.",,33.79 +1.79 (+5.61%),1.79,+5.61%,429373,1.439M,9.23B,-,34.85%,
88,HPE,Hewlett Packard Enterprise Company,,15.60 +0.83 (+5.65%),0.83,+5.65%,10.199M,16.504M,20.498B,7.50,-11.72%,
89,INTR,"Inter & Co, Inc.",,5.87 +0.32 (+5.72%),0.32,+5.72%,1.307M,2.656M,2.58B,16.30,-6.25%,
90,XP,XP Inc.,,14.69 +0.80 (+5.72%),0.8,+5.72%,15.429M,7.261M,7.892B,10.34,-45.25%,
91,SOFI,"SoFi Technologies, Inc.",,12.03 +0.64 (+5.66%),0.64,+5.66%,20.637M,46.085M,13.197B,30.86,62.02%,
92,GWRE,"Guidewire Software, Inc.",,186.02 +10.01 (+5.69%),10.01,+5.69%,613961,1.285M,15.603B,-,56.23%,
93,CLS,Celestica Inc.,,91.20 +4.79 (+5.54%),4.79,+5.54%,1.977M,4.442M,10.636B,25.26,96.52%,
94,VEON,VEON Ltd.,,42.00 +2.22 (+5.58%),2.22,+5.58%,67003,135732,2.967B,8.42,60.66%,
95,MPNGY,Meituan,,45.18 +2.38 (+5.56%),2.38,+5.56%,55758,465159,136.169B,47.06,88.49%,
96,PBR,Petróleo Brasileiro S.A. - Petrobras,,13.43 +0.70 (+5.50%),0.7,+5.50%,10.771M,14.776M,84.154B,11.58,-12.45%,
97,VAL,Valaris Limited,,38.29 +1.98 (+5.45%),1.98,+5.45%,609257,1.916M,2.72B,7.48,-48.70%,
98,OKTA,"Okta, Inc.",,112.33 +5.70 (+5.35%),5.7,+5.35%,2.891M,3.274M,19.501B,1872.17,0.50%,
99,STR,Sitio Royalties Corp.,,19.69 +1.01 (+5.41%),1.01,+5.41%,367545,717810,2.983B,40.18,-20.03%,
100,BILL,"BILL Holdings, Inc.",,46.37 +2.34 (+5.31%),2.34,+5.31%,2.021M,3.514M,4.727B,118.90,-31.89%,
101,TGS,Transportadora de Gas del Sur S.A.,,26.97 +1.41 (+5.50%),1.41,+5.50%,151835,342411,4.679B,28.69,99.53%,
102,NBIS,Nebius Group N.V.,,27.67 +1.50 (+5.73%),1.5,+5.73%,7.078M,12.276M,6.523B,-,30.85%,
103,DAY,Dayforce Inc,,55.04 +2.86 (+5.49%),2.86,+5.49%,1.013M,1.764M,8.748B,500.41,-21.05%,
104,ZLAB,Zai Lab Limited,,38.11 +1.97 (+5.45%),1.97,+5.45%,701758,804672,4.126B,-,95.67%,
105,ATAT,Atour Lifestyle Holdings Limited,,31.20 +1.58 (+5.33%),1.58,+5.33%,435045,1.101M,4.293B,26.90,52.68%,
106,PNGAY,"Ping An Insurance (Group) Company of China, Ltd.",,12.81 +0.66 (+5.43%),0.66,+5.43%,23180,245018,127.213B,7.20,34.40%,
107,MKSI,"MKS Instruments, Inc.",,85.62 +4.38 (+5.39%),4.38,+5.39%,763136,978950,5.769B,30.47,-32.98%,
108,MNDY,monday.com Ltd.,,255.12 +12.75 (+5.26%),12.75,+5.26%,324031,1.125M,12.72B,404.95,11.69%,
109,MDGL,"Madrigal Pharmaceuticals, Inc.",,340.27 +17.25 (+5.34%),17.25,+5.34%,168303,421835,7.513B,-,19.47%,
110,ITUB,Itaú Unibanco Holding S.A.,,6.03 +0.31 (+5.33%),0.31,+5.33%,13.971M,26.495M,55.713B,8.37,-16.86%,
111,FLR,Fluor Corporation,,36.81 +1.87 (+5.35%),1.87,+5.35%,998140,3.051M,6.213B,2.99,-9.72%,
112,PEGA,Pegasystems Inc.,,71.87 +3.73 (+5.47%),3.73,+5.47%,542637,864428,6.174B,64.75,9.83%,
113,YPF,YPF Sociedad Anónima,,35.49 +1.78 (+5.28%),1.78,+5.28%,1.249M,2.042M,16.19B,5.92,86.66%,
114,LW,"Lamb Weston Holdings, Inc.",,51.22 +2.57 (+5.28%),2.57,+5.28%,1.422M,3.034M,7.306B,20.17,-52.33%,
115,CRWD,"CrowdStrike Holdings, Inc.",,349.88 +17.35 (+5.22%),17.35,+5.22%,1.965M,3.952M,86.727B,-,5.35%,
116,GKOS,Glaukos Corporation,,101.84 +5.24 (+5.42%),5.24,+5.42%,516140,821718,5.761B,-,13.00%,
117,THO,"THOR Industries, Inc.",,80.71 +3.94 (+5.13%),3.94,+5.13%,364713,746413,4.294B,21.41,-26.05%,
118,MGM,MGM Resorts International,,31.75 +1.59 (+5.27%),1.59,+5.27%,2.703M,5.036M,9.066B,13.23,-29.66%,
119,RXRX,"Recursion Pharmaceuticals, Inc.",,6.24 +0.30 (+5.08%),0.3,+5.08%,9.277M,23.562M,2.509B,-,-47.06%,
120,SYM,Symbotic Inc.,,21.68 +1.12 (+5.45%),1.12,+5.45%,627989,2.089M,12.756B,-,-54.67%,
121,CLBT,Cellebrite DI Ltd.,,18.20 +0.92 (+5.32%),0.92,+5.32%,541519,1.882M,3.91B,-,49.61%,
122,CVLT,"Commvault Systems, Inc.",,156.31 +8.00 (+5.39%),8.0,+5.39%,323729,474128,6.877B,41.13,51.48%,
123,UMC,United Microelectronics Corporation,,6.80 +0.34 (+5.18%),0.34,+5.18%,7.82M,13.526M,17.525B,10.98,-19.33%,
124,DAN,Dana Incorporated,,14.31 +0.70 (+5.14%),0.7,+5.14%,408719,1.63M,2.075B,-,17.13%,
125,BL,"BlackLine, Inc.",,49.92 +2.46 (+5.18%),2.46,+5.18%,343051,747040,3.136B,34.43,-27.69%,
126,AVPT,"AvePoint, Inc.",,14.49 +0.70 (+5.11%),0.7,+5.11%,639497,1.459M,2.926B,-,82.65%,
127,TMDX,"TransMedics Group, Inc.",,67.69 +3.34 (+5.19%),3.34,+5.19%,476819,1.844M,2.279B,63.26,-15.26%,
128,SHAK,Shake Shack Inc.,,87.02 +4.25 (+5.13%),4.25,+5.13%,801503,1.356M,3.701B,362.58,-20.18%,
129,OMF,"OneMain Holdings, Inc.",,47.68 +2.33 (+5.14%),2.33,+5.14%,506213,967662,5.691B,11.25,-5.97%,
130,UAL,"United Airlines Holdings, Inc.",,73.39 +3.49 (+4.99%),3.49,+4.99%,4.213M,7.179M,24.023B,7.77,60.25%,
131,SITM,SiTime Corporation,,166.33 +7.91 (+4.99%),7.91,+4.99%,164516,305450,3.925B,-,88.30%,
132,SOC,Sable Offshore Corp.,,24.83 +1.17 (+4.97%),1.17,+4.97%,365253,1.504M,2.213B,-,102.57%,
133,SPSC,"SPS Commerce, Inc.",,129.12 +6.07 (+4.93%),6.07,+4.93%,351842,284800,4.877B,63.29,-31.65%,
134,PCOR,"Procore Technologies, Inc.",,68.97 +3.21 (+4.87%),3.21,+4.87%,961247,1.517M,10.341B,-,-16.32%,
135,FINV,FinVolution Group,,8.70 +0.40 (+4.88%),0.4,+4.88%,575806,780386,2.262B,7.57,64.36%,
136,RRR,"Red Rock Resorts, Inc.",,44.70 +2.01 (+4.71%),2.01,+4.71%,266922,601345,4.605B,17.67,-22.41%,
137,PEN,"Penumbra, Inc.",,273.32 +12.68 (+4.87%),12.68,+4.87%,125489,470466,10.527B,759.21,17.32%,
138,BRZE,"Braze, Inc.",,34.77 +1.66 (+5.02%),1.66,+5.02%,530432,1.217M,3.598B,-,-34.29%,
139,VKTX,"Viking Therapeutics, Inc.",,31.15 +1.42 (+4.76%),1.42,+4.76%,2.522M,4.597M,3.496B,-,-52.48%,
140,FIVN,"Five9, Inc.",,29.61 +1.37 (+4.85%),1.37,+4.85%,717221,1.549M,2.245B,-,-52.85%,
141,RNMBY,Rheinmetall AG,,298.95 +13.65 (+4.78%),13.65,+4.78%,36945,87269,64.898B,122.02,186.68%,
142,MNSO,MINISO Group Holding Limited,,20.67 +0.95 (+4.79%),0.95,+4.79%,701847,1.026M,6.524B,20.87,0.10%,
143,LITE,Lumentum Holdings Inc.,,63.37 +3.08 (+5.11%),3.08,+5.11%,1.013M,2.35M,4.385B,-,32.36%,
144,DB,Deutsche Bank Aktiengesellschaft,,24.07 +1.09 (+4.74%),1.09,+4.74%,2.895M,2.856M,47.818B,16.15,55.06%,
145,PAC,"Grupo Aeroportuario del Pacífico, S.A.B. de C.V.",,192.01 +8.76 (+4.78%),8.76,+4.78%,47071,76276,9.664B,22.15,23.06%,
146,ENVA,"Enova International, Inc.",,91.36 +4.17 (+4.78%),4.17,+4.78%,205658,250342,2.356B,12.30,45.92%,
147,VALE,Vale S.A.,,9.88 +0.45 (+4.83%),0.45,+4.83%,21.942M,33.874M,42.154B,6.86,-21.24%,
148,MRX,Marex Group plc,,32.84 +1.48 (+4.72%),1.48,+4.72%,247523,398132,2.308B,12.07,65.14%,
149,HWKN,"Hawkins, Inc.",,107.94 +4.86 (+4.71%),4.86,+4.71%,58818,140750,2.259B,27.61,35.40%,
150,OTLY,Oatly Group AB,,8.70 +0.39 (+4.69%),0.39,+4.69%,95936,253098,259.679M,-,-58.11%,
151,LSCC,Lattice Semiconductor Corporation,,60.71 +2.73 (+4.71%),2.73,+4.71%,390259,2.37M,8.368B,137.98,-23.36%,
152,NMRK,"Newmark Group, Inc.",,12.39 +0.55 (+4.60%),0.55,+4.60%,545317,972447,3.123B,36.43,12.02%,
153,OVV,Ovintiv Inc.,,40.20 +1.79 (+4.66%),1.79,+4.66%,1.222M,2.887M,10.465B,9.55,-23.29%,
154,DY,"Dycom Industries, Inc.",,154.64 +7.17 (+4.86%),7.17,+4.86%,219144,543579,4.481B,19.53,3.10%,
155,WK,Workiva Inc.,,89.03 +3.97 (+4.66%),3.97,+4.66%,144786,658157,4.997B,-,1.35%,
156,TSEM,Tower Semiconductor Ltd.,,39.11 +1.70 (+4.54%),1.7,+4.54%,220312,809154,4.462B,21.14,20.76%,
157,CAVA,"CAVA Group, Inc.",,77.32 +3.25 (+4.39%),3.25,+4.39%,1.739M,2.829M,8.938B,70.29,15.45%,
158,RDDT,"Reddit, Inc.",,126.82 +5.29 (+4.35%),5.29,+4.35%,4.642M,6.623M,22.942B,-,140.94%,
159,PBR-A,Petróleo Brasileiro S.A. - Petrobras,,12.39 +0.55 (+4.60%),0.55,+4.60%,4.228M,4.777M,83.439B,10.68,-18.01%,
160,DLO,DLocal Limited,,8.61 +0.38 (+4.62%),0.38,+4.62%,559796,1.314M,2.458B,22.08,-53.76%,
161,ARM,Arm Holdings plc,,117.23 +5.18 (+4.62%),5.18,+4.62%,2.761M,6.046M,123.557B,154.25,-11.75%,
162,IEP,Icahn Enterprises L.P.,,9.27 +0.40 (+4.57%),0.4,+4.57%,436397,954901,4.848B,-,-49.23%,
163,URI,"United Rentals, Inc.",,621.22 +27.05 (+4.55%),27.05,+4.55%,484674,687813,40.57B,16.06,-12.05%,
164,AS,"Amer Sports, Inc.",,27.82 +1.20 (+4.53%),1.2,+4.53%,2.042M,3.16M,15.399B,198.68,75.88%,
165,DJT,Trump Media & Technology Group Corp.,,20.05 +0.88 (+4.59%),0.88,+4.59%,1.639M,8.307M,4.412B,-,-50.82%,
166,AAON,"AAON, Inc.",,81.90 +3.59 (+4.58%),3.59,+4.58%,238443,861045,6.683B,40.54,-5.02%,
167,SAN,"Banco Santander, S.A.",,6.74 +0.30 (+4.57%),0.3,+4.57%,4.389M,4.633M,103.041B,8.03,45.93%,
168,MT,ArcelorMittal S.A.,,32.18 +1.37 (+4.45%),1.37,+4.45%,1.855M,2.359M,24.809B,19.04,16.62%,
169,SMCI,"Super Micro Computer, Inc.",,40.76 +1.67 (+4.29%),1.67,+4.29%,37.733M,72.059M,24.187B,17.72,-63.44%,
170,RUM,Rumble Inc.,,7.90 +0.33 (+4.36%),0.33,+4.36%,1.037M,6.562M,2.507B,-,-1.94%,
171,DAL,"Delta Air Lines, Inc.",,45.85 +1.94 (+4.41%),1.94,+4.41%,7.04M,9.242M,29.621B,8.60,1.86%,
172,TRMB,Trimble Inc.,,69.32 +2.93 (+4.41%),2.93,+4.41%,745053,1.471M,17.038B,11.38,6.96%,
173,MPWR,"Monolithic Power Systems, Inc.",,596.73 +25.52 (+4.47%),25.52,+4.47%,229824,874281,28.563B,16.30,-16.85%,
174,ELP,Companhia Paranaense de Energia - COPEL,,7.26 +0.31 (+4.46%),0.31,+4.46%,128613,268145,5.177B,13.44,-11.13%,
175,ZK,ZEEKR Intelligent Technology Holding Limited,,31.08 +1.33 (+4.45%),1.33,+4.45%,374616,635883,7.694B,-,5.27%,
176,ACVA,ACV Auctions Inc.,,14.62 +0.62 (+4.43%),0.62,+4.43%,1.43M,1.815M,2.604B,-,-20.81%,
177,TWLO,Twilio Inc.,,99.17 +4.27 (+4.50%),4.27,+4.50%,1.099M,3.545M,15.137B,-,59.07%,
178,CHWY,"Chewy, Inc.",,33.72 +1.38 (+4.25%),1.38,+4.25%,2.629M,4.946M,13.733B,36.66,86.03%,
179,APGE,"Apogee Therapeutics, Inc.",,40.03 +1.70 (+4.45%),1.7,+4.45%,144382,575100,2.325B,-,-43.89%,
180,PAGS,PagSeguro Digital Ltd.,,7.81 +0.32 (+4.27%),0.32,+4.27%,1.587M,4.661M,2.373B,6.85,-46.15%,
181,ORLA,Orla Mining Ltd.,,8.69 +0.40 (+4.83%),0.4,+4.83%,1.117M,771937,2.805B,-,125.89%,
182,PTEN,"Patterson-UTI Energy, Inc.",,7.95 +0.34 (+4.40%),0.34,+4.40%,6.862M,10.385M,3.07B,-,-34.06%,
183,VWDRY,Vestas Wind Systems A/S,,5.22 +0.22 (+4.40%),0.22,+4.40%,71462,510159,15.86B,29.00,-44.77%,
184,LRCX,Lam Research Corporation,,78.54 +3.28 (+4.36%),3.28,+4.36%,5.982M,12.94M,100.819B,23.87,-17.30%,
185,CYBR,CyberArk Software Ltd.,,336.89 +14.74 (+4.58%),14.74,+4.58%,271993,598598,16.662B,-,24.39%,
186,ADBE,Adobe Inc.,,394.31 +16.47 (+4.36%),16.47,+4.36%,3.896M,3.849M,171.484B,26.03,-23.27%,
187,DKS,"DICK'S Sporting Goods, Inc.",,194.64 +8.09 (+4.34%),8.09,+4.34%,1.009M,1.194M,15.858B,13.85,-11.79%,
188,FG,"F&G Annuities & Life, Inc.",,42.09 +1.82 (+4.52%),1.82,+4.52%,35971,73335,5.336B,8.62,6.87%,
189,FRHC,Freedom Holding Corp.,,127.49 +5.33 (+4.36%),5.33,+4.36%,52010,90789,7.728B,23.79,63.01%,
190,ENTG,"Entegris, Inc.",,98.61 +4.19 (+4.44%),4.19,+4.44%,737519,2.834M,14.903B,51.09,-30.57%,
191,VIV,Telefônica Brasil S.A.,,8.90 +0.36 (+4.27%),0.36,+4.27%,1.034M,912086,14.491B,15.35,-17.81%,
192,PR,Permian Resources Corporation,,13.50 +0.57 (+4.41%),0.57,+4.41%,2.601M,8.422M,10.847B,9.31,-21.54%,
193,DUOL,"Duolingo, Inc.",,284.47 +11.98 (+4.40%),11.98,+4.40%,375765,790745,12.87B,151.31,25.95%,
194,CSGP,"CoStar Group, Inc.",,78.62 +3.18 (+4.22%),3.18,+4.22%,1.467M,3.26M,33.159B,231.24,-20.74%,
195,GME,GameStop Corp.,,22.88 +0.93 (+4.24%),0.93,+4.24%,2.481M,7.071M,10.223B,114.40,54.14%,
196,WHR,Whirlpool Corporation,,92.31 +3.73 (+4.21%),3.73,+4.21%,378076,1.035M,5.112B,-,-15.73%,
