,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,QBTS,D-Wave Quantum Inc.,,9.51 +2.60 (+37.55%),2.6,+37.55%,201.809M,84.563M,2.534B,-,232.21%,
1,RBRK,"Rubrik, Inc.",,69.33 +14.05 (+25.40%),14.05,+25.40%,4.504M,2.347M,12.843B,-,49.41%,
2,RGTI,"Rigetti Computing, Inc.",,10.41 +1.66 (+19.03%),1.66,+19.03%,91.781M,138.127M,2.977B,-,345.29%,
3,DOCU,"DocuSign, Inc.",,87.84 +13.14 (+17.59%),13.14,+17.59%,8.192M,2.476M,17.746B,17.29,31.58%,
4,SMTC,Semtech Corporation,,38.24 +5.53 (+16.91%),5.53,+16.91%,4.708M,2.554M,3.295B,-,43.15%,
5,WXXWY,WuXi Biologics (Cayman) Inc.,,6.89 +0.89 (+14.83%),0.89,+14.83%,15523,44613,14.113B,40.53,66.24%,
6,PTON,"Peloton Interactive, Inc.",,6.93 +0.86 (+14.09%),0.86,+14.09%,20.162M,14.299M,2.701B,-,40.51%,
7,ULTA,"Ulta Beauty, Inc.",,355.14 +40.67 (+12.93%),40.67,+12.93%,2.201M,922801,16.468B,14.01,-41.33%,
8,IONQ,"IonQ, Inc.",,24.12 +2.75 (+12.87%),2.75,+12.87%,27.962M,25.857M,5.762B,-,129.54%,
9,WGS,GeneDx Holdings Corp.,,100.54 +11.22 (+12.56%),11.22,+12.56%,418681,1.034M,2.822B,-,643.71%,
10,FNMA,Federal National Mortgage Association,,6.14 +0.66 (+12.04%),0.66,+12.04%,3.682M,16.436M,7.111B,-,261.84%,
11,TGTX,"TG Therapeutics, Inc.",,41.40 +4.34 (+11.72%),4.34,+11.72%,2.556M,2.552M,6.504B,276.03,143.50%,
12,WRD,WeRide Inc.,,18.17 +1.90 (+11.67%),1.9,+11.67%,2.785M,1.511M,4.988B,-,-1.69%,
13,TNXP,Tonix Pharmaceuticals Holding Corp.,,15.22 +1.58 (+11.61%),1.58,+11.61%,737617,1.975M,85.089M,-,-98.67%,
14,SOUN,"SoundHound AI, Inc.",,9.91 +1.00 (+11.22%),1.0,+11.22%,27.115M,62.6M,3.954B,-,0.00%,
15,CAR,"Avis Budget Group, Inc.",,61.67 +6.18 (+11.14%),6.18,+11.14%,1.21M,776133,2.165B,-,-48.48%,
16,RSI,"Rush Street Interactive, Inc.",,10.78 +1.10 (+11.36%),1.1,+11.36%,1.117M,2.081M,2.458B,359.33,67.18%,
17,OKLO,Oklo Inc.,,26.58 +2.63 (+10.96%),2.63,+10.96%,9.384M,18.59M,3.635B,-,123.00%,
18,TEM,"Tempus AI, Inc.",,46.65 +4.49 (+10.64%),4.49,+10.64%,8.071M,12.337M,8.034B,-,4.76%,
19,VNET,"VNET Group, Inc.",,11.48 +1.09 (+10.43%),1.09,+10.43%,7.602M,8.708M,3.068B,574.25,477.78%,
20,FMCC,Federal Home Loan Mortgage Corporation,,5.09 +0.49 (+10.65%),0.49,+10.65%,1.122M,6.441M,3.309B,-,273.17%,
21,CCI,Crown Castle Inc.,,103.28 +9.75 (+10.43%),9.75,+10.43%,5.551M,3.177M,44.885B,36.62,-10.10%,
22,MSTR,MicroStrategy Incorporated,,290.07 +26.81 (+10.18%),26.81,+10.18%,13.233M,19.581M,75.54B,-,47.70%,
23,AUR,"Aurora Innovation, Inc.",,6.89 +0.63 (+10.14%),0.63,+10.14%,9.147M,14.712M,12B,-,179.46%,
