,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,SIG,Signet Jewelers Limited,,57.08 +8.78 (+18.19%),8.78,+18.19%,3.161M,1.597M,2.483B,6.68,-46.38%,
1,STNE,StoneCo Ltd.,,11.22 +1.37 (+13.91%),1.37,+13.91%,14.514M,5.963M,3.33B,-,-41.30%,
2,OLLI,"Ollie's Bargain Outlet Holdings, Inc.",,109.43 +10.37 (+10.47%),10.37,+10.47%,2.087M,1.023M,6.706B,32.57,29.85%,
3,SRAD,Sportradar Group AG,,21.93 +1.85 (+9.21%),1.85,+9.21%,2.233M,827744,6.534B,156.64,78.81%,
4,FMCC,Federal Home Loan Mortgage Corporation,,5.07 +0.40 (+8.57%),0.4,+8.57%,674822,6.495M,3.296B,-,221.09%,
5,HCM,HUTCHMED (China) Limited,,16.25 +1.30 (+8.70%),1.3,+8.70%,115516,79658,2.778B,-,-13.78%,
6,SRPT,"Sarepta Therapeutics, Inc.",,79.54 +6.00 (+8.16%),6.0,+8.16%,2.927M,1.097M,7.718B,33.99,-41.67%,
7,DJTWW,Trump Media & Technology Group Corp.,,13.24 +0.99 (+8.12%),0.99,+8.12%,73157,105686,4.23B,-,-13.40%,
8,SHOP,Shopify Inc.,,100.98 +6.97 (+7.42%),6.97,+7.42%,10.603M,7.924M,130.724B,65.15,15.59%,
9,CORZ,"Core Scientific, Inc.",,8.60 +0.57 (+7.17%),0.57,+7.17%,6.106M,13.651M,2.528B,-,140.12%,
10,PAGS,PagSeguro Digital Ltd.,,8.42 +0.53 (+6.72%),0.53,+6.72%,3.581M,4.456M,2.558B,7.32,-45.09%,
11,FNMA,Federal National Mortgage Association,,6.07 +0.39 (+6.87%),0.39,+6.87%,1.213M,16.94M,7.03B,-,213.89%,
12,PTAIY,PT Astra International Tbk,,5.92 +0.37 (+6.67%),0.37,+6.67%,17393,50684,12.107B,5.75,-17.72%,
13,AFRM,"Affirm Holdings, Inc.",,46.59 +2.89 (+6.61%),2.89,+6.61%,5.217M,7.124M,14.913B,-,15.64%,
14,WRBY,Warby Parker Inc.,,18.95 +1.13 (+6.34%),1.13,+6.34%,1.957M,1.943M,2.29B,-,46.07%,
15,HIMS,"Hims & Hers Health, Inc.",,33.41 +1.92 (+6.10%),1.92,+6.10%,8.424M,20.928M,7.423B,63.04,91.08%,
16,SMTC,Semtech Corporation,,41.03 +2.38 (+6.16%),2.38,+6.16%,967989,2.711M,3.536B,-,72.70%,
17,ROKU,"Roku, Inc.",,71.56 +4.20 (+6.23%),4.2,+6.23%,4.47M,3.543M,10.444B,-,3.71%,
18,IMPUY,Impala Platinum Holdings Limited,,6.91 +0.41 (+6.31%),0.41,+6.31%,90161,208043,6.319B,-,61.03%,
19,COHR,Coherent Corp.,,69.36 +3.98 (+6.08%),3.98,+6.08%,1.743M,3.832M,10.748B,-,8.95%,
