,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,INTC,Intel Corporation,,24.07 +3.39 (+16.40%),3.39,+16.40%,108.765M,92.165M,104.233B,-,-51.63%,
1,FN,Fabrinet,,224.66 +22.78 (+11.29%),22.78,+11.29%,436566,694106,8.086B,25.13,1.99%,
2,DG,Dollar General Corporation,,81.11 +6.26 (+8.36%),6.26,+8.36%,2.631M,3.674M,17.838B,13.38,-50.12%,
3,DLTR,"Dollar Tree, Inc.",,66.96 +5.04 (+8.13%),5.04,+8.13%,1.715M,2.963M,14.398B,-,-50.55%,
4,ALGM,"Allegro MicroSystems, Inc.",,26.90 +1.96 (+7.87%),1.96,+7.87%,1.254M,3.066M,4.953B,-,-12.28%,
5,MRCY,"Mercury Systems, Inc.",,44.18 +2.08 (+4.94%),2.08,+4.94%,95032,522350,2.637B,-,43.15%,
6,MRNA,"Moderna, Inc.",,36.49 +1.48 (+4.23%),1.48,+4.23%,3.586M,11.82M,14.108B,-,-66.16%,
7,AES,The AES Corporation,,12.32 +0.49 (+4.13%),0.49,+4.13%,2.173M,15.217M,8.77B,5.20,-21.29%,
8,RNA,"Avidity Biosciences, Inc.",,33.95 +1.34 (+4.11%),1.34,+4.11%,502587,1.348M,4.081B,-,36.05%,
9,FIS,"Fidelity National Information Services, Inc.",,70.81 +2.69 (+3.95%),2.69,+3.95%,682445,3.418M,37.507B,49.87,-0.15%,
10,BIDU,"Baidu, Inc.",,96.06 +3.66 (+3.96%),3.66,+3.96%,2.593M,4.678M,33.796B,10.59,-11.70%,
11,F,Ford Motor Company,,9.94 +0.35 (+3.65%),0.35,+3.65%,22.751M,85.819M,39.397B,6.81,-20.61%,
12,PAGS,PagSeguro Digital Ltd.,,7.64 +0.27 (+3.66%),0.27,+3.66%,609056,4.688M,2.321B,6.76,-47.32%,
13,CTRE,"CareTrust REIT, Inc.",,27.99 +0.98 (+3.63%),0.98,+3.63%,276300,2.076M,5.253B,34.99,14.55%,
14,OII,"Oceaneering International, Inc.",,20.01 +0.65 (+3.35%),0.65,+3.35%,298413,860358,2.014B,13.90,-8.59%,
15,NEM,Newmont Corporation,,45.14 +1.51 (+3.46%),1.51,+3.46%,1.809M,10.071M,50.866B,15.78,27.54%,
16,AVTR,"Avantor, Inc.",,16.34 +0.55 (+3.48%),0.55,+3.48%,1.913M,6.128M,11.126B,15.71,-37.54%,
17,VSH,"Vishay Intertechnology, Inc.",,17.11 +0.58 (+3.51%),0.58,+3.51%,123101,2.162M,2.32B,-,-24.92%,
18,ALKT,"Alkami Technology, Inc.",,25.17 +0.89 (+3.64%),0.89,+3.64%,272037,865122,2.573B,-,3.58%,
19,SCCO,Southern Copper Corporation,,93.40 +3.06 (+3.39%),3.06,+3.39%,469741,1.155M,74.363B,21.67,-6.01%,
20,NVO,Novo Nordisk A/S,,77.00 +2.21 (+2.95%),2.21,+2.95%,1.67M,9.257M,339.43B,23.40,-44.43%,
21,HUN,Huntsman Corporation,,17.04 +0.52 (+3.15%),0.52,+3.15%,420720,3.013M,2.948B,-,-34.42%,
22,FRO,Frontline plc,,16.06 +0.49 (+3.13%),0.49,+3.13%,436608,3.368M,3.575B,7.20,-35.04%,
23,ORLA,Orla Mining Ltd.,,8.10 +0.25 (+3.18%),0.25,+3.18%,366956,760468,2.605B,-,112.74%,
24,CDNS,"Cadence Design Systems, Inc.",,247.10 +7.88 (+3.30%),7.88,+3.30%,466516,1.955M,67.733B,64.18,-21.88%,
25,JD,"JD.com, Inc.",,41.59 +1.22 (+3.02%),1.22,+3.02%,2.953M,12.355M,63.582B,11.24,49.24%,
26,SSRM,SSR Mining Inc.,,10.56 +0.32 (+3.13%),0.32,+3.13%,698817,2.743M,2.137B,-,149.76%,
27,CNTA,Centessa Pharmaceuticals plc,,17.60 +0.55 (+3.19%),0.55,+3.19%,188772,783844,2.321B,-,62.94%,
