,Unnamed: 0,Volume,Last,Chg,% Chg
0,Regencell Bioscience Holdings Ltd. (RGC),14.9M,8.87,4.67,111.19
1,Heidmar Maritime Holdings Corp. (HMR),66.7M,4.08,1.52,59.8
2,Micropolis Holding Co. (MCRP),2.3M,3.87,1.32,52.02
3,Aveanna Healthcare Holdings Inc. (AVAH),2.6M,5.3,1.56,41.66
4,LZ Technology Holdings Ltd. Cl B (LZMH),362.6K,11.31,3.13,38.27
5,E.W. Scripps Co. Cl A (SSP),7.3M,2.67,0.62,30.28
6,Wang & Lee Group Inc. (WLGS),1.2M,4.03,0.91,29.17
7,MeiraGTx Holdings PLC (MGTX),4.8M,8.14,1.73,26.99
8,Quantum Corp. (QMCO),3.0M,14.1,2.84,25.22
9,FreightCar America Inc. (RAIL),880.8K,7.56,1.32,21.27
10,Amber International Holding Ltd. ADR (AMBR),229.1K,10.87,1.63,17.64
11,U-BX Technology Ltd. (UBXG),90.9K,3.66,0.54,17.2
12,Yoshiharu Global Co. (YOSH),96.2K,17.37,2.49,16.73
13,Exicure Inc. (XCUR),56.1K,12.34,1.77,16.72
14,First Financial Northwest Inc. (FFNW),99.0K,22.54,2.99,15.29
15,Yatsen Holding Ltd. ADR (YSG),365.5K,4.92,0.61,14.11
16,Currenc Group Inc. (CURR),842.7K,3.41,0.42,14.08
17,Intel Corp. (INTC),179.8M,23.52,2.84,13.73
18,iHuman Inc. ADR (IH),257.0K,2.51,0.3,13.57
19,CTRL Group Ltd. (MCTR),60.7K,6.52,0.77,13.39
20,Algorhythm Holdings Inc. (RIME),486.9K,2.37,0.26,12.09
21,OptimizeRx Corp. (OPRX),2.0M,7.02,0.74,11.78
22,NextNav Inc. (NN),2.3M,11.48,1.21,11.78
23,D-Wave Quantum Inc. (QBTS),93.5M,6.48,0.67,11.43
24,Blade Air Mobility Inc. (BLDE),1.7M,3.14,0.31,10.95
25,Performant Healthcare Inc. (PHLT),90.3K,2.78,0.26,10.29
26,Phreesia Inc. (PHR),582.6K,26.0,2.2,9.24
27,Yalla Group Ltd. ADR (YALA),1.2M,4.82,0.4,9.05
28,Fabrinet (FN),1.1M,219.68,17.8,8.82
29,Pheton Holdings Ltd. Cl A (PTHL),62.5K,4.19,0.34,8.73
30,MicroAlgo Inc. (MLGO),2.0M,4.28,0.32,8.13
31,Aris Mining Corp. (ARMN),1.0M,4.38,0.33,8.0
32,Biomea Fusion Inc. (BMEA),474.5K,2.66,0.2,7.93
33,N-able Inc. (NABL),686.3K,7.72,0.56,7.9
34,Shoals Technologies Group Inc. (SHLS),3.6M,3.17,0.23,7.82
35,Concrete Pumping Holdings Inc. (BBCP),333.9K,5.34,0.39,7.76
36,Aurora Mobile Ltd. ADR (JG),87.0K,9.69,0.67,7.38
37,A2Z Cust2Mate Solutions Corp. (AZ),174.0K,6.4,0.44,7.38
38,DallasNews Corp. (DALN),103.5K,7.29,0.47,6.9
39,Claros Mortgage Trust Inc. (CMTG),1.5M,3.66,0.23,6.87
40,SenesTech Inc. (SNES),2.8M,2.45,0.15,6.52
41,Xponential Fitness Inc. (XPOF),360.8K,12.92,0.79,6.51
42,First Majestic Silver Corp. (AG),21.8M,6.54,0.4,6.43
43,Junee Ltd. (JUNE),54.7K,5.1,0.3,6.25
44,Cool Co. Ltd. (CLCO),109.0K,5.64,0.32,6.01
45,SolarBank Corp. (SUUN),139.1K,4.61,0.26,5.98
46,Pacira BioSciences Inc. (PCRX),350.6K,23.35,1.31,5.94
47,Capri Holdings Ltd. (CPRI),2.5M,20.62,1.14,5.83
48,Idaho Strategic Resources Inc. (IDR),132.2K,12.18,0.67,5.82
49,Mercury Systems Inc. (MRCY),251.1K,44.53,2.43,5.77
50,Ramaco Resources Inc. Cl A (METC),504.0K,9.37,0.51,5.76
51,Gray Media Inc. (GTN),1.7M,4.34,0.23,5.52
52,Bowman Consulting Group Ltd. (BWMN),130.7K,23.22,1.21,5.5
53,Arbutus Biopharma Corp. (ABUS),750.0K,3.36,0.17,5.49
54,Dollar Tree Inc. (DLTR),3.3M,65.28,3.36,5.43
55,Blackboxstocks Inc. (BLBX),109.9K,3.16,0.16,5.33
56,Critical Metals Corp. (CRML),344.6K,2.25,0.11,5.26
57,Savara Inc. (SVRA),769.6K,2.74,0.14,5.19
58,Algoma Steel Group Inc. (ASTL),1.3M,6.12,0.3,5.15
59,Zedge Inc. Cl B (ZDGE),57.0K,2.25,0.11,5.14
60,G-III Apparel Group Ltd. (GIII),894.9K,26.6,1.26,4.97
61,Niu Technologies ADR (NIU),417.9K,2.56,0.12,4.69
62,Professional Diversity Network Inc. (IPDN),111.4K,2.2,0.1,4.66
63,Cibus Inc. (CBUS),357.2K,2.26,0.1,4.63
64,Ceragon Networks Ltd. (CRNT),1.3M,2.6,0.12,4.62
65,Dollar General Corp. (DG),5.1M,78.24,3.39,4.53
66,NovaGold Resources Inc. (NG),1.6M,3.4,0.14,4.45
67,Soleno Therapeutics Inc. (SLNO),457.9K,48.77,2.07,4.43
68,Hello Group Inc. ADR (MOMO),1.0M,7.1,0.3,4.41
69,XPeng Inc. ADR (XPEV),14.6M,25.82,1.09,4.41
70,Mingteng International Corp. Inc. (MTEN),106.1K,4.75,0.2,4.4
71,Newmont Corp. (NEM),6.7M,45.44,1.81,4.14
72,Compania de Minas Buenaventura S.A. ADR (BVN),315.5K,14.18,0.54,3.96
73,Avadel Pharmaceuticals PLC (AVDL),336.5K,8.28,0.32,3.96
74,Scholastic Corp. (SCHL),159.4K,19.77,0.74,3.89
75,Braskem S/A ADR (BAK),446.4K,3.62,0.14,3.88
76,Legacy Housing Corp. (LEGH),77.4K,25.68,0.93,3.76
77,National CineMedia Inc. (NCMI),391.3K,5.74,0.2,3.71
78,Vodafone Group PLC ADR (VOD),13.9M,9.5,0.34,3.68
