,Unnamed: 0,Volume,Last,Chg,% Chg
0,Aditxt Inc. (ADTX),83.9M,7.45,3.08,70.48
1,Heidmar Maritime Holdings Corp. (HMR),18.3M,3.87,1.17,43.33
2,Blue Hat Interactive Entertainment Technology (BHAT),4.7M,3.56,1.03,40.66
3,Park Ha Biological Technology Co. Ltd. (PHH),439.3K,9.87,1.98,25.1
4,Brazil Potash Corp. (GRO),216.4K,3.32,0.65,24.16
5,PMGC Holdings Inc. (ELAB),140.1K,5.24,1.0,23.73
6,Regencell Bioscience Holdings Ltd. (RGC),2.0M,22.34,3.83,20.73
7,SmartKem Inc. (SMTK),210.1K,3.37,0.57,20.29
8,Worksport Ltd. (WKSP),355.9K,4.18,0.7,20.07
9,TuHURA Biosciences Inc. (HURA),160.2K,2.9,0.48,19.83
10,Tonix Pharmaceuticals Holding Corp. (TNXP),1.3M,19.51,3.23,19.83
11,NFT Ltd. (MI),67.4K,2.6,0.4,18.18
12,Phathom Pharmaceuticals Inc. (PHAT),1.7M,5.7,0.86,17.77
13,UP Fintech Holding Ltd. ADR (TIGR),23.6M,9.37,1.4,17.56
14,LQR House Inc. (YHC),1.4M,2.49,0.37,17.45
15,FinVolution Group ADR (FINV),3.5M,10.7,1.58,17.38
16,USA Rare Earth Inc. (USAR),259.8K,16.57,2.44,17.23
17,AlTi Global Inc. (ALTI),107.8K,2.94,0.42,16.67
18,Harrow Inc. (HROW),1.4M,26.45,3.13,13.42
19,Tencent Music Entertainment Group ADR (TME),24.6M,14.76,1.7,13.02
20,Mingteng International Corp. Inc. (MTEN),550.9K,8.71,1.0,12.97
21,Lucid Group Inc. (LCID),133.2M,2.43,0.27,12.5
22,HF Foods Group Inc. (HFFG),148.3K,2.74,0.3,12.3
23,Niu Technologies ADR (NIU),5.5M,3.94,0.43,12.25
24,OptimizeRx Corp. (OPRX),333.6K,9.25,0.98,11.87
25,Elbit Systems Ltd. (ESLT),142.4K,413.0,43.74,11.85
26,Hycroft Mining Holding Corp. (HYMC),633.5K,3.3,0.34,11.6
27,Lithium Argentina AG (LAR),1.8M,2.56,0.27,11.52
28,Millrose Properties Inc. Cl A (MRP),2.8M,24.52,2.52,11.48
29,CervoMed Inc. (CRVO),4.2M,10.03,0.98,10.83
30,Zepp Health Corp. ADR (ZEPP),81.4K,3.54,0.34,10.82
31,REGENXBIO Inc. (RGNX),727.3K,7.74,0.73,10.5
32,Heritage Insurance Holdings Inc. (HRTG),167.4K,14.13,1.34,10.47
33,5E Advanced Materials Inc. (FEAM),632.2K,4.08,0.37,9.97
34,WideOpenWest Inc. (WOW),349.7K,4.64,0.39,9.17
35,Jet.AI Inc. (JTAI),174.9K,5.14,0.43,9.13
36,Luminar Technologies Inc. (LAZR),5.6M,7.0,0.58,9.03
37,Abivax S.A. ADR (ABVX),213.1K,6.54,0.54,9.0
38,Collective Mining Ltd. (CNL),133.6K,9.28,0.75,8.79
39,IHS Holding Ltd. (IHS),1.8M,4.25,0.34,8.69
40,Quantum Computing Inc. (QUBT),63.8M,8.7,0.68,8.48
41,Cango Inc. ADR (CANG),513.7K,4.62,0.35,8.33
42,Euroseas Ltd. (ESEA),58.1K,29.53,2.18,7.98
43,Trevi Therapeutics Inc. (TRVI),1.3M,7.04,0.5,7.65
44,NextDecade Corp. (NEXT),1.5M,7.8,0.55,7.59
45,U.S. Gold Corp. (USAU),388.4K,10.19,0.72,7.59
46,Biote Corp. (BTMD),86.3K,4.3,0.3,7.58
47,NRX Pharmaceuticals Inc. (NRXP),157.4K,2.2,0.15,7.32
48,Aldeyra Therapeutics Inc. (ALDX),406.1K,6.77,0.46,7.26
49,DRDGOLD Ltd. ADR (DRD),609.6K,14.45,0.96,7.12
50,BRF S.A. ADR (BRFS),1.8M,3.41,0.22,6.9
51,Lightpath Technologies Inc. Cl A (LPTH),93.3K,2.24,0.14,6.67
52,Sibanye-Stillwater Ltd. ADR (SBSW),9.6M,4.35,0.26,6.36
53,Treace Medical Concepts Inc. (TMCI),275.9K,8.47,0.5,6.27
54,Gogo Inc. (GOGO),1.1M,6.88,0.41,6.26
55,Identiv Inc. (INVE),82.9K,3.4,0.2,6.25
