,Unnamed: 0,Volume,Last,Chg,% Chg
0,Aditxt Inc. (ADTX),90.6M,7.5,3.13,71.62
1,Regencell Bioscience Holdings Ltd. (RGC),2.9M,31.6,13.1,70.81
2,Leishen Energy Holding Co. Ltd. (LSE),89.4K,7.77,2.19,39.25
3,Blue Hat Interactive Entertainment Technology (BHAT),5.7M,3.41,0.88,34.78
4,Park Ha Biological Technology Co. Ltd. (PHH),558.6K,10.6,2.71,34.35
5,Reading International Inc. Cl B (RDIB),72.3K,9.9,2.37,31.47
6,Heidmar Maritime Holdings Corp. (HMR),22.4M,3.46,0.76,28.15
7,Tonix Pharmaceuticals Holding Corp. (TNXP),2.6M,20.53,4.25,26.11
8,Brazil Potash Corp. (GRO),492.0K,3.35,0.68,25.47
9,USA Rare Earth Inc. (USAR),346.8K,17.35,3.22,22.79
10,UP Fintech Holding Ltd. ADR (TIGR),30.3M,9.69,1.72,21.58
11,FinVolution Group ADR (FINV),4.6M,10.72,1.6,17.54
12,NFT Ltd. (MI),89.7K,2.58,0.38,17.47
13,NextDecade Corp. (NEXT),4.5M,8.5,1.25,17.24
14,Wang & Lee Group Inc. (WLGS),425.3K,4.76,0.7,17.24
15,AlTi Global Inc. (ALTI),208.9K,2.95,0.43,17.06
16,CNS Pharmaceuticals Inc. (CNSP),170.8K,3.55,0.49,16.01
17,TuHURA Biosciences Inc. (HURA),340.1K,2.8,0.38,15.7
18,Harrow Inc. (HROW),2.1M,26.98,3.66,15.69
19,Tencent Music Entertainment Group ADR (TME),36.5M,15.09,2.03,15.54
20,LQR House Inc. (YHC),2.1M,2.43,0.31,14.62
21,Wellgistics Health Inc. (WGRX),52.8K,4.0,0.51,14.61
22,Phathom Pharmaceuticals Inc. (PHAT),2.4M,5.54,0.7,14.46
23,HF Foods Group Inc. (HFFG),300.4K,2.79,0.35,14.34
24,Hycroft Mining Holding Corp. (HYMC),764.9K,3.37,0.41,13.85
25,Barfresh Food Group Inc. (BRFH),76.7K,3.62,0.44,13.84
26,Zepp Health Corp. ADR (ZEPP),95.8K,3.63,0.44,13.79
27,ModivCare Inc. (MODV),399.0K,2.62,0.31,13.42
28,WideOpenWest Inc. (WOW),765.5K,4.82,0.57,13.41
29,Abivax S.A. ADR (ABVX),342.1K,6.8,0.8,13.33
30,IHS Holding Ltd. (IHS),2.7M,4.43,0.52,13.3
31,E.W. Scripps Co. Cl A (SSP),1.4M,2.92,0.34,13.18
32,Solaris Energy Infrastructure Inc. (SEI),3.6M,22.97,2.51,12.27
33,Silynxcom Ltd. (SYNX),51.1K,4.35,0.46,11.83
34,REGENXBIO Inc. (RGNX),1.6M,7.8,0.8,11.43
35,Diginex Ltd. (DGNX),53.4K,72.06,7.26,11.2
36,Niu Technologies ADR (NIU),6.3M,3.9,0.39,11.11
37,PMGC Holdings Inc. (ELAB),204.2K,4.7,0.47,10.98
38,Alpha Technology Group Ltd. Cl A (ATGL),65.5K,32.62,3.21,10.91
39,Elbit Systems Ltd. (ESLT),215.1K,408.53,39.27,10.63
40,Coeptis Therapeutics Holdings Inc. (COEP),203.4K,9.4,0.9,10.59
41,NeueHealth Inc. (NEUE),69.6K,5.14,0.48,10.3
42,Millrose Properties Inc. Cl A (MRP),5.6M,24.24,2.24,10.18
43,Markforged Holding Corp. (MKFG),85.3K,2.76,0.25,9.96
44,Advent Technologies Holdings Inc. (ADN),60.2K,5.35,0.47,9.63
45,Cango Inc. ADR (CANG),758.6K,4.66,0.4,9.39
46,Lithium Argentina AG (LAR),2.7M,2.51,0.21,9.13
47,Euroseas Ltd. (ESEA),79.3K,29.84,2.49,9.1
48,OptimizeRx Corp. (OPRX),671.8K,9.02,0.75,9.07
49,Virgin Galactic Holdings Inc. (SPCE),3.0M,3.78,0.31,8.93
50,RF Industries Ltd. (RFIL),78.8K,4.41,0.36,8.89
51,Aurora Mobile Ltd. ADR (JG),75.0K,10.63,0.86,8.8
52,Lucid Group Inc. (LCID),179.8M,2.35,0.19,8.8
53,Heritage Insurance Holdings Inc. (HRTG),322.6K,13.88,1.09,8.52
54,Mineralys Therapeutics Inc. (MLYS),1.7M,15.43,1.21,8.51
55,Lixiang Education Holding Co. Ltd. ADR (LXEH),1.3M,10.34,0.81,8.5
56,BRF S.A. ADR (BRFS),2.3M,3.45,0.26,8.15
57,Worksport Ltd. (WKSP),502.8K,3.76,0.28,8.14
58,Laird Superfood Inc. (LSF),69.6K,5.45,0.41,8.13
59,Bluejay Diagnostics Inc. (BJDX),101.7K,4.4,0.33,8.08
60,Lifetime Brands Inc. (LCUT),54.3K,5.43,0.4,7.95
61,DRDGOLD Ltd. ADR (DRD),922.6K,14.52,1.03,7.64
62,Collective Mining Ltd. (CNL),197.1K,9.18,0.65,7.62
63,Quantum Computing Inc. (QUBT),86.3M,8.63,0.61,7.61
64,Prairie Operating Co. (PROP),274.2K,6.26,0.44,7.56
65,North European Oil Royalty Trust (NRT),81.7K,4.96,0.34,7.36
66,Airship AI Holdings Inc. Cl A (AISP),1.5M,4.38,0.3,7.35
67,NRX Pharmaceuticals Inc. (NRXP),186.3K,2.2,0.15,7.32
68,Gogo Inc. (GOGO),2.3M,6.93,0.46,7.11
69,SoundThinking Inc. (SSTI),86.4K,16.96,1.1,6.94
70,Cyngn Inc. (CYN),75.2K,4.8,0.31,6.9
71,Metsera Inc. (MTSR),723.8K,30.33,1.95,6.87
72,SmartKem Inc. (SMTK),386.0K,2.99,0.19,6.79
73,Gulf Island Fabrication Inc. (GIFI),59.5K,6.53,0.41,6.7
74,Culp Inc. (CULP),126.7K,5.49,0.34,6.6
75,Jet.AI Inc. (JTAI),251.9K,5.02,0.31,6.58
76,Identiv Inc. (INVE),100.2K,3.41,0.21,6.56
77,INNOVATE Corp. (VATE),76.0K,8.63,0.53,6.54
78,Luminar Technologies Inc. (LAZR),7.1M,6.83,0.41,6.39
79,Yalla Group Ltd. ADR (YALA),1.2M,5.26,0.31,6.26
80,Brag House Holdings Inc. (TBH),1.0M,5.6,0.33,6.26
81,Akebia Therapeutics Inc. (AKBA),5.0M,2.55,0.15,6.25
82,Peabody Energy Corp. (BTU),6.3M,14.18,0.83,6.22
83,Contineum Therapeutics Inc. (CTNM),146.1K,7.49,0.43,6.09
84,Magnachip Semiconductor Corp. (MX),550.2K,4.11,0.23,5.93
85,Treace Medical Concepts Inc. (TMCI),731.1K,8.43,0.46,5.77
86,Stevanato Group S.p.A. (STVN),338.2K,21.76,1.18,5.73
87,Krispy Kreme Inc. (DNUT),4.4M,5.72,0.31,5.73
88,Junee Ltd. (JUNE),62.4K,6.87,0.37,5.69
89,Aldeyra Therapeutics Inc. (ALDX),677.9K,6.66,0.35,5.63
90,Sibanye-Stillwater Ltd. ADR (SBSW),13.0M,4.32,0.23,5.62
91,CuriosityStream Inc. (CURI),370.5K,3.03,0.16,5.57
92,Gray Media Inc. (GTN),2.0M,4.93,0.26,5.57
93,Upland Software Inc. (UPLD),141.6K,3.32,0.17,5.4
94,5E Advanced Materials Inc. (FEAM),738.5K,3.91,0.2,5.39
95,Lightpath Technologies Inc. Cl A (LPTH),139.8K,2.21,0.11,5.24
96,Orion Group Holdings Inc. (ORN),422.7K,5.87,0.29,5.2
97,Cohen Circle Acquisition Corp. I Cl A (CCIR),3.2M,12.09,0.59,5.13
98,Getty Images Holdings Inc. (GETY),3.2M,2.26,0.11,5.12
99,New Era Helium Inc. (NEHC),183.6K,2.29,0.11,5.05
