,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
48,YETI,"YETI Holdings, Inc.",,33.87 +1.70 (+5.28%),1.7,+5.28%,1.1M,1.642M,2.791B,16.52,-12.13%,
49,DPZ,"Domino's Pizza, Inc.",,447.36 +21.78 (+5.12%),21.78,+5.12%,498397,624158,15.343B,26.80,-3.89%,
50,VEON,VEON Ltd.,,44.26 +2.22 (+5.27%),2.22,+5.27%,34701,138348,3.127B,8.38,73.93%,
51,ACHR,Archer Aviation Inc.,,8.31 +0.41 (+5.25%),0.41,+5.25%,21.223M,34.998M,4.511B,-,62.22%,
52,HIMS,"Hims & Hers Health, Inc.",,34.84 +1.70 (+5.13%),1.7,+5.13%,10.922M,21.129M,7.74B,65.74,111.35%,
53,KC,Kingsoft Cloud Holdings Limited,,18.19 +0.88 (+5.08%),0.88,+5.08%,2.251M,3.824M,4.32B,-,413.65%,
54,LGND,Ligand Pharmaceuticals Incorporated,,111.64 +5.45 (+5.13%),5.45,+5.13%,100214,110718,2.15B,-,47.20%,
55,GEV,GE Vernova Inc.,,329.83 +16.20 (+5.17%),16.2,+5.17%,2.688M,3.991M,91B,59.11,120.84%,
56,KTOS,"Kratos Defense & Security Solutions, Inc.",,31.97 +1.53 (+5.04%),1.53,+5.04%,2.031M,2.312M,4.886B,290.59,79.00%,
57,PAYC,"Paycom Software, Inc.",,218.71 +10.72 (+5.16%),10.72,+5.16%,403896,617398,12.245B,24.52,8.55%,
58,LKNCY,Luckin Coffee Inc.,,35.28 +1.67 (+4.97%),1.67,+4.97%,880244,2.104M,9.907B,27.78,31.82%,
59,CSAN,Cosan S.A.,,5.55 +0.26 (+5.01%),0.26,+5.01%,667660,1.124M,2.577B,-,-59.13%,
60,NCLH,Norwegian Cruise Line Holdings Ltd.,,20.14 +0.94 (+4.92%),0.94,+4.92%,13.347M,11.142M,8.858B,10.65,-2.34%,
61,APP,AppLovin Corporation,,307.35 +14.45 (+4.94%),14.45,+4.94%,5.595M,7.014M,104.484B,67.70,329.77%,
62,LTH,"Life Time Group Holdings, Inc.",,30.14 +1.40 (+4.87%),1.4,+4.87%,876959,2.209M,6.562B,40.73,99.86%,
63,BMRRY,B&M European Value Retail S.A.,,14.26 +0.67 (+4.93%),0.67,+4.93%,21801,46827,3.636B,8.44,-49.63%,
64,NFE,New Fortress Energy Inc.,,9.69 +0.43 (+4.64%),0.43,+4.64%,2.006M,5.125M,2.653B,-,-69.25%,
65,EIX,Edison International,,59.74 +2.74 (+4.81%),2.74,+4.81%,2.006M,5.418M,23.001B,18.05,-17.34%,
66,PAGS,PagSeguro Digital Ltd.,,8.18 +0.37 (+4.74%),0.37,+4.74%,2.547M,4.563M,2.485B,7.18,-44.49%,
67,LITE,Lumentum Holdings Inc.,,66.57 +2.96 (+4.65%),2.96,+4.65%,1.507M,2.377M,4.606B,-,35.95%,
68,BXP,"BXP, Inc.",,68.66 +3.15 (+4.81%),3.15,+4.81%,747372,1.309M,12.117B,762.89,4.27%,
69,LW,"Lamb Weston Holdings, Inc.",,53.37 +2.42 (+4.74%),2.42,+4.74%,753037,2.997M,7.612B,21.01,-50.47%,
70,ERJ,Embraer S.A.,,54.82 +2.49 (+4.76%),2.49,+4.76%,1.141M,1.506M,10.068B,28.55,122.87%,
71,BILI,Bilibili Inc.,,22.46 +1.02 (+4.76%),1.02,+4.76%,4.249M,6.794M,9.338B,-,81.08%,
72,WFRD,Weatherford International plc,,55.57 +2.46 (+4.63%),2.46,+4.63%,701927,1.242M,4.048B,8.23,-52.93%,
73,LGF-B,Lions Gate Entertainment Corp.,,8.60 +0.39 (+4.69%),0.39,+4.69%,374846,892425,2.156B,-,-7.75%,
74,IAC,IAC Inc.,,46.63 +2.07 (+4.66%),2.07,+4.66%,569761,968770,3.884B,-,-13.71%,
75,AMTM,"Amentum Holdings, Inc.",,18.73 +0.83 (+4.64%),0.83,+4.64%,1.343M,3.152M,4.557B,-,-39.34%,
76,LULU,Lululemon Athletica Inc.,,325.00 +13.97 (+4.49%),13.97,+4.49%,758123,1.618M,39.58B,23.48,-32.32%,
77,M,"Macy's, Inc.",,13.67 +0.59 (+4.51%),0.59,+4.51%,4.554M,7.107M,3.796B,6.60,-38.42%,
78,BABA,Alibaba Group Holding Limited,,147.43 +6.32 (+4.48%),6.32,+4.48%,25.087M,27.922M,350.18B,21.40,91.92%,
79,MNSO,MINISO Group Holding Limited,,21.62 +0.93 (+4.52%),0.93,+4.52%,1.002M,1.026M,6.782B,21.62,1.42%,
80,HBM,Hudbay Minerals Inc.,,8.07 +0.34 (+4.46%),0.34,+4.46%,3.947M,6.523M,3.189B,40.38,11.87%,
81,VRN,Veren Inc.,,6.36 +0.26 (+4.33%),0.26,+4.33%,14.296M,19.216M,3.894B,19.89,-22.19%,
82,UPST,"Upstart Holdings, Inc.",,50.66 +2.12 (+4.37%),2.12,+4.37%,3.288M,5.887M,4.747B,-,101.08%,
83,MPWR,"Monolithic Power Systems, Inc.",,632.74 +26.68 (+4.40%),26.68,+4.40%,450707,871713,30.287B,17.28,-10.12%,
84,UWMC,UWM Holdings Corporation,,6.22 +0.27 (+4.54%),0.27,+4.54%,942979,3.536M,10.316B,47.85,-12.37%,
85,RXRX,"Recursion Pharmaceuticals, Inc.",,6.61 +0.26 (+4.17%),0.26,+4.17%,10.9M,23.67M,2.659B,-,-44.40%,
86,CIVI,"Civitas Resources, Inc.",,35.03 +1.42 (+4.21%),1.42,+4.21%,751233,1.781M,3.259B,4.14,-53.95%,
87,LIVN,LivaNova PLC,,40.92 +1.68 (+4.29%),1.68,+4.29%,464183,617453,2.224B,35.28,-22.70%,
88,RDY,Dr. Reddy's Laboratories Limited,,13.23 +0.55 (+4.30%),0.55,+4.30%,487164,1.831M,11.075B,17.87,-16.02%,
89,CPNG,"Coupang, Inc.",,23.47 +0.96 (+4.26%),0.96,+4.26%,5.439M,7.782M,42.375B,293.38,23.48%,
90,HKXCY,Hong Kong Exchanges and Clearing Limited,,48.20 +1.98 (+4.28%),1.98,+4.28%,17291,110555,60.92B,36.24,50.16%,
91,NTOIY,Neste Oyj,,5.13 +0.21 (+4.27%),0.21,+4.27%,28210,164701,7.931B,-,-63.79%,
92,STNE,StoneCo Ltd.,,10.14 +0.41 (+4.27%),0.41,+4.27%,2.452M,6.063M,3.008B,9.21,-44.36%,
93,TME,Tencent Music Entertainment Group,,13.09 +0.53 (+4.26%),0.53,+4.26%,8.596M,7.366M,22.19B,24.69,20.91%,
94,LGF-A,Lions Gate Entertainment Corp.,,9.61 +0.39 (+4.23%),0.39,+4.23%,198710,735248,2.147B,-,-2.74%,
95,SQM,Sociedad Química y Minera de Chile S.A.,,44.84 +1.77 (+4.11%),1.77,+4.11%,944131,1.091M,12.002B,-,-14.15%,
96,CCL,Carnival Corporation & plc,,20.75 +0.83 (+4.19%),0.83,+4.19%,15.571M,22.778M,28.058B,14.41,23.04%,
97,BX,Blackstone Inc.,,146.76 +5.88 (+4.17%),5.88,+4.17%,2.495M,3.862M,178.857B,40.54,14.15%,
98,VIPS,Vipshop Holdings Limited,,17.51 +0.69 (+4.13%),0.69,+4.13%,1.713M,3.522M,9.035B,8.85,-1.98%,
99,CROX,"Crocs, Inc.",,102.65 +4.06 (+4.11%),4.06,+4.11%,579251,1.611M,5.754B,6.46,-24.13%,
100,ALB,Albemarle Corporation,,78.21 +2.98 (+3.97%),2.98,+3.97%,1.328M,2.525M,9.196B,-,-39.61%,
101,SNAP,Snap Inc.,,9.01 +0.37 (+4.28%),0.37,+4.28%,15.798M,28.597M,15.284B,-,-21.88%,
102,THC,Tenet Healthcare Corporation,,127.72 +5.05 (+4.12%),5.05,+4.12%,686994,1.468M,12.149B,3.91,22.21%,
103,OLED,Universal Display Corporation,,155.89 +5.99 (+4.00%),5.99,+4.00%,204272,714117,7.4B,33.45,-5.74%,
104,ACI,"Albertsons Companies, Inc.",,21.93 +0.85 (+4.06%),0.85,+4.06%,2.715M,6.588M,12.709B,12.32,1.25%,
105,TWST,Twist Bioscience Corporation,,41.58 +1.62 (+4.05%),1.62,+4.05%,283855,972693,2.48B,-,18.12%,
106,AA,Alcoa Corporation,,34.93 +1.40 (+4.18%),1.4,+4.18%,2.687M,4.812M,9.043B,134.35,8.06%,
107,UTHR,United Therapeutics Corporation,,319.50 +12.26 (+3.99%),12.26,+3.99%,139862,437131,14.349B,12.97,31.32%,
108,SYM,Symbotic Inc.,,22.49 +0.84 (+3.88%),0.84,+3.88%,398254,2.07M,13.233B,-,-52.03%,
109,WB,Weibo Corporation,,10.98 +0.42 (+3.98%),0.42,+3.98%,1.35M,1.353M,2.72B,9.46,11.98%,
110,JD,"JD.com, Inc.",,44.89 +1.73 (+4.01%),1.73,+4.01%,8.691M,12.63M,67.823B,12.10,54.97%,
111,VNO,Vornado Realty Trust,,38.22 +1.40 (+3.80%),1.4,+3.80%,688819,1.372M,7.944B,955.50,41.51%,
112,PBR,Petróleo Brasileiro S.A. - Petrobras,,13.94 +0.51 (+3.83%),0.51,+3.83%,10.29M,14.958M,82.827B,12.02,-7.95%,
113,HUM,Humana Inc.,,262.77 +9.89 (+3.91%),9.89,+3.91%,443811,1.66M,31.714B,26.30,-27.16%,
114,NFLX,"Netflix, Inc.",,953.33 +35.33 (+3.85%),35.33,+3.85%,4.803M,4.233M,407.794B,48.08,48.45%,
115,DUOL,"Duolingo, Inc.",,294.76 +11.22 (+3.96%),11.22,+3.96%,319948,796110,13.336B,157.63,30.95%,
116,CUK,Carnival Corporation & plc,,18.70 +0.68 (+3.80%),0.68,+3.80%,1.484M,1.807M,23.48B,12.99,22.75%,
117,ANF,Abercrombie & Fitch Co.,,82.72 +2.93 (+3.68%),2.93,+3.68%,1.427M,2.312M,4.167B,7.74,-39.01%,
118,HGV,Hilton Grand Vacations Inc.,,36.25 +1.33 (+3.81%),1.33,+3.81%,385019,940636,3.454B,80.56,-22.49%,
119,AAL,American Airlines Group Inc.,,11.29 +0.42 (+3.86%),0.42,+3.86%,39.679M,39.519M,7.424B,9.10,-22.96%,
120,PRGO,Perrigo Company plc,,28.30 +1.04 (+3.82%),1.04,+3.82%,744692,1.605M,3.862B,-,-9.16%,
121,WSM,"Williams-Sonoma, Inc.",,173.90 +6.40 (+3.82%),6.4,+3.82%,1.104M,1.573M,21.407B,20.56,17.44%,
122,X,United States Steel Corporation,,40.45 +1.45 (+3.72%),1.45,+3.72%,6.437M,6.859M,9.11B,25.76,0.33%,
123,ZETA,Zeta Global Holdings Corp.,,14.52 +0.54 (+3.86%),0.54,+3.86%,3.526M,6.446M,3.452B,-,32.51%,
124,YUMC,"Yum China Holdings, Inc.",,53.24 +1.94 (+3.77%),1.94,+3.77%,1.588M,2.511M,19.985B,22.85,24.51%,
125,ITUB,Itaú Unibanco Holding S.A.,,6.22 +0.23 (+3.76%),0.23,+3.76%,15.753M,26.263M,54.88B,8.63,-13.19%,
126,AMD,"Advanced Micro Devices, Inc.",,104.70 +3.73 (+3.69%),3.73,+3.69%,28.037M,38.999M,169.664B,104.70,-47.04%,
127,NICE,NICE Ltd.,,150.00 +5.39 (+3.73%),5.39,+3.73%,315546,621343,9.43B,22.22,-39.45%,
128,UNM,Unum Group,,81.71 +2.88 (+3.66%),2.88,+3.66%,882975,1.309M,14.445B,8.64,51.86%,
129,MNDY,monday.com Ltd.,,265.32 +9.45 (+3.69%),9.45,+3.69%,397608,1.107M,13.229B,434.95,14.63%,
130,PAR,PAR Technology Corporation,,60.90 +2.17 (+3.69%),2.17,+3.69%,87045,482893,2.449B,-,43.66%,
131,DVA,DaVita Inc.,,148.74 +5.29 (+3.69%),5.29,+3.69%,362830,902591,11.899B,13.86,4.69%,
132,ALIT,"Alight, Inc.",,6.34 +0.22 (+3.68%),0.22,+3.68%,4.426M,6.478M,3.504B,-,-29.36%,
133,TGLS,Tecnoglass Inc.,,70.74 +2.51 (+3.68%),2.51,+3.68%,291552,327500,3.324B,20.62,50.22%,
134,SAND,Sandstorm Gold Ltd.,,6.78 +0.25 (+3.81%),0.25,+3.81%,3.097M,5.139M,2.007B,135.57,32.19%,
135,CPRX,"Catalyst Pharmaceuticals, Inc.",,21.79 +0.77 (+3.66%),0.77,+3.66%,411305,1.189M,2.646B,16.63,30.72%,
136,MPNGY,Meituan,,46.65 +1.64 (+3.64%),1.64,+3.64%,68482,465356,140.994B,48.59,96.09%,
137,UHS,"Universal Health Services, Inc.",,173.77 +6.10 (+3.64%),6.1,+3.64%,293452,728055,11.296B,10.33,-5.43%,
138,KRYS,"Krystal Biotech, Inc.",,185.84 +6.46 (+3.60%),6.46,+3.60%,122393,273200,5.353B,61.95,6.44%,
139,FTI,TechnipFMC plc,,28.22 +0.98 (+3.60%),0.98,+3.60%,1.385M,4.153M,11.869B,14.77,10.82%,
140,CACI,CACI International Inc,,386.76 +13.43 (+3.60%),13.43,+3.60%,194855,473289,8.671B,18.14,1.39%,
141,TNET,"TriNet Group, Inc.",,77.63 +2.68 (+3.58%),2.68,+3.58%,254948,440543,3.845B,22.63,-41.04%,
142,FRO,Frontline plc,,15.98 +0.55 (+3.53%),0.55,+3.53%,1.162M,3.373M,3.556B,7.16,-34.87%,
143,DINO,HF Sinclair Corporation,,33.47 +1.11 (+3.43%),1.11,+3.43%,1.033M,3.188M,6.306B,36.78,-45.46%,
144,TW,Tradeweb Markets Inc.,,140.54 +4.74 (+3.49%),4.74,+3.49%,436497,1.005M,30.662B,60.06,30.80%,
145,NVO,Novo Nordisk A/S,,79.84 +2.69 (+3.49%),2.69,+3.49%,3.465M,9.326M,354.374B,24.19,-41.94%,
146,LDOS,"Leidos Holdings, Inc.",,139.26 +4.71 (+3.50%),4.71,+3.50%,775677,1.534M,18.266B,15.10,6.49%,
147,LUMN,"Lumen Technologies, Inc.",,5.04 +0.17 (+3.49%),0.17,+3.49%,3.414M,12.784M,5.11B,-,202.48%,
148,MPC,Marathon Petroleum Corporation,,145.88 +4.73 (+3.35%),4.73,+3.35%,845829,2.927M,45.599B,14.47,-27.05%,
149,YY,JOYY Inc.,,49.29 +1.61 (+3.38%),1.61,+3.38%,513807,589596,2.653B,15.21,42.88%,
150,MTZ,"MasTec, Inc.",,124.58 +4.10 (+3.40%),4.1,+3.40%,256593,1.113M,9.879B,60.48,39.52%,
151,ZTO,ZTO Express (Cayman) Inc.,,20.64 +0.67 (+3.33%),0.67,+3.33%,1.824M,2.506M,16.408B,14.23,-7.84%,
152,CDNS,"Cadence Design Systems, Inc.",,255.78 +8.35 (+3.37%),8.35,+3.37%,1.33M,1.974M,70.111B,66.26,-17.78%,
153,IONS,"Ionis Pharmaceuticals, Inc.",,34.03 +1.08 (+3.26%),1.08,+3.26%,541626,1.667M,5.41B,-,-21.58%,
154,XPEV,XPeng Inc.,,24.51 +0.78 (+3.30%),0.78,+3.30%,7.96M,11.721M,23.213B,-,141.65%,
155,VRNS,"Varonis Systems, Inc.",,41.34 +1.33 (+3.32%),1.33,+3.32%,355662,1.725M,4.653B,-,-18.60%,
156,AU,AngloGold Ashanti plc,,33.31 +1.08 (+3.37%),1.08,+3.37%,1.356M,2.414M,16.775B,14.30,52.24%,
157,CFLT,"Confluent, Inc.",,27.26 +0.90 (+3.41%),0.9,+3.41%,1.724M,5.701M,9.105B,-,-16.40%,
158,CORT,Corcept Therapeutics Incorporated,,57.86 +1.85 (+3.30%),1.85,+3.30%,312876,1.008M,6.104B,47.04,130.40%,
159,ACVA,ACV Auctions Inc.,,14.77 +0.46 (+3.25%),0.46,+3.25%,1.068M,1.864M,2.632B,-,-22.31%,
160,UAA,"Under Armour, Inc.",,6.92 +0.22 (+3.28%),0.22,+3.28%,12.208M,10.831M,2.872B,-,-7.33%,
161,U,Unity Software Inc.,,21.43 +0.66 (+3.18%),0.66,+3.18%,3.189M,11.881M,8.779B,-,-20.33%,
162,IRM,Iron Mountain Incorporated,,88.61 +2.78 (+3.23%),2.78,+3.23%,596378,2.251M,26.028B,145.26,8.71%,
163,TDC,Teradata Corporation,,23.40 +0.70 (+3.11%),0.7,+3.11%,841708,1.157M,2.213B,20.17,-39.78%,
164,GEN,Gen Digital Inc.,,27.91 +0.88 (+3.24%),0.88,+3.24%,1.258M,3.536M,17.198B,27.36,27.44%,
165,ICUI,"ICU Medical, Inc.",,148.63 +5.18 (+3.61%),5.18,+3.61%,84022,235006,3.644B,-,44.65%,
166,POWL,"Powell Industries, Inc.",,178.98 +5.62 (+3.24%),5.62,+3.24%,155520,520856,2.159B,13.59,12.82%,
167,ACHC,"Acadia Healthcare Company, Inc.",,29.44 +0.90 (+3.15%),0.9,+3.15%,473334,1.926M,2.735B,10.59,-63.48%,
168,CRBG,"Corebridge Financial, Inc.",,32.58 +1.03 (+3.26%),1.03,+3.26%,1.338M,2.966M,18.114B,8.76,23.26%,
169,MWA,"Mueller Water Products, Inc.",,28.13 +0.88 (+3.23%),0.88,+3.23%,1.425M,1.527M,4.405B,32.33,76.60%,
170,HIW,"Highwoods Properties, Inc.",,29.08 +0.89 (+3.16%),0.89,+3.16%,468517,1.069M,3.192B,30.94,14.69%,
171,OBDC,Blue Owl Capital Corporation,,14.88 +0.48 (+3.30%),0.48,+3.30%,3.307M,3.179M,7.599B,9.72,-5.57%,
172,CART,Maplebear Inc.,,39.78 +1.21 (+3.14%),1.21,+3.14%,1.214M,4.306M,10.527B,25.18,3.54%,
173,ADMA,"ADMA Biologics, Inc.",,19.00 +0.57 (+3.09%),0.57,+3.09%,1.435M,2.522M,4.496B,23.46,210.27%,
174,COMP,"Compass, Inc.",,9.04 +0.28 (+3.20%),0.28,+3.20%,2.247M,6.275M,4.951B,-,186.27%,
175,TEM,"Tempus AI, Inc.",,48.65 +1.48 (+3.14%),1.48,+3.14%,6.366M,12.584M,8.378B,-,17.19%,
176,PI,"Impinj, Inc.",,93.21 +2.87 (+3.18%),2.87,+3.18%,118045,685934,2.66B,67.06,-26.27%,
177,TKO,"TKO Group Holdings, Inc.",,144.09 +4.47 (+3.20%),4.47,+3.20%,1.039M,1.252M,11.751B,14409.00,72.78%,
178,ELAN,Elanco Animal Health Incorporated,,10.77 +0.33 (+3.16%),0.33,+3.16%,1.157M,4.693M,5.327B,15.84,-33.84%,
179,GLNG,Golar LNG Limited,,34.93 +1.07 (+3.16%),1.07,+3.16%,723791,1.404M,3.65B,291.08,42.09%,
180,CNK,"Cinemark Holdings, Inc.",,25.01 +0.76 (+3.15%),0.76,+3.15%,1.57M,3.218M,3.059B,12.14,32.59%,
181,VLO,Valero Energy Corporation,,132.91 +3.77 (+2.92%),3.77,+2.92%,1.19M,3.308M,41.864B,15.51,-22.34%,
182,ABNB,"Airbnb, Inc.",,126.74 +3.88 (+3.16%),3.88,+3.16%,2.333M,5.198M,78.749B,30.76,-24.09%,
183,OS,"OneStream, Inc.",,21.74 +0.63 (+2.98%),0.63,+2.98%,433960,1.611M,5.189B,-,-21.38%,
184,ORCL,Oracle Corporation,,153.90 +4.63 (+3.10%),4.63,+3.10%,4.924M,11.335M,431.571B,36.21,16.80%,
185,MIR,"Mirion Technologies, Inc.",,14.92 +0.46 (+3.18%),0.46,+3.18%,462261,2.015M,3.468B,-,36.80%,
186,MLCO,Melco Resorts & Entertainment Limited,,5.80 +0.17 (+3.11%),0.17,+3.11%,1.661M,3.985M,2.436B,58.05,-20.82%,
187,CRWD,"CrowdStrike Holdings, Inc.",,364.75 +11.02 (+3.11%),11.02,+3.11%,2.074M,3.939M,90.412B,-,10.18%,
188,GFS,GLOBALFOUNDRIES Inc.,,38.93 +1.20 (+3.18%),1.2,+3.18%,431293,2.106M,21.515B,-,-27.58%,
189,EG,"Everest Group, Ltd.",,367.63 +10.97 (+3.08%),10.97,+3.08%,180732,418632,15.784B,11.57,-7.59%,
190,HOG,"Harley-Davidson, Inc.",,25.32 +0.76 (+3.07%),0.76,+3.07%,816501,2.256M,3.153B,7.36,-39.70%,
191,IMPUY,Impala Platinum Holdings Limited,,6.38 +0.19 (+3.07%),0.19,+3.07%,385585,190548,5.722B,-,60.98%,
192,EC,Ecopetrol S.A.,,10.44 +0.31 (+3.07%),0.31,+3.07%,1.022M,2.629M,21.464B,6.29,-6.20%,
193,OKTA,"Okta, Inc.",,115.94 +3.39 (+3.01%),3.39,+3.01%,2.377M,3.255M,20.128B,1932.33,6.30%,
194,BGC,"BGC Group, Inc.",,9.09 +0.27 (+3.12%),0.27,+3.12%,1.093M,2.959M,4.452B,36.34,10.40%,
195,PCOR,"Procore Technologies, Inc.",,70.21 +2.08 (+3.05%),2.08,+3.05%,482175,1.499M,10.525B,-,-13.77%,
196,AXSM,"Axsome Therapeutics, Inc.",,125.64 +3.73 (+3.06%),3.73,+3.06%,237312,983162,6.127B,-,68.06%,
197,CVNA,Carvana Co.,,186.83 +5.65 (+3.12%),5.65,+3.12%,1.619M,4.169M,21.849B,117.50,124.26%,
