,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,MHVIY,Mitsubishi Heavy Industries Ltd,,39.31 +4.29 (+12.25%),4.29,+12.25%,43271,222642,65.993B,38.17,43.58%,
1,TXHPF,"TechnoPro Holdings, Inc.",,20.03 +2.03 (+11.31%),2.03,+11.31%,18000,25,2.207B,18.90,-19.92%,
2,HSAI,Hesai Group,,21.85 +2.06 (+10.38%),2.06,+10.38%,6.803M,3.971M,2.786B,-,325.81%,
3,CELH,"Celsius Holdings, Inc.",,29.92 +2.84 (+10.48%),2.84,+10.48%,5.751M,9.88M,7.035B,66.49,-69.76%,
4,QFIN,"Qifu Technology, Inc.",,47.70 +4.51 (+10.44%),4.51,+10.44%,1.895M,1.207M,7.406B,9.84,133.84%,
5,CALM,"Cal-Maine Foods, Inc.",,91.00 +7.97 (+9.60%),7.97,+9.60%,571409,934281,4.463B,7.08,37.38%,
6,LION,Lionsgate Studios Corp.,,8.28 +0.69 (+9.09%),0.69,+9.09%,221759,335344,2.39B,-,-29.00%,
7,DLO,DLocal Limited,,9.39 +0.77 (+8.93%),0.77,+8.93%,767314,1.312M,2.681B,24.08,-52.59%,
8,BIDU,"Baidu, Inc.",,101.98 +8.16 (+8.70%),8.16,+8.70%,10.178M,4.76M,35.957B,11.19,-10.45%,
9,OTLY,Oatly Group AB,,9.59 +0.75 (+8.48%),0.75,+8.48%,84982,255019,287.01M,-,-56.67%,
10,INTC,Intel Corporation,,26.00 +1.95 (+8.13%),1.95,+8.13%,109.202M,96.25M,112.602B,-,-43.69%,
11,ASND,Ascendis Pharma A/S,,165.63 +12.65 (+8.27%),12.65,+8.27%,619026,462200,9.953B,-,4.03%,
12,MTSUY,Mitsubishi Corporation,,18.94 +1.36 (+7.74%),1.36,+7.74%,23708,81413,75.312B,10.70,-12.62%,
13,TCOM,Trip.com Group Limited,,66.27 +4.54 (+7.35%),4.54,+7.35%,3.598M,3.67M,43.149B,19.38,40.18%,
14,AEO,"American Eagle Outfitters, Inc.",,11.84 +0.78 (+7.05%),0.78,+7.05%,7.119M,4.848M,2.274B,7.05,-53.00%,
15,VRNA,Verona Pharma plc,,65.96 +4.57 (+7.44%),4.57,+7.44%,703931,1.432M,8.777B,-,295.30%,
16,TAL,TAL Education Group,,14.23 +0.93 (+7.03%),0.93,+7.03%,4.865M,7.165M,8.602B,74.92,12.24%,
17,SAIC,Science Applications International Corporation,,111.54 +7.11 (+6.81%),7.11,+6.81%,1.488M,704013,5.452B,18.78,-18.67%,
18,HOOD,"Robinhood Markets, Inc.",,41.81 +2.57 (+6.55%),2.57,+6.55%,27.737M,31.258M,37.021B,26.80,115.49%,
19,ENPH,"Enphase Energy, Inc.",,62.03 +3.90 (+6.71%),3.9,+6.71%,2.052M,4.132M,8.217B,82.71,-47.72%,
20,ORLA,Orla Mining Ltd.,,9.30 +0.59 (+6.72%),0.59,+6.72%,1.853M,801877,2.989B,-,139.94%,
21,QBTS,D-Wave Quantum Inc.,,10.93 +0.78 (+7.64%),0.78,+7.64%,152.309M,84.691M,2.912B,-,331.91%,
22,RDNT,"RadNet, Inc.",,49.44 +2.90 (+6.22%),2.9,+6.22%,670204,838220,3.66B,1235.88,3.81%,
23,YMM,Full Truck Alliance Co. Ltd.,,13.72 +0.81 (+6.24%),0.81,+6.24%,5.235M,7.507M,14.342B,33.45,79.55%,
24,SSUMY,Sumitomo Corporation,,24.78 +1.45 (+6.22%),1.45,+6.22%,33150,70782,29.983B,11.16,-2.01%,
25,AES,The AES Corporation,,13.07 +0.76 (+6.21%),0.76,+6.21%,8.15M,15.368M,9.308B,5.52,-17.27%,
26,XIACF,Xiaomi Corporation,,7.40 +0.43 (+6.17%),0.43,+6.17%,20064,170163,184.458B,37.00,259.79%,
27,UEC,Uranium Energy Corp.,,5.39 +0.31 (+6.00%),0.31,+6.00%,5.619M,7.801M,2.309B,-,-20.38%,
28,CAAP,Corporación América Airports S.A.,,19.50 +1.12 (+6.07%),1.12,+6.07%,105563,238718,3.14B,9.33,21.80%,
29,CVI,"CVR Energy, Inc.",,20.38 +1.15 (+5.98%),1.15,+5.98%,493351,1.24M,2.049B,339.67,-45.95%,
30,RNA,"Avidity Biosciences, Inc.",,33.02 +1.91 (+6.13%),1.91,+6.13%,515234,1.355M,3.969B,-,30.00%,
31,XIACY,Xiaomi Corporation,,36.94 +2.06 (+5.91%),2.06,+5.91%,151629,680212,184.265B,36.94,213.39%,
32,CDE,"Coeur Mining, Inc.",,6.37 +0.34 (+5.63%),0.34,+5.63%,9.044M,17.17M,4.068B,42.47,92.65%,
33,RKT,"Rocket Companies, Inc.",,15.71 +0.84 (+5.65%),0.84,+5.65%,4.061M,4.743M,31.22B,74.81,21.29%,
34,ENOV,Enovis Corporation,,39.22 +2.17 (+5.84%),2.17,+5.84%,448376,963201,2.234B,-,-36.93%,
35,BDORY,Banco do Brasil S.A.,,5.02 +0.27 (+5.68%),0.27,+5.68%,24040,655460,28.654B,6.28,-14.65%,
36,FINV,FinVolution Group,,9.23 +0.52 (+6.03%),0.52,+6.03%,986548,779439,2.4B,8.03,74.55%,
37,TNXP,Tonix Pharmaceuticals Holding Corp.,,15.85 +0.85 (+5.63%),0.85,+5.63%,420717,1.644M,88.581M,-,-98.58%,
38,PTCT,"PTC Therapeutics, Inc.",,57.64 +3.14 (+5.76%),3.14,+5.76%,395061,722451,4.546B,-,87.87%,
39,PBF,PBF Energy Inc.,,21.84 +1.10 (+5.30%),1.1,+5.30%,1.151M,2.593M,2.518B,-,-62.84%,
40,HII,"Huntington Ingalls Industries, Inc.",,206.98 +10.82 (+5.52%),10.82,+5.52%,519174,773436,8.099B,14.82,-32.50%,
41,FRHC,Freedom Holding Corp.,,133.52 +6.63 (+5.23%),6.63,+5.23%,50495,91000,8.094B,24.91,77.37%,
42,XP,XP Inc.,,15.48 +0.81 (+5.49%),0.81,+5.49%,3.332M,7.501M,8.317B,10.90,-41.85%,
43,TKAMY,thyssenkrupp AG,,10.05 +0.54 (+5.68%),0.54,+5.68%,59781,123275,6.312B,-,79.39%,
44,PDD,PDD Holdings Inc.,,129.11 +6.57 (+5.36%),6.57,+5.36%,6.412M,8.46M,179.304B,12.71,-4.79%,
45,YOU,"Clear Secure, Inc.",,25.92 +1.40 (+5.71%),1.4,+5.71%,1.105M,2.152M,3.548B,16.62,26.92%,
46,LMND,"Lemonade, Inc.",,36.84 +1.87 (+5.35%),1.87,+5.35%,1.187M,2.282M,2.683B,-,118.02%,
47,AG,First Majestic Silver Corp.,,7.04 +0.36 (+5.39%),0.36,+5.39%,12.275M,17.792M,3.408B,-,19.93%,
