,Unnamed: 0,Volume,Last,Chg,% Chg
0,Radius Recycling Inc. (RDUS),6.1M,28.19,14.53,106.37
1,Applied Optoelectronics Inc. (AAOI),13.6M,22.11,6.24,39.32
2,D-Wave Quantum Inc. (QBTS),199.8M,9.53,2.62,37.92
3,Rubrik Inc. Cl A (RBRK),4.4M,69.33,14.05,25.42
4,Gorilla Technology Group Inc. (GRRR),5.5M,32.4,6.49,25.05
5,Westrock Coffee Co. (WEST),448.3K,6.8,1.29,23.41
6,Desktop Metal Inc. (DM),352.3K,2.5,0.46,22.54
7,Quantum Computing Inc. (QUBT),32.4M,6.7,1.21,22.02
8,Biote Corp. (BTMD),575.5K,3.71,0.64,20.85
9,Jiayin Group Inc. ADR (JFIN),276.4K,11.75,1.92,19.5
10,J-Long Group Ltd. (JL),81.9K,4.68,0.76,19.26
11,Firefly Neuroscience Inc. (AIFF),1.1M,4.12,0.66,19.14
12,Rigetti Computing Inc. (RGTI),91.1M,10.42,1.67,19.09
13,DocuSign Inc. (DOCU),8.1M,87.79,13.09,17.52
14,Kingstone Cos. Inc. (KINS),460.5K,16.06,2.39,17.48
15,PagerDuty Inc. (PD),2.2M,18.31,2.7,17.3
16,CTRL Group Ltd. (MCTR),115.7K,8.2,1.19,17.01
17,Semtech Corp. (SMTC),4.7M,38.22,5.51,16.85
18,Edible Garden AG Inc. (EDBL),88.8K,2.79,0.39,16.25
19,Sonoma Pharmaceuticals Inc. (SNOA),306.9K,3.58,0.5,16.13
20,CNS Pharmaceuticals Inc. (CNSP),227.9K,3.15,0.44,16.12
21,Maxeon Solar Technologies Ltd. (MAXN),214.5K,3.59,0.48,15.32
22,Green Dot Corp. Cl A (GDOT),1.0M,7.65,1.01,15.21
23,LexinFintech Holdings Ltd. ADR (LX),4.2M,10.4,1.32,14.61
24,Cardlytics Inc. (CDLX),1.6M,2.37,0.29,14.25
25,Arqit Quantum Inc. (ARQQ),445.6K,14.8,1.83,14.11
26,CervoMed Inc. (CRVO),7.4M,6.61,0.82,14.09
27,Peloton Interactive Inc. (PTON),20.0M,6.92,0.85,14.02
28,Sleep Number Corp. (SNBR),579.3K,7.08,0.87,14.01
29,Frequency Electronics Inc. (FEIM),171.8K,16.0,1.94,13.8
30,iRobot Corp. (IRBT),6.4M,3.47,0.42,13.62
31,Mingteng International Corp. Inc. (MTEN),685.5K,5.69,0.68,13.57
32,Wolfspeed Inc. (WOLF),17.0M,5.8,0.69,13.5
33,SEALSQ Corp. (LAES),18.1M,3.1,0.36,13.14
34,ZJK Industrial Co. Ltd. (ZJK),51.3K,4.92,0.57,13.1
35,IonQ Inc. (IONQ),27.7M,24.1,2.73,12.77
36,Lightbridge Corp. (LTBR),1.0M,9.2,1.04,12.75
37,Afya Ltd. (AFYA),140.0K,18.27,2.05,12.64
38,Eason Technology Ltd. ADR (DXF),54.6K,7.05,0.79,12.62
39,Ulta Beauty Inc. (ULTA),2.2M,354.16,39.69,12.62
40,GeneDx Holdings Corp. (WGS),400.1K,100.54,11.22,12.56
41,Mobilicom Ltd. ADR (MOB),111.9K,2.35,0.26,12.44
42,ServiceTitan Inc. Cl A (TTAN),519.6K,92.5,10.16,12.34
43,Soho House & Co. Inc. (SHCO),380.6K,5.83,0.64,12.33
44,iHuman Inc. ADR (IH),245.9K,2.91,0.32,12.18
45,Exodus Movement Inc. (EXOD),57.3K,29.23,3.15,12.08
46,Pangaea Logistics Solutions Ltd. (PANL),347.9K,5.42,0.58,12.06
47,TG Therapeutics Inc. (TGTX),2.4M,41.47,4.41,11.9
48,Red Cat Holdings Inc. (RCAT),2.7M,5.5,0.58,11.89
49,Hallador Energy Co. (HNRG),601.7K,11.23,1.19,11.85
50,Navitas Semiconductor Corp. (NVTS),3.3M,2.5,0.27,11.83
51,Inotiv Inc. (NOTV),259.2K,2.94,0.31,11.81
52,WeRide Inc. ADR (WRD),2.7M,18.18,1.91,11.74
53,Tonix Pharmaceuticals Holding Corp. (TNXP),710.6K,15.24,1.6,11.73
54,DouYu International Holdings Ltd. ADR (DOYU),495.5K,8.89,0.93,11.68
55,Children's Place Inc. (PLCE),337.5K,7.89,0.81,11.44
56,Laser Photonics Corp. (LASE),143.1K,3.58,0.37,11.43
57,Uni-Fuels Holdings Ltd. (UFG),466.2K,5.19,0.53,11.37
58,SoundHound AI Inc. (SOUN),26.7M,9.92,1.01,11.33
59,Avis Budget Group Inc. (CAR),1.0M,61.75,6.26,11.28
60,Sight Sciences Inc. (SGHT),134.6K,2.68,0.27,11.23
61,Unusual Machines Inc. (UMAC),530.4K,6.29,0.63,11.13
62,Rush Street Interactive Inc. (RSI),1.1M,10.74,1.06,10.95
