,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,QBTS,D-Wave Quantum Inc.,,10.15 +3.24 (+46.89%),3.24,+46.89%,259.529M,84.563M,2.706B,-,232.21%,
1,RGTI,"Rigetti Computing, Inc.",,11.22 +2.47 (+28.23%),2.47,+28.23%,124.453M,138.127M,3.207B,-,345.29%,
2,RBRK,"Rubrik, Inc.",,70.64 +15.36 (+27.79%),15.36,+27.79%,6.952M,2.347M,13.086B,-,49.41%,
3,SMTC,Semtech Corporation,,39.60 +6.89 (+21.06%),6.89,+21.06%,8.022M,2.554M,3.413B,-,43.15%,
4,IONQ,"IonQ, Inc.",,25.00 +3.63 (+16.99%),3.63,+16.99%,37.559M,25.857M,5.972B,-,129.54%,
5,PTON,"Peloton Interactive, Inc.",,7.05 +0.98 (+16.14%),0.98,+16.14%,31.001M,14.299M,2.749B,-,40.51%,
6,SOUN,"SoundHound AI, Inc.",,10.34 +1.43 (+16.05%),1.43,+16.05%,41.739M,62.6M,4.125B,-,0.00%,
7,OKLO,Oklo Inc.,,27.72 +3.77 (+15.74%),3.77,+15.74%,13.128M,18.59M,3.792B,-,123.00%,
8,DOCU,"DocuSign, Inc.",,85.76 +11.06 (+14.81%),11.06,+14.81%,11.925M,2.476M,17.325B,16.88,31.58%,
9,WXXWY,WuXi Biologics (Cayman) Inc.,,6.87 +0.87 (+14.50%),0.87,+14.50%,22153,44613,14.072B,40.41,66.24%,
10,ULTA,"Ulta Beauty, Inc.",,357.48 +43.01 (+13.68%),43.01,+13.68%,3.368M,922801,16.577B,14.10,-41.33%,
11,WRD,WeRide Inc.,,18.40 +2.13 (+13.09%),2.13,+13.09%,7.826M,1.511M,5.051B,-,-1.69%,
12,ROOT,"Root, Inc.",,151.73 +17.50 (+13.04%),17.5,+13.04%,1.141M,517183,2.306B,82.91,153.79%,
13,MSTR,MicroStrategy Incorporated,,297.49 +34.23 (+13.00%),34.23,+13.00%,23.599M,19.581M,77.472B,-,47.70%,
14,BOLSY,"B3 S.A. - Brasil, Bolsa, Balcão",,6.77 +0.75 (+12.46%),0.75,+12.46%,100101,168140,11.914B,15.74,-13.91%,
