,Unnamed: 0,Volume,Last,Chg,% Chg
0,Monogram Technologies Inc. (MGRM),34.1M,3.67,1.34,57.51
1,Arqit Quantum Inc. (ARQQ),2.8M,23.54,8.54,56.93
2,NanoVibronix Inc. (NAOV),41.9M,3.43,1.22,55.49
3,vTv Therapeutics Inc. Cl A (VTVT),509.5K,22.74,7.89,53.13
4,Quantum Biopharma Ltd. (QNTM),8.4M,7.18,2.29,46.83
5,Regencell Bioscience Holdings Ltd. (RGC),2.7M,18.5,5.88,46.59
6,CervoMed Inc. (CRVO),19.9M,9.05,2.61,40.53
7,Quantum Corp. (QMCO),6.7M,21.49,6.15,40.09
8,Resolute Holdings Management (RHLD),137.6K,44.19,12.12,37.79
9,Mingteng International Corp. Inc. (MTEN),752.7K,7.71,2.03,35.74
10,SmartKem Inc. (SMTK),104.9K,2.8,0.68,32.08
11,Guess? Inc. (GES),7.0M,12.62,2.92,30.1
12,Niu Technologies ADR (NIU),8.2M,3.51,0.79,29.04
13,Luminar Technologies Inc. (LAZR),4.6M,6.42,1.37,27.13
14,Currenc Group Inc. (CURR),2.2M,2.57,0.54,26.6
15,NCS Multistage Holdings Inc. (NCSM),80.8K,33.49,6.73,25.15
16,Unusual Machines Inc. (UMAC),2.4M,7.95,1.55,24.22
17,Xponential Fitness Inc. (XPOF),2.2M,9.19,1.73,23.19
18,Firefly Neuroscience Inc. (AIFF),2.9M,5.23,0.98,23.06
19,Diginex Ltd. (DGNX),59.5K,64.8,11.99,22.7
20,Iveda Solutions Inc. (IVDA),67.7K,2.84,0.51,21.89
21,Wellgistics Health Inc. (WGRX),87.2K,3.49,0.59,20.34
22,Huachen AI Parking Management Technology Holding Co. Ltd. (HCAI),225.1K,10.08,1.68,20.0
23,Atlantic International Corp. (ATLN),78.4K,5.91,0.97,19.64
24,Cloudastructure Inc. Cl A (CSAI),466.4K,6.09,0.99,19.41
25,Capstone Holding Corp. (CAPS),4.3M,2.98,0.48,19.2
26,RedHill Biopharma Ltd. ADR (RDHL),84.4K,3.01,0.45,17.58
27,Draganfly Inc. (DPRO),91.8K,2.91,0.43,17.34
28,Mercurity Fintech Holding Inc. (MFH),72.9K,6.04,0.86,16.6
29,Kestra Medical Technologies Ltd. (KMTS),611.5K,24.78,3.51,16.5
30,Knightscope Inc. (KSCP),389.6K,5.0,0.7,16.28
31,Sow Good Inc. (SOWG),69.0K,2.86,0.4,16.26
32,Vertical Aerospace Ltd. (EVTL),592.7K,4.06,0.54,15.34
33,Exodus Movement Inc. (EXOD),70.5K,32.35,4.3,15.33
34,Artiva Biotherapeutics Inc. (ARTV),135.0K,5.87,0.77,15.1
35,Lifeway Foods Inc. (LWAY),166.7K,23.06,3.0,14.96
36,Atlas Lithium Corp. (ATLX),467.2K,6.25,0.8,14.68
37,Reitar Logtech Holdings Ltd. (RITR),60.1K,3.77,0.48,14.59
38,Ambipar Emergency Response (AMBI),93.5K,5.01,0.63,14.38
39,Digital Turbine Inc. (APPS),5.0M,3.83,0.48,14.33
40,Reborn Coffee Inc. (REBN),126.2K,4.77,0.58,13.84
41,Gain Therapeutics Inc. (GANX),643.6K,2.4,0.29,13.74
42,Satellogic Inc. (SATL),1.4M,4.06,0.48,13.57
43,Surf Air Mobility Inc. (SRFM),178.3K,4.16,0.49,13.35
44,SEALSQ Corp. (LAES),24.2M,3.76,0.44,13.25
45,Beta Bionics Inc. (BBNX),538.4K,16.61,1.94,13.22
46,U-BX Technology Ltd. (UBXG),97.9K,4.41,0.51,13.19
47,Quantum Computing Inc. (QUBT),78.9M,8.02,0.93,13.12
48,Marwynn Holdings Inc. (MWYN),121.9K,4.78,0.55,13.0
49,Junee Ltd. (JUNE),106.5K,6.5,0.74,12.85
50,Maxeon Solar Technologies Ltd. (MAXN),273.4K,4.16,0.47,12.74
51,Cango Inc. ADR (CANG),867.3K,4.26,0.48,12.7
52,Hesai Group ADR (HSAI),8.8M,22.3,2.5,12.63
53,Metsera Inc. (MTSR),521.3K,28.38,3.17,12.57
54,Contango ORE Inc. (CTGO),173.3K,10.66,1.17,12.33
