,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,IONQ,"IonQ, Inc.",,21.82 +3.12 (+16.68%),3.12,+16.68%,25.586M,25.7M,5.212B,-,94.18%,
1,CXM,"Sprinklr, Inc.",,9.42 +1.34 (+16.58%),1.34,+16.58%,6.999M,1.617M,2.396B,62.80,-41.32%,
2,TLN,Talen Energy Corporation,,199.09 +22.53 (+12.76%),22.53,+12.76%,2.894M,1.18M,9.151B,11.27,109.44%,
3,DJTWW,Trump Media & Technology Group Corp.,,12.19 +1.28 (+11.77%),1.28,+11.77%,108795,118983,3.894B,-,-13.40%,
4,NBIS,Nebius Group N.V.,,28.40 +2.95 (+11.59%),2.95,+11.59%,19.056M,12.122M,6.695B,-,27.25%,
5,VKTX,"Viking Therapeutics, Inc.",,29.55 +3.03 (+11.43%),3.03,+11.43%,7.467M,4.512M,3.317B,-,-63.15%,
6,RGTI,"Rigetti Computing, Inc.",,8.95 +0.90 (+11.18%),0.9,+11.18%,70.408M,140.27M,2.558B,-,294.61%,
7,VIST,"Vista Energy, S.A.B. de C.V.",,47.24 +4.54 (+10.63%),4.54,+10.63%,1.742M,900168,4.557B,10.20,7.42%,
8,RNA,"Avidity Biosciences, Inc.",,32.61 +3.03 (+10.24%),3.03,+10.24%,1.295M,1.353M,3.92B,-,19.13%,
9,RNMBY,Rheinmetall AG,,279.37 +25.72 (+10.14%),25.72,+10.14%,42538,82027,60.648B,114.50,174.29%,
10,TGS,Transportadora de Gas del Sur S.A.,,26.71 +2.44 (+10.05%),2.44,+10.05%,293176,343874,4.65B,28.12,95.57%,
11,ACHR,Archer Aviation Inc.,,7.48 +0.67 (+9.84%),0.67,+9.84%,21.202M,37.035M,4.058B,-,32.49%,
12,GEO,"The GEO Group, Inc.",,25.92 +2.31 (+9.78%),2.31,+9.78%,4.966M,2.897M,3.639B,117.82,91.95%,
13,CRDO,Credo Technology Group Holding Ltd,,47.53 +4.17 (+9.62%),4.17,+9.62%,7.365M,5.676M,8.071B,1584.33,113.60%,
14,FNMA,Federal National Mortgage Association,,5.65 +0.46 (+8.86%),0.46,+8.86%,2.934M,16.532M,6.543B,-,246.00%,
15,CLF,Cleveland-Cliffs Inc.,,9.79 +0.77 (+8.54%),0.77,+8.54%,29.566M,18.114M,4.841B,-,-55.85%,
16,RKT,"Rocket Companies, Inc.",,14.25 +1.07 (+8.12%),1.07,+8.12%,17.081M,4.336M,28.319B,67.86,5.52%,
17,AMTM,"Amentum Holdings, Inc.",,18.42 +1.38 (+8.10%),1.38,+8.10%,10.616M,3.039M,4.482B,-,-42.26%,
18,VRNA,Verona Pharma plc,,67.60 +4.90 (+7.81%),4.9,+7.81%,1.544M,1.394M,8.995B,-,275.67%,
19,SMMT,Summit Therapeutics Inc.,,19.91 +1.41 (+7.62%),1.41,+7.62%,2.742M,2.485M,14.687B,-,310.20%,
20,TSLA,"Tesla, Inc.",,248.09 +17.51 (+7.59%),17.51,+7.59%,139.782M,88.97M,797.986B,122.21,36.05%,
21,ONTO,Onto Innovation Inc.,,133.99 +9.42 (+7.56%),9.42,+7.56%,1.249M,971406,6.602B,33.00,-29.63%,
22,MU,"Micron Technology, Inc.",,95.64 +6.59 (+7.40%),6.59,+7.40%,23.517M,24.815M,106.559B,27.40,-5.43%,
23,CXW,"CoreCivic, Inc.",,20.09 +1.36 (+7.26%),1.36,+7.26%,1.918M,1.27M,2.187B,32.40,26.90%,
24,PLTR,Palantir Technologies Inc.,,83.65 +5.60 (+7.17%),5.6,+7.17%,115.866M,98.585M,196.189B,440.26,212.20%,
25,HOOD,"Robinhood Markets, Inc.",,38.92 +2.56 (+7.04%),2.56,+7.04%,50.432M,30.345M,34.462B,24.95,111.89%,
26,SOUN,"SoundHound AI, Inc.",,9.13 +0.59 (+6.91%),0.59,+6.91%,35.493M,65.387M,3.643B,-,-1.27%,
27,SMNEY,Siemens Energy AG,,62.89 +3.92 (+6.65%),3.92,+6.65%,41344,282579,49.695B,-,286.55%,
28,ADMA,"ADMA Biologics, Inc.",,18.50 +1.15 (+6.63%),1.15,+6.63%,3.878M,2.455M,4.377B,22.84,177.16%,
29,VST,Vistra Corp.,,121.92 +7.56 (+6.61%),7.56,+6.61%,12.931M,8.636M,41.326B,17.42,86.98%,
30,BBAR,Banco BBVA Argentina S.A.,,18.58 +1.15 (+6.60%),1.15,+6.60%,796954,894308,4.395B,11.40,122.61%,
31,NVDA,NVIDIA Corporation,,115.74 +6.99 (+6.43%),6.99,+6.43%,320.76M,268.911M,2.824T,39.37,19.66%,
32,RDDT,"Reddit, Inc.",,130.68 +7.95 (+6.48%),7.95,+6.48%,11.016M,6.5M,23.641B,-,143.32%,
33,UPST,"Upstart Holdings, Inc.",,49.66 +3.01 (+6.45%),3.01,+6.45%,7.12M,6.001M,4.654B,-,85.49%,
34,SITM,SiTime Corporation,,166.46 +10.06 (+6.43%),10.06,+6.43%,369697,296770,3.928B,-,72.38%,
35,VICR,Vicor Corporation,,53.31 +3.22 (+6.43%),3.22,+6.43%,326059,282646,2.409B,380.79,39.49%,
36,GLNG,Golar LNG Limited,,34.04 +2.05 (+6.39%),2.05,+6.39%,2.469M,1.357M,3.557B,309.45,35.25%,
37,ACLX,"Arcellx, Inc.",,72.72 +4.36 (+6.38%),4.36,+6.38%,797113,657258,3.996B,-,-3.10%,
38,PTON,"Peloton Interactive, Inc.",,6.10 +0.36 (+6.27%),0.36,+6.27%,16.723M,14.206M,2.379B,-,30.16%,
39,YPF,YPF Sociedad Anónima,,33.89 +2.00 (+6.27%),2.0,+6.27%,1.59M,2.059M,15.368B,5.66,76.09%,
40,GGAL,Grupo Financiero Galicia S.A.,,57.78 +3.39 (+6.23%),3.39,+6.23%,1.115M,1.121M,10.744B,6.04,123.83%,
41,NVMI,Nova Ltd.,,224.75 +13.11 (+6.19%),13.11,+6.19%,354719,244910,6.58B,39.09,24.74%,
42,CASY,"Casey's General Stores, Inc.",,402.07 +23.36 (+6.17%),23.36,+6.17%,797755,276124,14.636B,28.02,27.98%,
43,RBRK,"Rubrik, Inc.",,57.11 +3.29 (+6.11%),3.29,+6.11%,2.129M,2.402M,10.579B,-,45.46%,
44,ASAN,"Asana, Inc.",,13.41 +0.77 (+6.09%),0.77,+6.09%,4.956M,3.753M,3.067B,-,-22.26%,
45,DNLI,Denali Therapeutics Inc.,,15.95 +0.91 (+6.05%),0.91,+6.05%,2.062M,1.104M,2.316B,-,-28.04%,
46,PINS,"Pinterest, Inc.",,33.28 +1.89 (+6.02%),1.89,+6.02%,18.571M,11.43M,22.572B,12.46,-9.28%,
47,PAM,Pampa Energía S.A.,,80.46 +4.56 (+6.01%),4.56,+6.01%,335407,259770,5.053B,7.00,93.82%,
48,MTSI,"MACOM Technology Solutions Holdings, Inc.",,106.97 +6.04 (+5.98%),6.04,+5.98%,1.151M,734150,7.952B,-,10.49%,
49,BRZE,"Braze, Inc.",,35.60 +2.00 (+5.95%),2.0,+5.95%,1.327M,1.22M,3.684B,-,-36.48%,
50,AXON,"Axon Enterprise, Inc.",,557.89 +31.25 (+5.93%),31.25,+5.93%,1.178M,975853,42.747B,116.47,71.67%,
51,IOT,Samsara Inc.,,38.02 +2.12 (+5.91%),2.12,+5.91%,7.39M,3.649M,21.337B,-,-6.41%,
52,SOC,Sable Offshore Corp.,,24.41 +1.36 (+5.90%),1.36,+5.90%,1.263M,1.513M,2.175B,-,93.86%,
53,CIVI,"Civitas Resources, Inc.",,34.94 +1.94 (+5.88%),1.94,+5.88%,2.905M,1.747M,3.25B,4.13,-53.77%,
54,SOFI,"SoFi Technologies, Inc.",,11.92 +0.66 (+5.86%),0.66,+5.86%,53.904M,46.005M,13.071B,30.56,52.57%,
55,DUOL,"Duolingo, Inc.",,291.02 +16.11 (+5.86%),16.11,+5.86%,946452,778955,13.167B,155.63,21.87%,
56,INTR,"Inter & Co, Inc.",,5.46 +0.30 (+5.81%),0.3,+5.81%,2.971M,2.646M,2.401B,15.17,-18.48%,
57,IESC,"IES Holdings, Inc.",,179.35 +9.80 (+5.78%),9.8,+5.78%,282183,226958,3.588B,16.71,66.96%,
58,BTSG,"BrightSpring Health Services, Inc.",,17.76 +0.97 (+5.78%),0.97,+5.78%,2.303M,1.644M,3.108B,-,91.89%,
59,APP,AppLovin Corporation,,272.59 +14.83 (+5.75%),14.83,+5.75%,12.725M,6.833M,92.669B,60.17,308.56%,
60,VERX,"Vertex, Inc.",,33.99 +1.84 (+5.72%),1.84,+5.72%,2.229M,1.263M,5.377B,-,8.40%,
61,GKOS,Glaukos Corporation,,103.34 +5.55 (+5.68%),5.55,+5.68%,1.403M,810013,5.846B,-,11.62%,
62,WGS,GeneDx Holdings Corp.,,92.08 +4.91 (+5.63%),4.91,+5.63%,521508,1.036M,2.585B,-,714.67%,
63,KYMR,"Kymera Therapeutics, Inc.",,35.10 +1.83 (+5.50%),1.83,+5.50%,647091,572824,2.28B,-,-21.35%,
64,RUM,Rumble Inc.,,8.21 +0.42 (+5.39%),0.42,+5.39%,2.28M,6.636M,2.605B,-,-8.14%,
65,SPOT,Spotify Technology S.A.,,535.84 +27.40 (+5.39%),27.4,+5.39%,3.615M,2.154M,109.69B,90.06,97.64%,
66,MOD,Modine Manufacturing Company,,84.36 +4.29 (+5.36%),4.29,+5.36%,1.32M,1.307M,4.435B,28.40,-3.44%,
67,USLM,"United States Lime & Minerals, Inc.",,92.73 +4.66 (+5.29%),4.66,+5.29%,143707,123051,2.654B,24.47,50.21%,
68,GLBE,Global-E Online Ltd.,,38.67 +1.94 (+5.28%),1.94,+5.28%,3.632M,1.589M,6.458B,-,2.17%,
69,MNSO,MINISO Group Holding Limited,,20.96 +1.04 (+5.22%),1.04,+5.22%,1.379M,1.016M,6.602B,20.96,0.91%,
70,ALVO,Alvotech,,11.37 +0.56 (+5.18%),0.56,+5.18%,95176,171198,3.433B,-,-29.76%,
71,CRWD,"CrowdStrike Holdings, Inc.",,346.76 +17.01 (+5.16%),17.01,+5.16%,5.098M,3.911M,85.952B,-,-0.73%,
72,SMTC,Semtech Corporation,,33.85 +1.65 (+5.12%),1.65,+5.12%,2.757M,2.526M,2.917B,-,39.09%,
73,RARE,Ultragenyx Pharmaceutical Inc.,,40.29 +1.96 (+5.11%),1.96,+5.11%,677519,877339,3.727B,-,-21.05%,
74,GEV,GE Vernova Inc.,,298.68 +14.47 (+5.09%),14.47,+5.09%,4.249M,3.988M,82.406B,53.62,100.12%,
75,RSI,"Rush Street Interactive, Inc.",,10.58 +0.50 (+4.96%),0.5,+4.96%,1.753M,2.073M,2.413B,352.67,69.98%,
