,Unnamed: 0,Volume,Last,Chg,% Chg
42,Lightbridge Corp. (LTBR),1.4M,9.35,1.19,14.58
43,Cango Inc. ADR (CANG),725.4K,3.78,0.48,14.55
44,Wolfspeed Inc. (WOLF),28.5M,5.85,0.74,14.48
45,Soho House & Co. Inc. (SHCO),737.3K,5.94,0.75,14.45
46,Palladyne AI Corp. (PDYN),1.8M,7.38,0.93,14.42
47,Cloudastructure Inc. Cl A (CSAI),412.1K,5.1,0.64,14.35
48,Vaalco Energy Inc. (EGY),1.7M,4.33,0.54,14.25
49,Altimmune Inc. (ALT),12.2M,5.92,0.72,13.85
50,Frequency Electronics Inc. (FEIM),256.7K,16.0,1.94,13.8
51,Ulta Beauty Inc. (ULTA),3.4M,357.48,43.01,13.68
52,NRX Pharmaceuticals Inc. (NRXP),261.0K,2.35,0.28,13.53
53,Inotiv Inc. (NOTV),377.6K,2.98,0.35,13.52
54,ALT5 Sigma Corp. (ALTS),163.5K,4.64,0.55,13.45
55,Barnes & Noble Education Inc. (BNED),657.1K,9.9,1.17,13.4
56,Laird Superfood Inc. (LSF),98.0K,5.34,0.63,13.38
57,Mingteng International Corp. Inc. (MTEN),878.7K,5.68,0.67,13.37
58,Hertz Global Holdings Inc. (HTZ),11.3M,3.82,0.45,13.2
59,Sandisk Corp. (SNDK),4.8M,54.82,6.38,13.17
60,Sight Sciences Inc. (SGHT),203.3K,2.72,0.32,13.1
61,WeRide Inc. ADR (WRD),7.9M,18.4,2.13,13.09
62,Unusual Machines Inc. (UMAC),728.6K,6.4,0.74,13.07
63,Root Inc. Cl A (ROOT),1.1M,151.73,17.5,13.04
64,Redwire Corp. (RDW),1.5M,10.6,1.22,13.01
65,MicroStrategy Inc. (MSTR),23.7M,297.49,34.23,13.0
66,ServiceTitan Inc. Cl A (TTAN),878.4K,93.0,10.66,12.95
67,Heritage Global Inc. (HGBL),408.7K,2.36,0.27,12.92
68,ZJK Industrial Co. Ltd. (ZJK),65.4K,4.91,0.56,12.87
69,Baosheng Media Group Holdings Ltd. (BAOS),3.6M,2.37,0.27,12.86
70,Laser Photonics Corp. (LASE),218.6K,3.62,0.41,12.77
71,Wrap Technologies Inc. (WRAP),185.2K,2.26,0.25,12.44
72,PSQ Holdings Inc. Cl A (PSQH),1.1M,2.65,0.29,12.29
73,Pangaea Logistics Solutions Ltd. (PANL),488.3K,5.43,0.59,12.19
74,Yoshiharu Global Co. (YOSH),188.6K,20.19,2.19,12.17
75,Emerald Holding Inc. (EEX),316.6K,4.09,0.44,12.05
76,GEN Restaurant Group Inc. Cl A (GENK),131.6K,6.33,0.68,12.04
77,VNET Group Inc. ADR (VNET),10.7M,11.65,1.25,12.02
78,Tempus AI Inc. (TEM),11.0M,47.17,5.0,11.87
79,Junee Ltd. (JUNE),97.1K,5.76,0.61,11.84
80,Innodata Inc. (INOD),2.6M,48.18,5.04,11.68
81,Avis Budget Group Inc. (CAR),2.1M,61.95,6.46,11.64
82,Navitas Semiconductor Corp. (NVTS),5.0M,2.5,0.26,11.61
83,Veritone Inc. (VERI),546.7K,2.61,0.27,11.54
84,One Stop Systems Inc. (OSS),136.8K,2.9,0.3,11.54
85,Beyond Inc. (BYON),3.4M,5.62,0.58,11.51
86,Applied Digital Corp. (APLD),19.0M,7.0,0.72,11.46
87,Aurora Innovation Inc. (AUR),24.2M,6.97,0.71,11.34
88,BriaCell Therapeutics Corp. (BCTX),62.1K,3.84,0.39,11.3
89,Aligos Therapeutics Inc. (ALGS),137.8K,11.44,1.16,11.28
90,Atlanticus Holdings Corp. (ATLC),90.2K,48.64,4.93,11.28
91,CervoMed Inc. (CRVO),9.0M,6.44,0.65,11.23
92,POET Technologies Inc. (POET),1.1M,3.93,0.4,11.17
93,Afya Ltd. (AFYA),208.5K,18.03,1.81,11.16
94,Brag House Holdings Inc. (TBH),3.4M,4.86,0.48,11.1
95,EHang Holdings Ltd. ADR (EH),2.8M,24.18,2.41,11.07
96,Nabors Industries Ltd. (NBR),568.7K,43.56,4.33,11.04
97,CTRL Group Ltd. (MCTR),188.9K,7.77,0.76,10.88
98,Quest Resource Holding Corp. (QRHC),225.5K,2.97,0.29,10.82
99,SiNtx Technologies Inc. (SINT),130.9K,3.42,0.33,10.68
