,Unnamed: 0,Volume,Last,Chg,% Chg
0,Radius Recycling Inc. (RDUS),8.5M,27.81,14.15,103.59
1,USA Rare Earth Inc. (USAR),381.3K,18.55,7.76,72.0
2,D-Wave Quantum Inc. (QBTS),261.2M,10.15,3.24,46.89
3,Applied Optoelectronics Inc. (AAOI),17.0M,22.11,6.24,39.32
4,Huachen AI Parking Management Technology Holding Co. Ltd. (HCAI),75.8K,8.4,1.95,30.23
5,Gorilla Technology Group Inc. (GRRR),7.6M,33.59,7.68,29.64
6,Quantum Computing Inc. (QUBT),43.9M,7.09,1.6,29.14
7,Rigetti Computing Inc. (RGTI),125.7M,11.22,2.47,28.23
8,Rubrik Inc. Cl A (RBRK),7.3M,70.64,15.36,27.79
9,Westrock Coffee Co. (WEST),757.1K,6.88,1.37,24.86
10,Firefly Neuroscience Inc. (AIFF),2.1M,4.25,0.79,22.83
11,Biote Corp. (BTMD),798.0K,3.76,0.69,22.48
12,Desktop Metal Inc. (DM),651.8K,2.49,0.45,22.06
13,Eason Technology Ltd. ADR (DXF),68.2K,7.63,1.37,21.88
14,Kingstone Cos. Inc. (KINS),700.2K,16.63,2.96,21.65
15,SEALSQ Corp. (LAES),24.1M,3.32,0.58,21.17
16,iRobot Corp. (IRBT),8.0M,3.7,0.65,21.11
17,Semtech Corp. (SMTC),8.1M,39.6,6.89,21.06
18,J-Long Group Ltd. (JL),98.1K,4.74,0.82,20.82
19,Callan JMB Inc. (CJMB),76.9K,5.3,0.9,20.45
20,Jiayin Group Inc. ADR (JFIN),330.7K,11.82,1.99,20.24
21,Cardlytics Inc. (CDLX),2.6M,2.47,0.4,19.32
22,Maxeon Solar Technologies Ltd. (MAXN),277.5K,3.69,0.58,18.65
23,Telesat Corp. Cl A (TSAT),277.6K,25.35,3.96,18.51
24,Sleep Number Corp. (SNBR),1.2M,7.35,1.14,18.36
25,Children's Place Inc. (PLCE),932.5K,8.37,1.29,18.22
26,PagerDuty Inc. (PD),4.4M,18.38,2.77,17.75
27,Edible Garden AG Inc. (EDBL),111.4K,2.82,0.42,17.5
28,IonQ Inc. (IONQ),37.8M,25.0,3.63,16.99
29,Green Dot Corp. Cl A (GDOT),2.3M,7.74,1.1,16.57
30,Peloton Interactive Inc. (PTON),31.0M,7.05,0.98,16.14
31,LexinFintech Holdings Ltd. ADR (LX),5.9M,10.53,1.46,16.1
32,SoundHound AI Inc. (SOUN),41.9M,10.34,1.43,16.05
33,Oklo Inc. (OKLO),13.6M,27.72,3.77,15.74
34,Arqit Quantum Inc. (ARQQ),609.3K,15.0,2.03,15.65
35,iHuman Inc. ADR (IH),263.1K,2.99,0.4,15.44
36,Pheton Holdings Ltd. Cl A (PTHL),64.8K,4.18,0.55,15.15
37,CNS Pharmaceuticals Inc. (CNSP),354.1K,3.12,0.41,15.13
38,NuScale Power Corp. (SMR),7.6M,17.51,2.3,15.12
39,Red Cat Holdings Inc. (RCAT),4.2M,5.66,0.74,15.04
40,DocuSign Inc. (DOCU),11.9M,85.76,11.06,14.81
41,Sonoma Pharmaceuticals Inc. (SNOA),386.7K,3.53,0.45,14.61
