,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,HSAI,Hesai Group,,22.30 +2.50 (+12.63%),2.5,+12.63%,8.52M,3.971M,2.843B,-,325.81%,
1,MHVIY,Mitsubishi Heavy Industries Ltd,,39.27 +4.25 (+12.14%),4.25,+12.14%,104762,222642,65.926B,38.13,43.58%,
2,TXHPF,"TechnoPro Holdings, Inc.",,20.03 +2.03 (+11.31%),2.03,+11.31%,18000,25,2.207B,18.90,-19.92%,
3,CELH,"Celsius Holdings, Inc.",,29.93 +2.85 (+10.52%),2.85,+10.52%,11.37M,9.88M,7.037B,66.51,-69.76%,
4,CALM,"Cal-Maine Foods, Inc.",,91.70 +8.67 (+10.44%),8.67,+10.44%,1.476M,934281,4.498B,7.13,37.38%,
5,QBTS,D-Wave Quantum Inc.,,11.18 +1.03 (+10.15%),1.03,+10.15%,207.269M,84.691M,2.98B,-,331.91%,
6,ASND,Ascendis Pharma A/S,,168.84 +15.86 (+10.37%),15.86,+10.37%,1.116M,462200,10.146B,-,4.03%,
7,ENPH,"Enphase Energy, Inc.",,63.80 +5.67 (+9.75%),5.67,+9.75%,4.513M,4.132M,8.452B,85.07,-47.72%,
8,DLO,DLocal Limited,,9.42 +0.80 (+9.28%),0.8,+9.28%,1.364M,1.312M,2.689B,24.15,-52.59%,
9,QFIN,"Qifu Technology, Inc.",,47.13 +3.94 (+9.12%),3.94,+9.12%,4.216M,1.207M,7.317B,9.72,133.84%,
10,BIDU,"Baidu, Inc.",,102.27 +8.45 (+9.01%),8.45,+9.01%,14.261M,4.76M,36.059B,11.23,-10.45%,
11,AEO,"American Eagle Outfitters, Inc.",,12.03 +0.97 (+8.77%),0.97,+8.77%,12.244M,4.848M,2.311B,7.16,-53.00%,
12,RNA,"Avidity Biosciences, Inc.",,33.83 +2.72 (+8.74%),2.72,+8.74%,1.384M,1.355M,4.067B,-,30.00%,
13,UEC,Uranium Energy Corp.,,5.52 +0.44 (+8.66%),0.44,+8.66%,10.108M,7.801M,2.367B,-,-20.38%,
14,TNXP,Tonix Pharmaceuticals Holding Corp.,,16.28 +1.28 (+8.53%),1.28,+8.53%,666355,1.644M,91.012M,-,-98.58%,
15,SGBAF,SES S.A.,,6.50 +0.51 (+8.51%),0.51,+8.51%,1000,3251,3.451B,-,-8.62%,
16,VRNA,Verona Pharma plc,,66.56 +5.17 (+8.42%),5.17,+8.42%,1.375M,1.432M,8.857B,-,295.30%,
17,TCOM,Trip.com Group Limited,,66.67 +4.94 (+8.00%),4.94,+8.00%,5.663M,3.67M,43.409B,19.49,40.18%,
18,LION,Lionsgate Studios Corp.,,8.19 +0.60 (+7.91%),0.6,+7.91%,463351,335344,2.364B,-,-29.00%,
19,NFE,New Fortress Energy Inc.,,9.99 +0.73 (+7.88%),0.73,+7.88%,4.143M,5.125M,2.735B,-,-69.25%,
20,RXRX,"Recursion Pharmaceuticals, Inc.",,6.84 +0.49 (+7.72%),0.49,+7.72%,16.815M,23.67M,2.75B,-,-44.40%,
21,TAL,TAL Education Group,,14.32 +1.02 (+7.67%),1.02,+7.67%,8.655M,7.165M,8.653B,75.37,12.24%,
22,YOU,"Clear Secure, Inc.",,26.37 +1.85 (+7.54%),1.85,+7.54%,2.38M,2.152M,3.609B,16.90,26.92%,
23,CVI,"CVR Energy, Inc.",,20.68 +1.45 (+7.54%),1.45,+7.54%,1.164M,1.24M,2.079B,344.67,-45.95%,
24,PBF,PBF Energy Inc.,,22.30 +1.56 (+7.52%),1.56,+7.52%,2.633M,2.593M,2.571B,-,-62.84%,
25,LITE,Lumentum Holdings Inc.,,68.31 +4.70 (+7.39%),4.7,+7.39%,3.337M,2.377M,4.727B,-,35.95%,
26,MTSUY,Mitsubishi Corporation,,18.84 +1.26 (+7.17%),1.26,+7.17%,30487,81413,74.914B,10.64,-12.62%,
27,SAIC,Science Applications International Corporation,,111.90 +7.47 (+7.15%),7.47,+7.15%,2.158M,704013,5.47B,18.84,-18.67%,
28,HOOD,"Robinhood Markets, Inc.",,42.02 +2.78 (+7.08%),2.78,+7.08%,45.536M,31.258M,37.207B,26.94,115.49%,
29,OTLY,Oatly Group AB,,9.46 +0.62 (+7.01%),0.62,+7.01%,114716,255019,283.119M,-,-56.67%,
30,INTC,Intel Corporation,,25.69 +1.64 (+6.82%),1.64,+6.82%,159.309M,96.25M,111.238B,-,-43.69%,
31,CDE,"Coeur Mining, Inc.",,6.43 +0.40 (+6.63%),0.4,+6.63%,20.583M,17.17M,4.106B,42.87,92.65%,
32,PAGS,PagSeguro Digital Ltd.,,8.32 +0.51 (+6.53%),0.51,+6.53%,4.681M,4.563M,2.528B,7.30,-44.49%,
33,VEON,VEON Ltd.,,44.75 +2.71 (+6.45%),2.71,+6.45%,87685,138348,3.162B,8.48,73.93%,
34,XIACF,Xiaomi Corporation,,7.41 +0.44 (+6.31%),0.44,+6.31%,40909,170163,184.708B,37.05,259.79%,
35,SSUMY,Sumitomo Corporation,,24.80 +1.47 (+6.30%),1.47,+6.30%,42352,70782,30.008B,11.17,-2.01%,
36,AG,First Majestic Silver Corp.,,7.09 +0.41 (+6.14%),0.41,+6.14%,19.276M,17.792M,3.432B,-,19.93%,
37,ORLA,Orla Mining Ltd.,,9.24 +0.53 (+6.08%),0.53,+6.08%,2.756M,801877,2.972B,-,139.94%,
38,AES,The AES Corporation,,13.05 +0.74 (+6.01%),0.74,+6.01%,18.242M,15.368M,9.29B,5.51,-17.27%,
39,LKNCY,Luckin Coffee Inc.,,35.63 +2.02 (+6.01%),2.02,+6.01%,1.339M,2.104M,10.006B,28.06,31.82%,
40,XIACY,Xiaomi Corporation,,36.97 +2.09 (+5.99%),2.09,+5.99%,263339,680212,184.415B,36.97,213.39%,
41,YMM,Full Truck Alliance Co. Ltd.,,13.68 +0.77 (+5.96%),0.77,+5.96%,9.085M,7.507M,14.306B,33.37,79.55%,
42,TWST,Twist Bioscience Corporation,,42.34 +2.38 (+5.96%),2.38,+5.96%,848433,972693,2.526B,-,18.12%,
43,GEV,GE Vernova Inc.,,331.96 +18.33 (+5.84%),18.33,+5.84%,4.375M,3.991M,91.588B,59.49,120.84%,
44,ENOV,Enovis Corporation,,39.19 +2.14 (+5.78%),2.14,+5.78%,1.251M,963201,2.232B,-,-36.93%,
45,LMND,"Lemonade, Inc.",,36.98 +2.01 (+5.75%),2.01,+5.75%,2.412M,2.282M,2.693B,-,118.02%,
46,IAC,IAC Inc.,,47.12 +2.56 (+5.75%),2.56,+5.75%,1.393M,968770,3.924B,-,-13.71%,
47,TEM,"Tempus AI, Inc.",,49.87 +2.70 (+5.72%),2.7,+5.72%,9.669M,12.584M,8.588B,-,17.19%,
48,MPWR,"Monolithic Power Systems, Inc.",,640.64 +34.58 (+5.71%),34.58,+5.71%,1.109M,871713,30.665B,17.50,-10.12%,
