,Unnamed: 0,Volume,Last,Chg,% Chg
0,Leishen Energy Holding Co. Ltd. (LSE),13.6M,13.46,5.68,73.17
1,Bowen Acquisition Corp. (BOWN),6.0M,6.8,2.48,57.23
2,Cloudastructure Inc. Cl A (CSAI),2.6M,8.08,2.51,45.11
3,Aterian Inc. (ATER),48.7M,2.88,0.77,36.45
4,Aditxt Inc. (ADTX),42.9M,9.59,2.09,27.84
5,Exodus Movement Inc. (EXOD),98.2K,38.38,8.13,26.85
6,COSCIENS Biopharma Inc. (CSCI),63.7K,4.13,0.8,23.9
7,BGSF Inc. (BGSF),222.3K,4.33,0.78,21.97
8,LZ Technology Holdings Ltd. Cl B (LZMH),390.5K,11.55,1.99,20.82
9,TuHURA Biosciences Inc. (HURA),312.7K,3.35,0.55,19.64
10,CNS Pharmaceuticals Inc. (CNSP),536.1K,4.24,0.69,19.49
11,Biodexa Pharmaceuticals PLC ADR (BDRX),37.0M,2.38,0.37,18.12
12,Service Properties Trust (SVC),3.4M,2.94,0.45,18.07
13,Signet Jewelers Ltd. (SIG),3.1M,57.01,8.71,18.03
14,PMGC Holdings Inc. (ELAB),124.4K,5.48,0.78,16.57
15,Xunlei Ltd. ADR (XNET),1.4M,5.18,0.7,15.74
16,AirSculpt Technologies Inc. (AIRS),198.4K,2.96,0.37,14.29
17,Aeva Technologies Inc. (AEVA),874.9K,3.06,0.38,14.22
18,StoneCo Ltd. Cl A (STNE),14.4M,11.23,1.38,14.02
19,trivago N.V. ADR (TRVG),112.7K,4.86,0.57,13.29
20,Venus Concept Inc. (VERO),94.9K,3.2,0.35,12.28
21,Diginex Ltd. (DGNX),56.3K,80.88,8.82,12.24
22,ScanTech AI Systems Inc. (STAI),738.0K,2.49,0.27,12.16
23,Brazil Potash Corp. (GRO),274.5K,3.75,0.4,11.94
24,Akebia Therapeutics Inc. (AKBA),4.8M,2.85,0.3,11.73
25,CARGO Therapeutics Inc. (CRGX),3.1M,4.24,0.44,11.58
26,Gyre Therapeutics Inc. (GYRE),241.1K,9.56,0.99,11.55
27,BGM Group Ltd. (BGM),99.5K,11.36,1.12,10.94
28,Virgin Galactic Holdings Inc. (SPCE),4.3M,4.18,0.4,10.58
29,Ollie's Bargain Outlet Holdings Inc. (OLLI),2.0M,109.43,10.37,10.47
30,E.W. Scripps Co. Cl A (SSP),1.1M,3.21,0.29,10.07
31,Wang & Lee Group Inc. (WLGS),1.7M,5.23,0.47,9.88
32,Canadian Solar Inc. (CSIQ),1.3M,10.74,0.95,9.76
33,Mineralys Therapeutics Inc. (MLYS),1.6M,16.92,1.49,9.62
34,INmune Bio Inc. (INMB),189.5K,7.87,0.68,9.46
35,Lightbridge Corp. (LTBR),721.3K,10.07,0.86,9.34
36,Sportradar Group AG Cl A (SRAD),2.1M,21.95,1.87,9.31
37,Quantum Biopharma Ltd. (QNTM),343.1K,7.1,0.6,9.23
38,BioXcel Therapeutics Inc. (BTAI),3.8M,2.4,0.2,9.09
39,GCL Global Holdings Ltd. (GCL),172.8K,2.4,0.2,9.09
40,HUTCHMED (China) Ltd. ADR (HCM),115.3K,16.25,1.3,8.7
41,Sonoma Pharmaceuticals Inc. (SNOA),96.4K,3.53,0.28,8.62
42,Semler Scientific Inc. (SMLR),148.5K,38.51,3.02,8.51
43,NuScale Power Corp. (SMR),4.0M,17.98,1.4,8.44
44,Structure Therapeutics Inc. ADR (GPCR),309.6K,22.87,1.76,8.34
45,Radiopharm Theranostics Ltd. ADR (RADX),56.3K,6.11,0.47,8.33
46,Sleep Number Corp. (SNBR),472.6K,6.8,0.52,8.27
47,Sarepta Therapeutics Inc. (SRPT),2.9M,79.56,6.03,8.19
48,TeraWulf Inc. (WULF),18.6M,3.2,0.24,8.1
49,authID Inc. (AUID),217.2K,5.4,0.39,7.78
50,Wolfspeed Inc. (WOLF),7.3M,5.87,0.42,7.71
51,A2Z Cust2Mate Solutions Corp. (AZ),69.8K,7.43,0.53,7.62
52,Shopify Inc. Cl A (SHOP),10.4M,101.1,7.09,7.54
53,Core Scientific Inc. (CORZ),6.0M,8.6,0.58,7.29
54,Eve Holding Inc. (EVEX),105.0K,3.32,0.23,7.26
55,Marcus Corp. (MCS),96.4K,17.38,1.15,7.09
56,Bitdeer Technologies Group (BTDR),1.7M,10.15,0.67,7.06
57,LENSAR Inc. (LNSR),138.4K,16.66,1.09,7.04
58,Forum Energy Technologies Inc. (FET),53.8K,21.24,1.39,7.0
59,Tivic Health Systems Inc. (TIVC),74.1K,3.37,0.22,6.98
60,Imax Corp. (IMAX),690.8K,26.02,1.68,6.88
61,PagSeguro Digital Ltd. Cl A (PAGS),3.5M,8.43,0.54,6.78
62,IREN Ltd. (IREN),8.6M,7.04,0.45,6.75
63,Affirm Holdings Inc. Cl A (AFRM),5.1M,46.64,2.94,6.73
64,Eos Energy Enterprises Inc. (EOSE),2.8M,4.38,0.28,6.71
65,VinFast Auto Ltd. (VFS),823.3K,3.48,0.21,6.6
66,LQR House Inc. (YHC),1.2M,2.59,0.16,6.58
67,Hims & Hers Health Inc. (HIMS),8.2M,33.55,2.06,6.54
68,Karman Holdings Inc. (KRMN),271.9K,36.75,2.25,6.52
69,Adverum Biotechnologies Inc. (ADVM),79.2K,5.22,0.32,6.5
70,Warby Parker Inc. (WRBY),1.9M,18.98,1.16,6.48
71,Vivid Seats Inc. (SEAT),1.3M,2.9,0.17,6.43
72,Gogo Inc. (GOGO),2.3M,7.38,0.45,6.42
73,Semtech Corp. (SMTC),928.4K,41.12,2.48,6.4
74,Roku Inc. Cl A (ROKU),4.4M,71.59,4.23,6.28
75,Qudian Inc. ADR (QD),386.7K,3.02,0.18,6.34
76,Coherent Corp. (COHR),1.7M,69.51,4.13,6.32
77,Nebius Group N.V. Cl A (NBIS),5.7M,27.28,1.61,6.29
78,Alta Equipment Group Inc. Cl A (ALTG),235.3K,5.48,0.32,6.2
79,Loma Negra Compania Industrial Argentina S.A. ADR (LOMA),149.5K,10.92,0.63,6.12
80,Ibotta Inc. (IBTA),448.4K,41.06,2.35,6.09
81,KLX Energy Services Holdings Inc. (KLXE),93.0K,4.01,0.23,6.08
82,Upland Software Inc. (UPLD),123.8K,3.52,0.2,6.02
