,Unnamed: 0,Volume,Last,Chg,% Chg
83,ADMA Biologics Inc. (ADMA),2.5M,19.83,1.12,5.99
84,Trump Media & Technology Group Corp. (DJT),3.9M,21.27,1.18,5.87
85,Surf Air Mobility Inc. (SRFM),421.5K,4.07,0.23,5.86
86,North European Oil Royalty Trust (NRT),50.5K,5.25,0.29,5.85
87,Soho House & Co. Inc. (SHCO),330.8K,7.06,0.39,5.85
88,GoodRx Holdings Inc. (GDRX),925.0K,4.74,0.26,5.8
89,Joint Corp. (JYNT),64.4K,11.95,0.65,5.75
90,Satellogic Inc. (SATL),482.2K,4.08,0.22,5.75
91,Y-mAbs Therapeutics Inc. (YMAB),75.5K,4.8,0.26,5.73
92,Adaptive Biotechnologies Corp. (ADPT),463.1K,7.77,0.42,5.71
93,Aris Water Solutions Inc. (ARIS),370.4K,31.14,1.68,5.68
94,Gannett Co. Inc. (GCI),501.0K,3.19,0.17,5.63
95,Borr Drilling Ltd. (BORR),4.0M,2.45,0.13,5.6
96,Golar LNG Ltd. (GLNG),732.3K,36.99,1.95,5.57
97,Biote Corp. (BTMD),339.0K,4.3,0.23,5.53
98,Banco BBVA Argentina S.A. ADR (BBAR),442.4K,18.6,0.97,5.5
99,Nexalin Technology Inc. (NXL),73.7K,2.32,0.12,5.45
