,Unnamed: 0,Volume,Last,Chg,% Chg
0,Bowen Acquisition Corp. (BOWN),209.9K,7.7,3.38,78.03
1,Leishen Energy Holding Co. Ltd. (LSE),10.1M,13.42,5.65,72.72
2,Aterian Inc. (ATER),37.9M,3.04,0.93,44.06
3,Aeva Technologies Inc. (AEVA),427.8K,3.35,0.67,25.04
4,Signet Jewelers Ltd. (SIG),1.7M,59.34,11.04,22.86
5,CNS Pharmaceuticals Inc. (CNSP),222.6K,4.22,0.67,18.87
6,Service Properties Trust (SVC),1.4M,2.94,0.46,18.27
7,LZ Technology Holdings Ltd. Cl B (LZMH),147.9K,11.3,1.75,18.25
8,Biodexa Pharmaceuticals PLC ADR (BDRX),32.2M,2.36,0.34,17.12
9,Cloudastructure Inc. Cl A (CSAI),139.3K,6.51,0.94,16.88
10,Surf Air Mobility Inc. (SRFM),183.4K,4.45,0.61,15.89
11,Wang & Lee Group Inc. (WLGS),52.0K,5.5,0.74,15.55
12,StoneCo Ltd. Cl A (STNE),9.0M,11.3,1.45,14.71
13,Aditxt Inc. (ADTX),17.3M,8.6,1.1,14.68
14,Quantum Biopharma Ltd. (QNTM),180.0K,7.33,0.83,12.83
15,Mineralys Therapeutics Inc. (MLYS),432.7K,17.37,1.94,12.6
16,AirSculpt Technologies Inc. (AIRS),74.3K,2.92,0.33,12.55
17,CARGO Therapeutics Inc. (CRGX),1.7M,4.26,0.46,11.97
18,GCL Global Holdings Ltd. (GCL),77.2K,2.46,0.26,11.95
19,Jet.AI Inc. (JTAI),83.8K,5.58,0.56,11.16
20,Ollie's Bargain Outlet Holdings Inc. (OLLI),941.6K,110.06,11.0,11.1
21,Gyre Therapeutics Inc. (GYRE),168.3K,9.5,0.93,10.85
22,BioXcel Therapeutics Inc. (BTAI),3.0M,2.42,0.22,10.0
23,IREN Ltd. (IREN),4.0M,7.22,0.63,9.55
24,LENSAR Inc. (LNSR),74.3K,17.0,1.44,9.28
25,ScanTech AI Systems Inc. (STAI),346.7K,2.42,0.2,9.03
26,VinFast Auto Ltd. (VFS),134.9K,3.54,0.28,8.74
27,Roku Inc. Cl A (ROKU),2.6M,72.78,5.42,8.05
28,Worksport Ltd. (WKSP),83.9K,4.06,0.3,7.98
29,TuHURA Biosciences Inc. (HURA),98.2K,3.02,0.22,7.86
30,Virgin Galactic Holdings Inc. (SPCE),1.4M,4.08,0.29,7.8
31,Sleep Number Corp. (SNBR),168.3K,6.76,0.48,7.64
32,Semler Scientific Inc. (SMLR),67.7K,38.16,2.67,7.54
33,LexinFintech Holdings Ltd. ADR (LX),3.2M,11.38,0.79,7.46
34,Canadian Solar Inc. (CSIQ),339.4K,10.5,0.71,7.31
35,Immunovant Inc. (IMVT),4.5M,20.16,1.37,7.29
36,PagSeguro Digital Ltd. Cl A (PAGS),2.1M,8.46,0.56,7.16
37,Phathom Pharmaceuticals Inc. (PHAT),402.6K,5.94,0.4,7.14
38,Lucid Group Inc. (LCID),32.0M,2.5,0.15,6.6
39,Borr Drilling Ltd. (BORR),1.1M,2.47,0.15,6.45
40,REGENXBIO Inc. (RGNX),904.3K,8.3,0.5,6.41
41,Biomea Fusion Inc. (BMEA),190.4K,2.69,0.16,6.32
42,Boeing Co. (BA),4.7M,171.75,10.18,6.3
43,Structure Therapeutics Inc. ADR (GPCR),76.4K,22.42,1.31,6.21
44,Aquestive Therapeutics Inc. (AQST),154.8K,2.92,0.17,6.15
45,Shopify Inc. Cl A (SHOP),5.2M,99.79,5.78,6.15
46,Methode Electronics Inc. (MEI),94.0K,6.79,0.39,6.09
47,Gogo Inc. (GOGO),1.3M,7.35,0.42,6.06
48,Sportradar Group AG Cl A (SRAD),834.2K,21.28,1.2,5.98
49,Bitdeer Technologies Group (BTDR),626.5K,10.05,0.56,5.96
50,Affirm Holdings Inc. Cl A (AFRM),2.5M,46.27,2.57,5.88
51,Nebius Group N.V. Cl A (NBIS),2.7M,27.15,1.48,5.77
52,TeraWulf Inc. (WULF),8.5M,3.13,0.17,5.74
53,Core Scientific Inc. (CORZ),2.1M,8.47,0.45,5.61
54,Tivic Health Systems Inc. (TIVC),52.2K,3.32,0.17,5.56
55,Tuya Inc. ADR (TUYA),826.6K,3.92,0.2,5.53
56,GoodRx Holdings Inc. (GDRX),307.2K,4.72,0.24,5.47
57,Open Lending Corp. Cl A (LPRO),224.0K,3.68,0.19,5.45
58,IBEX Ltd. (IBEX),202.0K,26.33,1.35,5.42
59,Peloton Interactive Inc. (PTON),2.1M,6.8,0.34,5.34
60,OppFi Inc. (OPFI),261.9K,9.63,0.49,5.32
61,Allot Ltd. (ALLT),71.1K,5.94,0.29,5.13
62,Sarepta Therapeutics Inc. (SRPT),1.2M,77.31,3.77,5.12
63,Akebia Therapeutics Inc. (AKBA),1.2M,2.68,0.13,5.11
64,Spire Global Inc. (SPIR),277.4K,8.96,0.43,5.11
65,National CineMedia Inc. (NCMI),171.3K,6.04,0.29,5.04
66,Golar LNG Ltd. (GLNG),225.2K,36.8,1.76,5.04
67,Luminar Technologies Inc. (LAZR),905.3K,7.17,0.34,4.98
68,Frontline PLC (FRO),921.9K,16.58,0.78,4.9
69,EVgo Inc. Cl A (EVGO),525.4K,2.68,0.13,4.88
70,Upstart Holdings Inc. (UPST),1.0M,50.1,2.31,4.83
71,Metsera Inc. (MTSR),88.1K,31.79,1.46,4.81
72,Hillenbrand Inc. (HI),57.0K,26.2,1.2,4.8
73,CompoSecure Inc. (CMPO),207.8K,11.4,0.52,4.78
74,Eos Energy Enterprises Inc. (EOSE),794.6K,4.3,0.2,4.76
75,Hut 8 Corp. (HUT),767.2K,12.64,0.57,4.72
76,Venture Global Inc. (VG),2.9M,11.4,0.51,4.68
77,Satellogic Inc. (SATL),308.4K,4.04,0.18,4.66
78,Omnicell Inc. (OMCL),117.0K,34.46,1.53,4.65
79,Trump Media & Technology Group Corp. (DJT),765.3K,21.02,0.93,4.63
80,Jumia Technologies AG ADR (JMIA),210.3K,2.49,0.11,4.62
81,CleanSpark Inc. (CLSK),4.6M,7.94,0.35,4.61
82,Clarivate PLC (CLVT),746.3K,4.5,0.2,4.52
83,Robinhood Markets Inc. (HOOD),16.2M,41.9,1.8,4.49
84,Coherent Corp. (COHR),541.9K,68.28,2.9,4.44
85,Westrock Coffee Co. (WEST),58.3K,6.84,0.29,4.43
86,J.Jill Inc. (JILL),58.3K,19.43,0.82,4.41
87,Soho House & Co. Inc. (SHCO),133.3K,6.96,0.29,4.35
88,Montauk Renewables Inc. (MNTK),52.7K,2.16,0.09,4.35
89,Burlington Stores Inc. (BURL),161.0K,244.05,10.15,4.34
90,Qudian Inc. ADR (QD),223.4K,2.96,0.12,4.26
91,Wingstop Inc. (WING),63.7K,215.8,8.8,4.25
92,Bumble Inc. Cl A (BMBL),543.8K,4.8,0.2,4.23
93,Super Micro Computer Inc. (SMCI),17.2M,39.5,1.6,4.22
