,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,INTC,Intel Corporation,,24.01 +3.33 (+16.10%),3.33,+16.10%,116.238M,92.165M,103.96B,-,-51.63%,
1,FN,Fabrinet,,223.97 +22.09 (+10.94%),22.09,+10.94%,478025,694106,8.061B,25.05,1.99%,
2,DLTR,"Dollar Tree, Inc.",,66.45 +4.53 (+7.32%),4.53,+7.32%,1.915M,2.963M,14.289B,-,-50.55%,
3,DG,Dollar General Corporation,,80.28 +5.43 (+7.25%),5.43,+7.25%,2.876M,3.674M,17.656B,13.25,-50.12%,
4,ALGM,"Allegro MicroSystems, Inc.",,26.33 +1.39 (+5.55%),1.39,+5.55%,1.343M,3.066M,4.847B,-,-12.28%,
5,MRCY,"Mercury Systems, Inc.",,44.18 +2.08 (+4.94%),2.08,+4.94%,103712,522350,2.637B,-,43.15%,
6,OII,"Oceaneering International, Inc.",,20.15 +0.79 (+4.08%),0.79,+4.08%,313445,860358,2.028B,13.99,-8.59%,
7,CTRE,"CareTrust REIT, Inc.",,28.07 +1.06 (+3.92%),1.06,+3.92%,321400,2.076M,5.268B,35.09,14.55%,
8,BIDU,"Baidu, Inc.",,95.91 +3.51 (+3.80%),3.51,+3.80%,2.728M,4.678M,33.743B,10.57,-11.70%,
9,FIS,"Fidelity National Information Services, Inc.",,70.59 +2.47 (+3.62%),2.47,+3.62%,804673,3.418M,37.39B,49.71,-0.15%,
10,CNTA,Centessa Pharmaceuticals plc,,17.53 +0.47 (+2.75%),0.47,+2.75%,206057,783844,2.311B,-,62.94%,
11,RNA,"Avidity Biosciences, Inc.",,33.71 +1.10 (+3.37%),1.1,+3.37%,531878,1.348M,4.052B,-,36.05%,
12,ORLA,Orla Mining Ltd.,,8.12 +0.28 (+3.50%),0.28,+3.50%,387238,760468,2.613B,-,112.74%,
13,SSRM,SSR Mining Inc.,,10.60 +0.36 (+3.52%),0.36,+3.52%,757376,2.743M,2.145B,-,149.76%,
14,F,Ford Motor Company,,9.93 +0.34 (+3.49%),0.34,+3.49%,31.405M,85.819M,39.337B,6.80,-20.61%,
15,AES,The AES Corporation,,12.27 +0.44 (+3.68%),0.44,+3.68%,2.547M,15.217M,8.731B,5.18,-21.29%,
16,NEM,Newmont Corporation,,45.08 +1.45 (+3.32%),1.45,+3.32%,1.992M,10.071M,50.799B,15.76,27.54%,
17,SCCO,Southern Copper Corporation,,93.40 +3.07 (+3.39%),3.07,+3.39%,507715,1.155M,74.367B,21.67,-6.01%,
18,PAGS,PagSeguro Digital Ltd.,,7.60 +0.23 (+3.12%),0.23,+3.12%,687575,4.688M,2.309B,6.73,-47.32%,
19,FCX,Freeport-McMoRan Inc.,,38.01 +1.24 (+3.36%),1.24,+3.36%,3.838M,14.506M,54.63B,29.24,-15.10%,
20,EGO,Eldorado Gold Corporation,,15.12 +0.47 (+3.21%),0.47,+3.21%,236846,1.645M,3.099B,10.36,14.81%,
21,MRNA,"Moderna, Inc.",,35.92 +0.92 (+2.61%),0.92,+2.61%,3.828M,11.82M,13.889B,-,-66.16%,
22,AMBA,"Ambarella, Inc.",,53.59 +1.59 (+3.06%),1.59,+3.06%,136760,836708,2.235B,-,2.04%,
23,HBM,Hudbay Minerals Inc.,,7.47 +0.20 (+2.75%),0.2,+2.75%,1.02M,6.379M,2.95B,37.35,8.02%,
24,TGTX,"TG Therapeutics, Inc.",,38.34 +1.11 (+2.98%),1.11,+2.98%,400710,2.512M,6.022B,255.60,142.38%,
