,Unnamed: 0,Volume,Last,Chg,% Chg
0,Quantum Biopharma Ltd. (QNTM),4.6M,8.45,3.56,72.81
1,vTv Therapeutics Inc. Cl A (VTVT),394.3K,25.63,10.78,72.61
2,Monogram Technologies Inc. (MGRM),31.1M,3.61,1.28,54.88
3,Regencell Bioscience Holdings Ltd. (RGC),2.3M,19.3,6.68,52.93
4,NanoVibronix Inc. (NAOV),39.0M,3.0,0.79,36.0
5,Mingteng International Corp. Inc. (MTEN),510.1K,7.61,1.93,34.05
6,Arqit Quantum Inc. (ARQQ),2.1M,20.09,5.09,33.93
7,Resolute Holdings Management (RHLD),64.7K,42.32,10.26,31.98
8,CervoMed Inc. (CRVO),17.1M,8.34,1.9,29.5
9,NCS Multistage Holdings Inc. (NCSM),67.2K,34.27,7.51,28.06
10,Guess? Inc. (GES),3.9M,12.41,2.71,27.98
11,Niu Technologies ADR (NIU),6.9M,3.48,0.76,27.94
12,Quantum Corp. (QMCO),4.6M,19.31,3.97,25.86
13,Firefly Neuroscience Inc. (AIFF),1.6M,5.25,1.0,23.53
14,Huachen AI Parking Management Technology Holding Co. Ltd. (HCAI),71.0K,10.24,1.84,21.9
15,Micropolis Holding Co. (MCRP),453.0K,4.59,0.81,21.48
16,SmartKem Inc. (SMTK),55.7K,2.57,0.45,21.23
17,Currenc Group Inc. (CURR),2.0M,2.46,0.42,20.94
18,Unusual Machines Inc. (UMAC),1.3M,7.65,1.25,19.53
19,Luminar Technologies Inc. (LAZR),3.3M,6.03,0.98,19.41
20,RedHill Biopharma Ltd. ADR (RDHL),69.8K,3.05,0.49,19.14
21,Cloudastructure Inc. Cl A (CSAI),362.3K,6.06,0.96,18.85
22,Ambipar Emergency Response (AMBI),67.9K,5.2,0.82,18.72
23,Xponential Fitness Inc. (XPOF),1.4M,8.82,1.36,18.3
24,Atlantic International Corp. (ATLN),54.7K,5.81,0.87,17.61
25,Knightscope Inc. (KSCP),238.1K,5.02,0.72,16.83
26,Maze Therapeutics Inc. (MAZE),60.2K,12.76,1.77,16.11
27,Quantum Computing Inc. (QUBT),64.9M,8.21,1.12,15.8
28,Satellogic Inc. (SATL),929.6K,4.14,0.56,15.68
29,Kestra Medical Technologies Ltd. (KMTS),400.9K,24.6,3.33,15.66
30,Arcutis Biotherapeutics Inc. (ARQT),5.8M,16.89,2.27,15.53
31,Annexon Inc. (ANNX),3.0M,2.99,0.39,15.0
32,Cango Inc. ADR (CANG),756.5K,4.34,0.56,14.81
33,Capstone Holding Corp. (CAPS),4.1M,2.86,0.36,14.4
34,Wellgistics Health Inc. (WGRX),80.2K,3.31,0.41,14.2
35,Beta Bionics Inc. (BBNX),255.4K,16.74,2.06,14.08
36,Jet.AI Inc. (JTAI),218.3K,4.9,0.6,13.95
37,SEALSQ Corp. (LAES),20.3M,3.77,0.45,13.55
38,Metsera Inc. (MTSR),217.3K,28.61,3.4,13.49
39,Vertical Aerospace Ltd. (EVTL),451.6K,3.99,0.47,13.35
40,Artiva Biotherapeutics Inc. (ARTV),66.3K,5.78,0.68,13.33
41,Radiopharm Theranostics Ltd. ADR (RADX),58.8K,6.56,0.76,13.1
42,Draganfly Inc. (DPRO),54.7K,2.8,0.32,12.9
43,Contango ORE Inc. (CTGO),99.3K,10.71,1.22,12.86
44,Yatsen Holding Ltd. ADR (YSG),853.5K,5.9,0.66,12.6
45,Cibus Inc. (CBUS),184.7K,2.48,0.28,12.5
46,Siyata Mobile Inc. (SYTA),162.8K,2.24,0.24,12.0
47,Reitar Logtech Holdings Ltd. (RITR),55.1K,3.68,0.39,11.85
48,Vera Bradley Inc. (VRA),201.1K,2.74,0.28,11.59
49,Calumet Inc. (CLMT),784.3K,13.45,1.39,11.53
50,Brag House Holdings Inc. (TBH),2.2M,5.41,0.56,11.43
51,908 Devices Inc. (MASS),897.8K,4.57,0.46,11.23
52,Power Solutions International Inc. (PSIX),283.7K,33.91,3.42,11.22
53,U-BX Technology Ltd. (UBXG),86.1K,4.34,0.43,11.15
54,Junee Ltd. (JUNE),101.5K,6.38,0.62,10.81
55,Sonoma Pharmaceuticals Inc. (SNOA),571.1K,3.91,0.38,10.75
56,Yiren Digital Ltd. ADR (YRD),299.3K,8.12,0.78,10.63
57,Milestone Pharmaceuticals Inc. (MIST),2.9M,2.4,0.23,10.59
58,OPAL Fuels Inc. (OPAL),120.7K,2.09,0.2,10.58
59,Celsius Holdings Inc. (CELH),5.6M,29.91,2.83,10.45
60,Qifu Technology Inc. ADR (QFIN),1.9M,47.7,4.51,10.44
61,Hesai Group ADR (HSAI),6.8M,21.86,2.06,10.4
62,Lifeway Foods Inc. (LWAY),83.9K,22.12,2.06,10.27
63,Motorcar Parts of America Inc. (MPAA),171.6K,11.48,1.04,10.02
64,Gain Therapeutics Inc. (GANX),337.2K,2.32,0.21,9.95
65,Gaotu Techedu Inc. ADR (GOTU),2.8M,4.04,0.36,9.92
66,CuriosityStream Inc. (CURI),312.7K,2.94,0.27,9.91
67,Ameresco Inc. Cl A (AMRC),336.2K,11.58,1.04,9.87
68,Oruka Therapeutics Inc. (ORKA),123.4K,12.17,1.08,9.74
69,Digital Turbine Inc. (APPS),2.7M,3.68,0.33,9.7
70,Cal-Maine Foods Inc. (CALM),550.9K,91.0,7.97,9.6
71,Veritone Inc. (VERI),416.9K,2.86,0.25,9.58
72,Diversified Energy Co. PLC (DEC),432.2K,13.06,1.11,9.29
73,Hudson Pacific Properties Inc. (HPP),1.4M,3.0,0.26,9.27
74,Luda Technology Group Ltd. (LUD),99.6K,4.76,0.4,9.17
75,Protalix BioTherapeutics Inc. (PLX),1.4M,2.44,0.2,9.15
76,Synchronoss Technologies Inc. (SNCR),194.7K,11.88,0.99,9.14
77,Lionsgate Studios Corp. (LION),207.7K,8.28,0.69,9.09
78,Global Mofy AI Ltd. (GMM),50.6K,4.49,0.37,9.01
79,BioXcel Therapeutics Inc. (BTAI),117.7K,2.32,0.19,8.92
80,Skyline Builders Group Holding Ltd. Cl A (SKBL),1.3M,11.98,0.98,8.91
81,Heron Therapeutics Inc. (HRTX),785.0K,2.52,0.2,8.84
82,dLocal Ltd. (DLO),730.9K,9.38,0.76,8.82
83,Baidu Inc. ADR (BIDU),9.9M,102.06,8.24,8.78
84,B2Gold Corp. (BTG),45.7M,3.22,0.26,8.74
85,Intrepid Potash Inc. (IPI),292.7K,28.88,2.31,8.7
86,Phathom Pharmaceuticals Inc. (PHAT),437.3K,4.79,0.38,8.62
87,Amber International Holding Ltd. ADR (AMBR),243.8K,12.9,1.02,8.59
88,JinkoSolar Holding Co. Ltd. ADR (JKS),482.8K,23.67,1.87,8.58
89,Oatly Group AB ADR (OTLY),83.5K,9.59,0.75,8.48
90,Reborn Coffee Inc. (REBN),67.5K,4.54,0.35,8.46
91,Duos Technologies Group Inc. (DUOT),54.4K,6.39,0.5,8.44
92,Gran Tierra Energy Inc. (GTE),385.1K,5.16,0.4,8.4
93,Uni-Fuels Holdings Ltd. (UFG),130.7K,5.18,0.4,8.37
94,Ascendis Pharma A/S ADR (ASND),601.7K,165.63,12.65,8.27
95,Children's Place Inc. (PLCE),315.1K,9.06,0.69,8.24
96,Dave & Buster's Entertainment Inc. (PLAY),662.9K,18.81,1.41,8.1
97,Intel Corp. (INTC),108.2M,26.0,1.95,8.09
98,Skillz Inc. (SKLZ),77.5K,4.74,0.35,8.09
99,Desktop Metal Inc. (DM),394.3K,2.69,0.2,8.03
