,Unnamed: 0,Volume,Last,Chg,% Chg
0,Regencell Bioscience Holdings Ltd. (RGC),589.6K,7.29,3.09,73.57
1,Heidmar Maritime Holdings Corp. (HMR),12.1M,3.36,0.81,31.76
2,E.W. Scripps Co. Cl A (SSP),4.3M,2.66,0.61,29.81
3,Aveanna Healthcare Holdings Inc. (AVAH),793.9K,4.77,1.03,27.54
4,FreightCar America Inc. (RAIL),595.3K,7.81,1.58,25.29
5,MeiraGTx Holdings PLC (MGTX),3.0M,7.92,1.51,23.63
6,Cibus Inc. (CBUS),193.8K,2.56,0.4,18.52
7,Quantum Corp. (QMCO),480.8K,13.27,2.01,17.81
8,OptimizeRx Corp. (OPRX),1.1M,7.35,1.07,17.08
9,NextNav Inc. (NN),1.3M,12.0,1.73,16.85
10,Blade Air Mobility Inc. (BLDE),1.2M,3.3,0.47,16.43
11,Intel Corp. (INTC),112.7M,24.02,3.34,16.15
12,Wang & Lee Group Inc. (WLGS),424.6K,3.6,0.48,15.38
13,D-Wave Quantum Inc. (QBTS),48.1M,6.72,0.9,15.46
14,Currenc Group Inc. (CURR),310.3K,3.42,0.43,14.38
15,Claros Mortgage Trust Inc. (CMTG),580.8K,3.84,0.42,12.28
16,G-III Apparel Group Ltd. (GIII),373.1K,28.2,2.86,11.29
17,Fabrinet (FN),441.5K,223.3,21.42,10.61
18,Yalla Group Ltd. ADR (YALA),769.2K,4.88,0.47,10.52
19,N-able Inc. (NABL),321.6K,7.76,0.61,8.53
20,Concrete Pumping Holdings Inc. (BBCP),171.0K,5.37,0.41,8.27
21,SolarBank Corp. (SUUN),55.4K,4.7,0.35,8.05
22,Aris Mining Corp. (ARMN),439.1K,4.38,0.32,7.88
23,Yatsen Holding Ltd. ADR (YSG),91.4K,4.64,0.33,7.54
24,Dollar Tree Inc. (DLTR),1.8M,66.56,4.64,7.49
25,Dollar General Corp. (DG),2.7M,80.44,5.59,7.47
26,ModivCare Inc. (MODV),136.2K,2.44,0.17,7.24
27,Build-A-Bear Workshop Inc. (BBW),160.4K,38.04,2.54,7.17
28,Algoma Steel Group Inc. (ASTL),558.4K,6.23,0.41,7.04
29,SenesTech Inc. (SNES),2.4M,2.46,0.16,6.96
30,Ramaco Resources Inc. Cl A (METC),259.8K,9.47,0.61,6.88
31,Savara Inc. (SVRA),548.6K,2.78,0.17,6.73
32,Ceragon Networks Ltd. (CRNT),801.4K,2.65,0.16,6.43
33,Unusual Machines Inc. (UMAC),196.4K,6.48,0.39,6.31
34,Shoals Technologies Group Inc. (SHLS),1.9M,3.12,0.18,6.12
35,National CineMedia Inc. (NCMI),147.1K,5.86,0.33,5.97
36,Ascent Industries Co. (ACNT),53.2K,12.48,0.7,5.95
37,Upland Software Inc. (UPLD),107.4K,3.28,0.18,5.81
38,Allegro MicroSystems Inc. (ALGM),1.3M,26.31,1.37,5.49
39,Gray Media Inc. (GTN),473.5K,4.33,0.22,5.33
40,Telomir Pharmaceuticals Inc. (TELO),57.6K,5.2,0.26,5.26
41,Arbutus Biopharma Corp. (ABUS),445.3K,3.36,0.17,5.17
42,MicroAlgo Inc. (MLGO),572.7K,4.16,0.2,5.17
43,Mercury Systems Inc. (MRCY),99.0K,44.18,2.08,4.94
44,Blaize Holdings Inc. (BZAI),53.9K,3.47,0.16,4.83
45,EHang Holdings Ltd. ADR (EH),1.0M,22.64,1.01,4.67
46,Pacira BioSciences Inc. (PCRX),85.7K,23.02,0.98,4.45
47,Heritage Insurance Holdings Inc. (HRTG),55.8K,12.53,0.53,4.42
48,Hello Group Inc. ADR (MOMO),370.5K,7.1,0.29,4.34
49,Venture Global Inc. (VG),1.2M,10.69,0.44,4.29
50,Hallador Energy Co. (HNRG),216.2K,10.25,0.41,4.17
51,Designer Brands Inc. (DBI),293.0K,3.38,0.14,4.15
52,Oceaneering International Inc. (OII),303.2K,20.15,0.79,4.08
53,Arqit Quantum Inc. (ARQQ),123.0K,13.94,0.55,4.07
54,Allot Ltd. (ALLT),275.1K,5.47,0.21,3.99
55,CareTrust REIT Inc. (CTRE),280.0K,28.07,1.06,3.92
56,First Majestic Silver Corp. (AG),3.6M,6.38,0.23,3.83
57,CervoMed Inc. (CRVO),44.4M,6.41,0.24,3.82
58,Baidu Inc. ADR (BIDU),2.6M,95.92,3.52,3.81
59,Paysafe Ltd. (PSFE),55.8K,15.79,0.58,3.81
60,New Gold Inc. (NGD),6.5M,3.2,0.12,3.73
61,Siyata Mobile Inc. (SYTA),55.1K,2.24,0.08,3.7
62,ImmunityBio Inc. (IBRX),1.1M,2.98,0.1,3.66
63,Fidelity National Information Services Inc. (FIS),683.6K,70.55,2.43,3.57
64,Orla Mining Ltd. (ORLA),372.5K,8.13,0.28,3.57
65,SSR Mining Inc. (SSRM),723.7K,10.6,0.36,3.56
66,Avidity Biosciences Inc. (RNA),500.3K,33.76,1.15,3.53
67,Ford Motor Co. (F),29.7M,9.93,0.34,3.54
68,Biomea Fusion Inc. (BMEA),139.2K,2.54,0.09,3.46
69,InMode Ltd. (INMD),195.2K,18.78,0.62,3.41
70,Freeport-McMoRan Inc. (FCX),3.4M,38.03,1.25,3.41
71,Newmont Corp. (NEM),1.8M,45.11,1.48,3.39
72,Perspective Therapeutics Inc. (CATX),124.5K,2.75,0.09,3.38
73,Southern Copper Corp. (SCCO),483.8K,93.4,3.06,3.38
74,AES Corp. (AES),2.3M,12.23,0.4,3.38
75,Xunlei Ltd. ADR (XNET),452.1K,5.07,0.16,3.33
76,Eldorado Gold Corp. (EGO),221.0K,15.13,0.48,3.28
77,Soleno Therapeutics Inc. (SLNO),121.5K,48.23,1.53,3.28
78,Centessa Pharmaceuticals PLC ADR (CNTA),193.7K,17.61,0.55,3.23
79,Quantum Computing Inc. (QUBT),6.4M,5.6,0.17,3.23
80,Gain Therapeutics Inc. (GANX),82.9K,2.18,0.07,3.22
81,Red Cat Holdings Inc. (RCAT),732.1K,5.11,0.16,3.21
82,Cybin Inc. (CYBN),64.8K,7.58,0.23,3.2
83,JD.com Inc. ADR (JD),3.0M,41.64,1.27,3.16
84,Stagwell Inc. Cl A (STGW),56.9K,6.14,0.18,3.1
85,Seabridge Gold Inc. (SA),50.9K,11.62,0.37,3.29
86,Ambarella Inc. (AMBA),116.3K,53.59,1.59,3.06
87,Airship AI Holdings Inc. Cl A (AISP),102.7K,3.56,0.1,3.04
88,ArcBest Corp. (ARCB),54.5K,75.08,2.21,3.03
89,TG Therapeutics Inc. (TGTX),368.6K,38.35,1.12,3.0
90,Teck Resources Ltd. Cl B (TECK),1.1M,41.22,1.2,3.0
91,Green Dot Corp. Cl A (GDOT),144.3K,6.53,0.19,3.0
92,Osisko Gold Royalties Ltd. (OR),79.2K,19.54,0.56,2.98
93,Ultrapar Participacoes S/A ADR (UGP),277.8K,2.81,0.08,2.93
94,PagSeguro Digital Ltd. Cl A (PAGS),644.3K,7.58,0.21,2.92
95,Moderna Inc. (MRNA),3.7M,36.01,1.0,2.86
96,JELD-WEN Holding Inc. (JELD),188.4K,6.01,0.17,2.91
97,Southwest Airlines Co. (LUV),2.5M,30.98,0.88,2.92
98,RXO Inc. (RXO),86.3K,18.59,0.52,2.88
99,Alkami Technology Inc. (ALKT),276.1K,24.98,0.69,2.86
