,Unnamed: 0,Volume,Last,Chg,% Chg
0,Regencell Bioscience Holdings Ltd. (RGC),265.9K,6.32,2.12,50.48
1,E.W. Scripps Co. Cl A (SSP),3.9M,2.66,0.6,29.51
2,Heidmar Maritime Holdings Corp. (HMR),10.6M,3.28,0.73,28.82
3,Aveanna Healthcare Holdings Inc. (AVAH),733.0K,4.77,1.03,27.49
4,FreightCar America Inc. (RAIL),524.1K,7.68,1.45,23.27
5,MeiraGTx Holdings PLC (MGTX),2.9M,7.85,1.44,22.46
6,OptimizeRx Corp. (OPRX),846.0K,7.53,1.25,19.9
7,NextNav Inc. (NN),1.2M,12.2,1.93,18.74
8,Blade Air Mobility Inc. (BLDE),1.0M,3.31,0.48,16.96
9,Intel Corp. (INTC),104.7M,24.04,3.37,16.27
10,Wang & Lee Group Inc. (WLGS),387.7K,3.62,0.5,16.03
11,Cibus Inc. (CBUS),151.4K,2.5,0.34,15.74
12,D-Wave Quantum Inc. (QBTS),42.6M,6.73,0.91,15.64
13,G-III Apparel Group Ltd. (GIII),342.6K,28.92,3.58,14.15
14,Currenc Group Inc. (CURR),285.2K,3.38,0.39,13.04
15,Claros Mortgage Trust Inc. (CMTG),493.2K,3.84,0.41,12.13
16,CervoMed Inc. (CRVO),42.9M,6.91,0.74,11.99
17,Fabrinet (FN),408.5K,224.96,23.08,11.43
18,Yalla Group Ltd. ADR (YALA),670.4K,4.92,0.49,11.2
19,Shoals Technologies Group Inc. (SHLS),1.7M,3.26,0.33,11.05
20,N-able Inc. (NABL),292.2K,7.89,0.74,10.35
21,Quantum Corp. (QMCO),350.9K,12.37,1.11,9.88
22,Savara Inc. (SVRA),513.3K,2.84,0.24,9.23
23,National CineMedia Inc. (NCMI),104.5K,6.04,0.51,9.22
24,Build-A-Bear Workshop Inc. (BBW),139.8K,38.74,3.24,9.13
25,Ramaco Resources Inc. Cl A (METC),221.9K,9.66,0.8,9.03
26,Dollar General Corp. (DG),2.4M,80.92,6.07,8.1
27,Dollar Tree Inc. (DLTR),1.6M,66.92,5.0,8.07
28,Yatsen Holding Ltd. ADR (YSG),72.9K,4.64,0.33,7.66
29,Algoma Steel Group Inc. (ASTL),443.2K,6.26,0.44,7.56
30,Allegro MicroSystems Inc. (ALGM),1.1M,26.8,1.86,7.46
31,Aris Mining Corp. (ARMN),387.2K,4.36,0.3,7.39
32,ModivCare Inc. (MODV),124.5K,2.43,0.15,6.58
33,Professional Diversity Network Inc. (IPDN),93.9K,2.24,0.14,6.51
34,Ceragon Networks Ltd. (CRNT),752.0K,2.65,0.16,6.42
35,MicroAlgo Inc. (MLGO),401.0K,4.18,0.22,5.56
36,Concrete Pumping Holdings Inc. (BBCP),109.5K,5.23,0.27,5.44
37,Relay Therapeutics Inc. (RLAY),497.3K,3.86,0.2,5.33
38,Designer Brands Inc. (DBI),225.4K,3.42,0.17,5.08
39,Gray Media Inc. (GTN),412.7K,4.32,0.2,4.99
40,Mercury Systems Inc. (MRCY),82.7K,44.18,2.08,4.94
41,Venture Global Inc. (VG),940.4K,10.75,0.5,4.88
42,Arbutus Biopharma Corp. (ABUS),408.3K,3.34,0.15,4.86
43,EHang Holdings Ltd. ADR (EH),917.4K,22.65,1.02,4.72
44,Moderna Inc. (MRNA),3.4M,36.62,1.61,4.61
45,Arvinas Inc. (ARVN),806.6K,9.44,0.41,4.49
46,Biomea Fusion Inc. (BMEA),125.2K,2.57,0.11,4.47
47,Ascent Industries Co. (ACNT),54.3K,12.3,0.52,4.41
48,AES Corp. (AES),2.0M,12.35,0.52,4.39
49,Upland Software Inc. (UPLD),97.4K,3.23,0.13,4.19
50,InMode Ltd. (INMD),141.7K,18.92,0.76,4.19
51,Aehr Test Systems (AEHR),312.9K,9.25,0.37,4.17
52,Avidity Biosciences Inc. (RNA),443.9K,33.93,1.32,4.05
53,Gorilla Technology Group Inc. (GRRR),1.8M,29.07,1.13,4.04
54,Baidu Inc. ADR (BIDU),2.3M,96.11,3.71,4.02
55,EPWK Holdings Ltd. Cl A (EPWK),133.6K,4.93,0.19,4.01
56,Allot Ltd. (ALLT),241.8K,5.47,0.21,3.99
57,First Majestic Silver Corp. (AG),3.2M,6.38,0.24,3.97
58,Green Dot Corp. Cl A (GDOT),124.4K,6.59,0.25,3.94
59,Fidelity National Information Services Inc. (FIS),509.1K,70.8,2.68,3.93
60,Viomi Technology Co. Ltd. ADR (VIOT),158.0K,2.24,0.08,3.74
61,Quantum Computing Inc. (QUBT),5.7M,5.62,0.2,3.69
62,PagSeguro Digital Ltd. Cl A (PAGS),566.1K,7.64,0.27,3.6
63,New Gold Inc. (NGD),5.5M,3.19,0.11,3.57
64,CareTrust REIT Inc. (CTRE),232.5K,27.97,0.96,3.55
65,SenesTech Inc. (SNES),2.4M,2.38,0.08,3.55
66,Ford Motor Co. (F),20.9M,9.93,0.34,3.55
67,Oceaneering International Inc. (OII),272.5K,20.05,0.69,3.54
68,Newmont Corp. (NEM),1.6M,45.17,1.54,3.53
69,Pacira BioSciences Inc. (PCRX),68.0K,22.82,0.78,3.52
70,Vishay Intertechnology Inc. (VSH),102.3K,17.11,0.58,3.51
71,Avantor Inc. (AVTR),1.5M,16.34,0.55,3.48
72,Alkami Technology Inc. (ALKT),250.9K,25.12,0.84,3.46
73,Wolfspeed Inc. (WOLF),4.1M,5.42,0.18,3.44
74,Cybin Inc. (CYBN),57.8K,7.59,0.25,3.41
75,Southern Copper Corp. (SCCO),433.1K,93.39,3.05,3.38
76,ViaSat Inc. (VSAT),239.0K,9.71,0.31,3.3
77,Novo Nordisk A/S ADR (NVO),1.3M,77.24,2.46,3.28
78,Huntsman Corp. (HUN),346.4K,17.06,0.54,3.27
79,Topgolf Callaway Brands Corp. (MODG),368.9K,6.34,0.2,3.26
80,Calumet Inc. (CLMT),65.5K,11.5,0.36,3.23
81,Delek US Holdings Inc. (DK),230.2K,14.8,0.46,3.21
82,Red Cat Holdings Inc. (RCAT),652.4K,5.11,0.16,3.15
83,JD.com Inc. ADR (JD),2.6M,41.64,1.27,3.15
84,Orla Mining Ltd. (ORLA),323.2K,8.1,0.24,3.12
85,Frontline PLC (FRO),366.7K,16.06,0.48,3.11
86,Cadence Design Systems Inc. (CDNS),385.2K,246.66,7.44,3.11
87,Dorian LPG Ltd. (LPG),111.6K,21.55,0.65,3.11
88,Hello Group Inc. ADR (MOMO),294.2K,7.01,0.21,3.09
89,SSR Mining Inc. (SSRM),655.7K,10.55,0.31,3.03
90,Centessa Pharmaceuticals PLC ADR (CNTA),164.2K,17.58,0.52,3.02
91,Photronics Inc. (PLAB),51.0K,21.46,0.63,3.0
92,Microchip Technology Inc. (MCHP),623.8K,53.46,1.55,3.0
93,Lithium Argentina AG (LAR),86.8K,2.26,0.07,2.97
94,Freeport-McMoRan Inc. (FCX),2.9M,37.87,1.09,2.96
95,Unusual Machines Inc. (UMAC),121.7K,6.28,0.18,2.95
96,Dow Inc. (DOW),1.5M,36.8,1.05,2.94
97,Eldorado Gold Corp. (EGO),179.0K,15.08,0.43,2.94
98,BW LPG Ltd. (BWLP),184.9K,11.01,0.31,2.9
99,Hallador Energy Co. (HNRG),136.3K,10.12,0.28,2.85
