,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,QBTS,D-Wave Quantum Inc.,,9.21 +2.30 (+33.29%),2.3,+33.29%,84.005M,84.563M,2.455B,-,232.21%,
1,RBRK,"Rubrik, Inc.",,69.82 +14.54 (+26.30%),14.54,+26.30%,2.891M,2.347M,12.934B,-,49.41%,
2,RGTI,"Rigetti Computing, Inc.",,10.28 +1.53 (+17.53%),1.53,+17.53%,43.307M,138.127M,2.94B,-,345.29%,
3,DOCU,"DocuSign, Inc.",,86.46 +11.76 (+15.74%),11.76,+15.74%,4.605M,2.476M,17.467B,17.02,31.58%,
4,SMTC,Semtech Corporation,,37.66 +4.95 (+15.13%),4.95,+15.13%,2.476M,2.554M,3.245B,-,43.15%,
5,IONQ,"IonQ, Inc.",,24.47 +3.10 (+14.51%),3.1,+14.51%,12.995M,25.857M,5.845B,-,129.54%,
6,SOUN,"SoundHound AI, Inc.",,9.89 +0.98 (+10.98%),0.98,+10.98%,13.073M,62.6M,3.945B,-,0.00%,
7,FUTU,Futu Holdings Limited,,118.85 +11.33 (+10.54%),11.33,+10.54%,2.578M,2.536M,16.392B,23.77,98.19%,
8,FNMA,Federal National Mortgage Association,,6.02 +0.54 (+9.87%),0.54,+9.87%,1.918M,16.436M,6.972B,-,261.84%,
9,CCI,Crown Castle Inc.,,102.26 +8.74 (+9.35%),8.74,+9.35%,2.459M,3.177M,44.444B,36.26,-10.10%,
10,FNMAH,Federal National Mortgage Association,,8.89 +0.74 (+9.41%),0.74,+9.41%,18025,88540,12.653B,1270.00,144.74%,
11,ULTA,"Ulta Beauty, Inc.",,344.30 +29.83 (+9.49%),29.83,+9.49%,1.015M,922801,15.966B,13.58,-41.33%,
12,PTON,"Peloton Interactive, Inc.",,6.64 +0.57 (+9.39%),0.57,+9.39%,5.386M,14.299M,2.589B,-,40.51%,
13,AUR,"Aurora Innovation, Inc.",,6.82 +0.56 (+9.03%),0.56,+9.03%,3.27M,14.712M,11.878B,-,179.46%,
14,NFE,New Fortress Energy Inc.,,9.22 +0.72 (+8.41%),0.72,+8.41%,1.466M,5.138M,2.524B,-,-72.90%,
15,FMCKM,Federal Home Loan Mortgage Corporation,,8.59 +0.65 (+8.19%),0.65,+8.19%,21600,27608,6.911B,126.32,162.90%,
16,TNXP,Tonix Pharmaceuticals Holding Corp.,,14.55 +0.91 (+6.66%),0.91,+6.66%,318458,1.975M,81.334M,-,-98.67%,
17,ZLAB,Zai Lab Limited,,38.83 +2.69 (+7.44%),2.69,+7.44%,257616,804672,4.204B,-,95.67%,
18,ALAB,"Astera Labs, Inc.",,70.65 +5.33 (+8.16%),5.33,+8.16%,837677,5.45M,11.456B,-,5.30%,
19,VNET,"VNET Group, Inc.",,11.20 +0.80 (+7.69%),0.8,+7.69%,3.425M,8.708M,2.992B,560.00,477.78%,
20,PONY,Pony AI Inc.,,13.71 +0.90 (+7.03%),0.9,+7.03%,630926,1.333M,4.784B,-,6.75%,
21,FMCKJ,Federal Home Loan Mortgage Corporation,,10.59 +0.69 (+6.93%),0.69,+6.93%,39650,874774,7.233B,155.74,167.57%,
22,FNMAS,Federal National Mortgage Association,,11.00 +0.75 (+7.32%),0.75,+7.32%,68324,1.504M,13.923B,1571.43,151.36%,
