,Unnamed: 0,Volume,Last,Chg,% Chg
0,Aditxt Inc. (ADTX),43.3M,7.36,2.98,68.31
1,Heidmar Maritime Holdings Corp. (HMR),8.4M,3.73,1.03,38.15
2,Harrow Inc. (HROW),896.3K,27.79,4.47,19.17
3,Niu Technologies ADR (NIU),3.1M,4.16,0.65,18.5
4,USA Rare Earth Inc. (USAR),60.5K,16.5,2.37,16.77
5,LZ Technology Holdings Ltd. Cl B (LZMH),78.3K,11.84,1.68,16.47
6,FinVolution Group ADR (FINV),2.0M,10.49,1.37,15.02
7,Park Ha Biological Technology Co. Ltd. (PHH),110.5K,9.02,1.13,14.32
8,Phathom Pharmaceuticals Inc. (PHAT),622.1K,5.5,0.66,13.64
9,Luminar Technologies Inc. (LAZR),2.8M,7.29,0.87,13.55
10,Bluejay Diagnostics Inc. (BJDX),61.8K,4.6,0.53,13.02
11,UP Fintech Holding Ltd. ADR (TIGR),13.6M,8.98,1.01,12.67
12,Regencell Bioscience Holdings Ltd. (RGC),1.4M,20.81,2.31,12.49
13,IHS Holding Ltd. (IHS),1.1M,4.39,0.48,12.28
14,Lucid Group Inc. (LCID),63.2M,2.42,0.26,11.81
15,Elbit Systems Ltd. (ESLT),82.0K,411.0,41.74,11.3
16,Tonix Pharmaceuticals Holding Corp. (TNXP),310.0K,17.88,1.6,9.83
17,Workhorse Group Inc. (WKHS),169.5K,2.23,0.2,9.81
18,Lithium Argentina AG (LAR),587.7K,2.51,0.21,9.13
19,Millrose Properties Inc. Cl A (MRP),981.3K,23.98,1.98,9.0
20,Blue Hat Interactive Entertainment Technology (BHAT),368.7K,2.75,0.22,8.7
21,Collective Mining Ltd. (CNL),86.3K,9.25,0.72,8.44
22,Hycroft Mining Holding Corp. (HYMC),460.4K,3.2,0.24,8.24
23,Civeo Corp. (CVEO),53.4K,22.35,1.61,7.76
24,Cango Inc. ADR (CANG),238.2K,4.59,0.33,7.75
25,Metsera Inc. (MTSR),60.8K,30.5,2.12,7.47
26,Heritage Insurance Holdings Inc. (HRTG),78.3K,13.72,0.93,7.27
27,LQR House Inc. (YHC),475.3K,2.26,0.14,6.6
28,Tencent Music Entertainment Group ADR (TME),14.2M,13.9,0.83,6.39
29,Coeptis Therapeutics Holdings Inc. (COEP),118.9K,9.03,0.53,6.24
30,Wearable Devices Ltd. (WLDS),161.7K,2.56,0.15,6.19
31,Orion Group Holdings Inc. (ORN),82.3K,5.92,0.34,6.09
32,DRDGOLD Ltd. ADR (DRD),276.3K,14.24,0.75,5.56
33,Advanced Flower Capital Inc. (AFCG),127.3K,6.65,0.35,5.56
34,BRF S.A. ADR (BRFS),439.8K,3.36,0.17,5.49
35,McEwen Mining Inc. (MUX),408.6K,7.94,0.41,5.44
36,CervoMed Inc. (CRVO),2.4M,9.51,0.46,5.08
37,WideOpenWest Inc. (WOW),146.9K,4.46,0.21,4.94
38,Quantum Computing Inc. (QUBT),23.6M,8.41,0.39,4.86
39,Firefly Neuroscience Inc. (AIFF),2.3M,5.48,0.25,4.78
40,Yalla Group Ltd. ADR (YALA),451.2K,5.18,0.23,4.75
41,Cohen Circle Acquisition Corp. I Cl A (CCIR),635.5K,12.04,0.54,4.7
42,CNX Resources Corp. (CNX),547.9K,32.13,1.4,4.56
43,Coeur Mining Inc. (CDE),5.2M,6.72,0.29,4.51
44,Mineralys Therapeutics Inc. (MLYS),219.1K,14.86,0.64,4.5
45,REGENXBIO Inc. (RGNX),239.3K,7.31,0.31,4.43
46,Sibanye-Stillwater Ltd. ADR (SBSW),4.0M,4.27,0.18,4.4
47,Delcath Systems Inc. (DCTH),97.5K,13.77,0.58,4.4
48,Peabody Energy Corp. (BTU),1.7M,13.92,0.57,4.27
49,LENZ Therapeutics Inc. (LENZ),95.0K,24.59,1.0,4.24
50,MasterBrand Inc. (MBC),180.7K,13.95,0.56,4.18
51,Magnachip Semiconductor Corp. (MX),197.1K,4.04,0.16,4.12
52,MoonLake Immunotherapeutics (MLTX),110.5K,40.23,1.56,4.03
53,Contango ORE Inc. (CTGO),75.9K,11.09,0.43,4.03
54,Inspire Veterinary Partners Inc. (IVP),250.9K,2.09,0.08,3.98
55,Ibotta Inc. (IBTA),75.4K,41.57,1.59,3.98
56,First Majestic Silver Corp. (AG),4.8M,7.37,0.28,3.95
57,Karman Holdings Inc. (KRMN),109.4K,35.34,1.32,3.88
58,180 Degree Capital Corp. (TURN),51.5K,3.82,0.14,3.8
59,Treace Medical Concepts Inc. (TMCI),159.7K,8.27,0.3,3.76
60,AngloGold Ashanti PLC (AU),808.4K,34.2,1.21,3.65
61,NIO Inc. ADR (NIO),32.6M,5.22,0.18,3.68
62,New Oriental Education & Technology Group Inc. ADR (EDU),635.3K,52.6,1.8,3.55
63,OptimizeRx Corp. (OPRX),86.2K,8.56,0.29,3.51
64,Deutsche Bank AG (DB),1.1M,24.78,0.83,3.49
65,NRX Pharmaceuticals Inc. (NRXP),55.6K,2.12,0.07,3.41
66,Aldeyra Therapeutics Inc. (ALDX),150.7K,6.52,0.2,3.25
67,IPG Photonics Corp. (IPGP),59.7K,65.39,2.07,3.27
68,Endeavour Silver Corp. (EXK),2.5M,4.96,0.15,3.23
69,Rivian Automotive Inc. Cl A (RIVN),5.9M,11.38,0.35,3.22
70,PureCycle Technologies Inc. (PCT),528.0K,7.7,0.24,3.22
71,V2X Inc. (VVX),72.6K,50.68,1.53,3.12
72,Prairie Operating Co. (PROP),79.8K,6.0,0.18,3.12
73,Core Natural Resources Inc. (CNR),87.0K,74.25,2.21,3.07
74,Calix Inc. (CALX),138.9K,34.41,1.02,3.05
75,Fortuna Mining Corp. (FSM),2.4M,5.92,0.17,3.04
76,Alignment Healthcare Inc. (ALHC),1.3M,16.58,0.49,3.03
77,Armada Hoffler Properties Inc. (AHH),259.4K,7.88,0.23,2.94
78,Oil States International Inc. (OIS),117.8K,5.24,0.14,2.85
79,Organogenesis Holdings Inc. Cl A (ORGO),156.1K,5.11,0.14,2.82
80,Ero Copper Corp. (ERO),120.2K,13.56,0.37,2.81
81,VEON Ltd. ADR (VEON),116.9K,46.0,1.25,2.79
82,Gold Fields Ltd. ADR (GFI),888.5K,21.21,0.56,2.71
83,Seabridge Gold Inc. (SA),154.6K,12.24,0.32,2.68
84,Paramount Group Inc. (PGRE),180.3K,4.22,0.11,2.68
85,ZIM Integrated Shipping Services Ltd. (ZIM),2.2M,18.92,0.49,2.66
86,B2Gold Corp. (BTG),15.9M,3.32,0.09,2.63
87,Banco Santander S.A. ADR (SAN),1.5M,7.06,0.18,2.62
88,Centerra Gold Inc. (CGAU),160.0K,6.14,0.15,2.59
89,Grab Holdings Ltd. (GRAB),9.2M,4.57,0.12,2.58
90,MicroAlgo Inc. (MLGO),622.8K,4.07,0.1,2.52
91,Reborn Coffee Inc. (REBN),117.5K,4.89,0.12,2.52
92,Omeros Corp. (OMER),67.5K,8.73,0.21,2.46
93,Willis Towers Watson PLC (WTW),103.8K,336.34,8.02,2.44
94,Silvercorp Metals Inc. (SVM),1.0M,4.25,0.1,2.41
95,Immatics N.V. (IMTX),101.8K,5.1,0.12,2.41
