,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,QBTS,D-Wave Quantum Inc.,,10.15 +3.24 (+46.89%),3.24,+46.89%,259.529M,86.209M,2.706B,-,331.91%,
1,RGTI,"Rigetti Computing, Inc.",,11.22 +2.47 (+28.23%),2.47,+28.23%,125.742M,136.371M,3.207B,-,452.71%,
2,RBRK,"Rubrik, Inc.",,70.64 +15.36 (+27.79%),15.36,+27.79%,6.952M,2.403M,13.086B,-,90.92%,
3,SMTC,Semtech Corporation,,39.60 +6.89 (+21.06%),6.89,+21.06%,8.104M,2.657M,3.413B,-,75.77%,
4,IONQ,"IonQ, Inc.",,25.00 +3.63 (+16.99%),3.63,+16.99%,37.559M,25.776M,5.972B,-,162.05%,
5,PTON,"Peloton Interactive, Inc.",,7.05 +0.98 (+16.14%),0.98,+16.14%,31.05M,14.566M,2.749B,-,61.70%,
6,SOUN,"SoundHound AI, Inc.",,10.34 +1.43 (+16.05%),1.43,+16.05%,41.929M,60.31M,4.125B,-,25.49%,
7,OKLO,Oklo Inc.,,27.72 +3.77 (+15.74%),3.77,+15.74%,13.128M,18.686M,3.792B,-,154.55%,
8,DOCU,"DocuSign, Inc.",,85.76 +11.06 (+14.81%),11.06,+14.81%,11.934M,2.601M,17.325B,16.88,47.56%,
9,WXXWY,WuXi Biologics (Cayman) Inc.,,6.87 +0.87 (+14.50%),0.87,+14.50%,22153,46245,14.072B,40.41,90.83%,
10,ULTA,"Ulta Beauty, Inc.",,357.48 +43.01 (+13.68%),43.01,+13.68%,3.374M,964349,16.577B,14.10,-32.85%,
11,WRD,WeRide Inc.,,18.40 +2.13 (+13.09%),2.13,+13.09%,7.907M,1.644M,5.051B,-,11.18%,
12,ROOT,"Root, Inc.",,151.73 +17.50 (+13.04%),17.5,+13.04%,1.143M,531015,2.306B,82.46,156.60%,
13,MSTR,MicroStrategy Incorporated,,297.49 +34.23 (+13.00%),34.23,+13.00%,23.714M,19.456M,77.472B,-,97.96%,
14,VNET,"VNET Group, Inc.",,11.65 +1.25 (+12.02%),1.25,+12.02%,10.675M,8.838M,3.112B,582.50,526.34%,
15,TEM,"Tempus AI, Inc.",,47.17 +5.00 (+11.87%),5.0,+11.87%,10.973M,12.443M,8.123B,-,17.19%,
16,CAR,"Avis Budget Group, Inc.",,61.95 +6.46 (+11.64%),6.46,+11.64%,2.11M,800908,2.175B,-,-42.70%,
17,AUR,"Aurora Innovation, Inc.",,6.97 +0.71 (+11.34%),0.71,+11.34%,24.232M,14.886M,12.131B,-,185.66%,
18,ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",,285.93 +27.44 (+10.62%),27.44,+10.62%,93849,50340,7.922B,13.66,-5.60%,
19,RSI,"Rush Street Interactive, Inc.",,10.70 +1.02 (+10.54%),1.02,+10.54%,2.171M,2.097M,2.44B,356.67,81.36%,
20,ALAB,"Astera Labs, Inc.",,72.18 +6.86 (+10.50%),6.86,+10.50%,3.7M,5.414M,11.704B,-,16.36%,
21,CCI,Crown Castle Inc.,,103.22 +9.69 (+10.37%),9.69,+10.37%,8.715M,3.187M,44.859B,-,-1.08%,
22,WGS,GeneDx Holdings Corp.,,98.47 +9.15 (+10.24%),9.15,+10.24%,915498,1.037M,2.764B,-,919.36%,
23,TGTX,"TG Therapeutics, Inc.",,40.84 +3.78 (+10.20%),3.78,+10.20%,4.817M,2.575M,6.415B,272.27,171.36%,
24,FUTU,Futu Holdings Limited,,118.47 +10.95 (+10.18%),10.95,+10.18%,4.592M,2.568M,16.34B,23.69,107.92%,
25,MP,MP Materials Corp.,,26.83 +2.45 (+10.05%),2.45,+10.05%,4.812M,3.196M,4.385B,-,105.59%,
26,TNXP,Tonix Pharmaceuticals Holding Corp.,,15.00 +1.36 (+9.97%),1.36,+9.97%,979167,1.789M,83.857M,-,-98.58%,
27,NBIS,Nebius Group N.V.,,28.75 +2.58 (+9.86%),2.58,+9.86%,10.635M,12.328M,6.778B,-,43.75%,
28,CRDO,Credo Technology Group Holding Ltd,,49.15 +4.20 (+9.34%),4.2,+9.34%,5.098M,5.658M,8.346B,1638.33,147.61%,
29,PATH,UiPath Inc.,,10.88 +0.91 (+9.13%),0.91,+9.13%,26.723M,10.017M,5.98B,-,-52.82%,
30,NU,Nu Holdings Ltd.,,11.73 +0.98 (+9.12%),0.98,+9.12%,53.51M,49.326M,56.381B,29.32,-0.51%,
31,ACHR,Archer Aviation Inc.,,7.90 +0.65 (+8.97%),0.65,+8.97%,23.099M,35.131M,4.286B,-,62.22%,
