,Unnamed: 0,Volume,Last,Chg,% Chg
0,Radius Recycling Inc. (RDUS),3.5M,27.82,14.16,103.66
1,Applied Optoelectronics Inc. (AAOI),8.4M,21.43,5.56,35.03
2,D-Wave Quantum Inc. (QBTS),76.3M,9.12,2.21,32.05
3,Rubrik Inc. Cl A (RBRK),2.6M,69.56,14.28,25.83
4,Mingteng International Corp. Inc. (MTEN),194.4K,6.25,1.24,24.75
5,Jiayin Group Inc. ADR (JFIN),130.8K,11.8,1.97,20.04
6,Quantum Computing Inc. (QUBT),14.5M,6.54,1.04,19.03
7,Kingstone Cos. Inc. (KINS),211.8K,16.14,2.47,18.07
8,DouYu International Holdings Ltd. ADR (DOYU),263.7K,9.36,1.4,17.61
9,Rigetti Computing Inc. (RGTI),40.2M,10.16,1.42,16.17
10,Quantum Corp. (QMCO),2.3M,17.2,2.38,16.06
11,Westrock Coffee Co. (WEST),184.8K,6.37,0.86,15.66
12,PagerDuty Inc. (PD),1.1M,18.03,2.42,15.5
13,Firefly Neuroscience Inc. (AIFF),445.0K,3.99,0.53,15.18
14,DocuSign Inc. (DOCU),4.3M,86.01,11.31,15.14
15,Semtech Corp. (SMTC),2.3M,37.42,4.71,14.41
16,Sonoma Pharmaceuticals Inc. (SNOA),116.2K,3.52,0.44,14.29
17,Arqit Quantum Inc. (ARQQ),195.5K,14.82,1.85,14.26
18,Green Dot Corp. Cl A (GDOT),513.4K,7.57,0.93,14.01
19,Pangaea Logistics Solutions Ltd. (PANL),183.9K,5.51,0.67,13.84
20,SEALSQ Corp. (LAES),8.9M,3.12,0.38,13.83
21,LexinFintech Holdings Ltd. ADR (LX),2.2M,10.31,1.24,13.69
22,Biote Corp. (BTMD),188.6K,3.48,0.41,13.52
23,Vaalco Energy Inc. (EGY),477.0K,4.3,0.51,13.44
24,Afya Ltd. (AFYA),55.1K,18.4,2.18,13.44
25,IonQ Inc. (IONQ),11.6M,24.2,2.83,13.24
26,Red Cat Holdings Inc. (RCAT),1.4M,5.56,0.65,13.11
27,Unusual Machines Inc. (UMAC),272.4K,6.36,0.7,12.37
28,REGENXBIO Inc. (RGNX),484.4K,7.36,0.81,12.37
29,iHuman Inc. ADR (IH),95.3K,2.9,0.31,11.97
30,Sleep Number Corp. (SNBR),214.5K,6.91,0.7,11.27
31,SoundHound AI Inc. (SOUN),12.3M,9.9,0.98,11.05
32,Visionary Holdings Inc. (GV),17.6M,6.24,0.62,11.03
33,Sight Sciences Inc. (SGHT),58.3K,2.67,0.27,11.02
34,Frequency Electronics Inc. (FEIM),89.2K,15.6,1.54,10.95
35,Ginkgo Bioworks Holdings Inc. (DNA),458.1K,7.13,0.67,10.37
36,Cango Inc. ADR (CANG),132.3K,3.64,0.34,10.3
37,Futu Holdings Ltd. ADR (FUTU),2.5M,118.56,11.04,10.26
38,Gorilla Technology Group Inc. (GRRR),1.9M,28.53,2.62,10.11
39,Inotiv Inc. (NOTV),75.8K,2.89,0.27,10.1
40,Zumiez Inc. (ZUMZ),244.7K,14.07,1.29,10.09
41,ServiceTitan Inc. Cl A (TTAN),114.0K,90.42,8.08,9.81
42,Cardlytics Inc. (CDLX),726.1K,2.27,0.2,9.66
43,Crown Castle Inc. (CCI),2.2M,102.52,8.99,9.62
44,CNS Pharmaceuticals Inc. (CNSP),137.2K,2.97,0.26,9.59
45,Palladyne AI Corp. (PDYN),693.7K,7.06,0.61,9.53
46,Blaize Holdings Inc. (BZAI),318.9K,3.82,0.33,9.46
47,Quest Resource Holding Corp. (QRHC),53.4K,2.93,0.25,9.33
48,Lightbridge Corp. (LTBR),573.5K,8.92,0.76,9.31
49,Ulta Beauty Inc. (ULTA),936.5K,343.14,28.66,9.12
50,Peloton Interactive Inc. (PTON),5.2M,6.62,0.55,9.06
51,POET Technologies Inc. (POET),257.4K,3.85,0.32,8.91
52,Aurora Innovation Inc. (AUR),3.1M,6.82,0.56,8.87
53,CervoMed Inc. (CRVO),2.8M,6.3,0.51,8.81
54,ACM Research Inc. Cl A (ACMR),821.6K,29.83,2.39,8.71
55,Sandisk Corp. (SNDK),1.0M,52.65,4.21,8.69
56,MicroAlgo Inc. (MLGO),2.9M,4.32,0.34,8.69
57,Soho House & Co. Inc. (SHCO),79.7K,5.63,0.44,8.48
58,China Yuchai International Ltd. (CYD),125.5K,22.16,1.71,8.36
59,Heritage Insurance Holdings Inc. (HRTG),70.4K,13.57,1.04,8.3
60,New Fortress Energy LLC Cl A (NFE),1.4M,9.2,0.7,8.23
61,Astera Labs Inc. (ALAB),776.2K,70.39,5.07,7.76
62,Venture Global Inc. (VG),1.5M,10.46,0.79,8.11
63,Humacyte Inc. (HUMA),502.4K,2.99,0.22,7.99
64,Zai Lab Ltd. ADR (ZLAB),237.5K,38.98,2.83,7.84
65,Uni-Fuels Holdings Ltd. (UFG),334.7K,5.03,0.37,7.94
66,Tonix Pharmaceuticals Holding Corp. (TNXP),302.4K,14.7,1.06,7.76
