symbol,price,price_change,price_percent_change,timestamp
INTC,24.03,3.35,16.22,2025-03-13 14:31:10
FN,224.56,22.68,11.23,2025-03-13 14:31:10
DG,80.5,5.65,7.55,2025-03-13 14:31:10
DLTR,66.62,4.7,7.59,2025-03-13 14:31:10
ALGM,26.35,1.41,5.67,2025-03-13 14:31:10
MRCY,44.33,2.23,5.3,2025-03-13 14:31:10
OII,20.15,0.78,4.05,2025-03-13 14:31:10
CTRE,28.03,1.02,3.77,2025-03-13 14:31:10
BIDU,96.06,3.66,3.96,2025-03-13 14:31:10
SLNO,48.47,1.76,3.78,2025-03-13 14:31:10
RNA,33.98,1.37,4.2,2025-03-13 14:31:10
FIS,70.48,2.36,3.46,2025-03-13 14:31:10
SSRM,10.63,0.39,3.81,2025-03-13 14:31:10
F,9.9,0.31,3.28,2025-03-13 14:31:10
FCX,38.14,1.36,3.7,2025-03-13 14:31:10
NEM,45.2,1.57,3.6,2025-03-13 14:31:10
SCCO,93.62,3.29,3.64,2025-03-13 14:31:10
AES,12.25,0.42,3.55,2025-03-13 14:31:10
JD,41.73,1.36,3.37,2025-03-13 14:31:10
EGO,15.13,0.48,3.3,2025-03-13 14:31:10
CNTA,17.54,0.48,2.81,2025-03-13 14:31:10
ORLA,8.13,0.28,3.57,2025-03-13 14:31:10
AMBA,53.76,1.76,3.38,2025-03-13 14:31:10
TECK,41.35,1.33,3.32,2025-03-13 14:31:10
LUV,31.01,0.91,3.02,2025-03-13 14:31:10
