symbol,price,price_change,price_percent_change,timestamp
INTC,24.07,3.39,16.4,2025-03-13 14:29:07
FN,224.66,22.78,11.29,2025-03-13 14:29:07
DG,81.11,6.26,8.36,2025-03-13 14:29:07
DLTR,66.96,5.04,8.13,2025-03-13 14:29:07
ALGM,26.9,1.96,7.87,2025-03-13 14:29:07
MRCY,44.18,2.08,4.94,2025-03-13 14:29:07
MRNA,36.49,1.48,4.23,2025-03-13 14:29:07
AES,12.32,0.49,4.13,2025-03-13 14:29:07
RNA,33.95,1.34,4.11,2025-03-13 14:29:07
FIS,70.81,2.69,3.95,2025-03-13 14:29:07
BIDU,96.06,3.66,3.96,2025-03-13 14:29:07
F,9.94,0.35,3.65,2025-03-13 14:29:07
PAGS,7.64,0.27,3.66,2025-03-13 14:29:07
CTRE,27.99,0.98,3.63,2025-03-13 14:29:07
OII,20.01,0.65,3.35,2025-03-13 14:29:07
NEM,45.14,1.51,3.46,2025-03-13 14:29:07
AVTR,16.34,0.55,3.48,2025-03-13 14:29:07
VSH,17.11,0.58,3.51,2025-03-13 14:29:07
ALKT,25.17,0.89,3.64,2025-03-13 14:29:07
SCCO,93.4,3.06,3.39,2025-03-13 14:29:07
NVO,77.0,2.21,2.95,2025-03-13 14:29:07
HUN,17.04,0.52,3.15,2025-03-13 14:29:07
FRO,16.06,0.49,3.13,2025-03-13 14:29:07
ORLA,8.1,0.25,3.18,2025-03-13 14:29:07
CDNS,247.1,7.88,3.3,2025-03-13 14:29:07
JD,41.59,1.22,3.02,2025-03-13 14:29:07
SSRM,10.56,0.32,3.13,2025-03-13 14:29:07
CNTA,17.6,0.55,3.19,2025-03-13 14:29:07
