,symbol,price,price_change,price_percent_change,timestamp
0,QNTM,8.45,3.56,72.81,2025-03-17 17:30:22
1,VTVT,25.63,10.78,72.61,2025-03-17 17:30:22
2,MGRM,3.61,1.28,54.88,2025-03-17 17:30:22
3,RGC,19.3,6.68,52.93,2025-03-17 17:30:22
4,NAOV,3.0,0.79,36.0,2025-03-17 17:30:22
5,MTEN,7.61,1.93,34.05,2025-03-17 17:30:22
6,ARQQ,20.09,5.09,33.93,2025-03-17 17:30:22
7,RHLD,42.32,10.26,31.98,2025-03-17 17:30:22
8,CRVO,8.34,1.9,29.5,2025-03-17 17:30:22
9,NCSM,34.27,7.51,28.06,2025-03-17 17:30:22
10,GES,12.41,2.71,27.98,2025-03-17 17:30:22
11,NIU,3.48,0.76,27.94,2025-03-17 17:30:22
12,QMCO,19.31,3.97,25.86,2025-03-17 17:30:22
13,AIFF,5.25,1.0,23.53,2025-03-17 17:30:22
14,HCAI,10.24,1.84,21.9,2025-03-17 17:30:22
15,MCRP,4.59,0.81,21.48,2025-03-17 17:30:22
16,SMTK,2.57,0.45,21.23,2025-03-17 17:30:22
17,CURR,2.46,0.42,20.94,2025-03-17 17:30:22
18,UMAC,7.65,1.25,19.53,2025-03-17 17:30:22
19,LAZR,6.03,0.98,19.41,2025-03-17 17:30:22
20,RDHL,3.05,0.49,19.14,2025-03-17 17:30:22
21,CSAI,6.06,0.96,18.85,2025-03-17 17:30:22
22,AMBI,5.2,0.82,18.72,2025-03-17 17:30:22
23,XPOF,8.82,1.36,18.3,2025-03-17 17:30:22
24,ATLN,5.81,0.87,17.61,2025-03-17 17:30:22
25,KSCP,5.02,0.72,16.83,2025-03-17 17:30:22
26,MAZE,12.76,1.77,16.11,2025-03-17 17:30:22
27,QUBT,8.21,1.12,15.8,2025-03-17 17:30:22
28,SATL,4.14,0.56,15.68,2025-03-17 17:30:22
29,KMTS,24.6,3.33,15.66,2025-03-17 17:30:22
30,ARQT,16.89,2.27,15.53,2025-03-17 17:30:22
31,ANNX,2.99,0.39,15.0,2025-03-17 17:30:22
32,CANG,4.34,0.56,14.81,2025-03-17 17:30:22
33,CAPS,2.86,0.36,14.4,2025-03-17 17:30:22
34,WGRX,3.31,0.41,14.2,2025-03-17 17:30:22
35,BBNX,16.74,2.06,14.08,2025-03-17 17:30:22
36,JTAI,4.9,0.6,13.95,2025-03-17 17:30:22
37,LAES,3.77,0.45,13.55,2025-03-17 17:30:22
38,MTSR,28.61,3.4,13.49,2025-03-17 17:30:22
39,EVTL,3.99,0.47,13.35,2025-03-17 17:30:22
40,ARTV,5.78,0.68,13.33,2025-03-17 17:30:22
41,RADX,6.56,0.76,13.1,2025-03-17 17:30:22
42,DPRO,2.8,0.32,12.9,2025-03-17 17:30:22
43,CTGO,10.71,1.22,12.86,2025-03-17 17:30:22
44,YSG,5.9,0.66,12.6,2025-03-17 17:30:22
45,CBUS,2.48,0.28,12.5,2025-03-17 17:30:22
46,SYTA,2.24,0.24,12.0,2025-03-17 17:30:22
47,RITR,3.68,0.39,11.85,2025-03-17 17:30:22
48,VRA,2.74,0.28,11.59,2025-03-17 17:30:22
49,CLMT,13.45,1.39,11.53,2025-03-17 17:30:22
50,TBH,5.41,0.56,11.43,2025-03-17 17:30:22
51,MASS,4.57,0.46,11.23,2025-03-17 17:30:22
52,PSIX,33.91,3.42,11.22,2025-03-17 17:30:22
53,UBXG,4.34,0.43,11.15,2025-03-17 17:30:22
54,JUNE,6.38,0.62,10.81,2025-03-17 17:30:22
55,SNOA,3.91,0.38,10.75,2025-03-17 17:30:22
56,YRD,8.12,0.78,10.63,2025-03-17 17:30:22
57,MIST,2.4,0.23,10.59,2025-03-17 17:30:22
58,OPAL,2.09,0.2,10.58,2025-03-17 17:30:22
59,CELH,29.91,2.83,10.45,2025-03-17 17:30:22
60,QFIN,47.7,4.51,10.44,2025-03-17 17:30:22
61,HSAI,21.86,2.06,10.4,2025-03-17 17:30:22
62,LWAY,22.12,2.06,10.27,2025-03-17 17:30:22
63,MPAA,11.48,1.04,10.02,2025-03-17 17:30:22
64,GANX,2.32,0.21,9.95,2025-03-17 17:30:22
65,GOTU,4.04,0.36,9.92,2025-03-17 17:30:22
66,CURI,2.94,0.27,9.91,2025-03-17 17:30:22
67,AMRC,11.58,1.04,9.87,2025-03-17 17:30:22
68,ORKA,12.17,1.08,9.74,2025-03-17 17:30:22
69,APPS,3.68,0.33,9.7,2025-03-17 17:30:22
