,symbol,price,price_change,price_percent_change,timestamp
0,ADTX,7.5,3.13,71.62,2025-03-18 21:01:21
1,RGC,31.6,13.1,70.81,2025-03-18 21:01:21
2,LSE,7.77,2.19,39.25,2025-03-18 21:01:21
3,BHAT,3.41,0.88,34.78,2025-03-18 21:01:21
4,PHH,10.6,2.71,34.35,2025-03-18 21:01:21
5,RDIB,9.9,2.37,31.47,2025-03-18 21:01:21
6,HMR,3.46,0.76,28.15,2025-03-18 21:01:21
7,TNXP,20.53,4.25,26.11,2025-03-18 21:01:21
8,GRO,3.35,0.68,25.47,2025-03-18 21:01:21
9,USAR,17.35,3.22,22.79,2025-03-18 21:01:21
10,TIGR,9.69,1.72,21.58,2025-03-18 21:01:21
11,FINV,10.72,1.6,17.54,2025-03-18 21:01:21
12,MI,2.58,0.38,17.47,2025-03-18 21:01:21
13,NEXT,8.5,1.25,17.24,2025-03-18 21:01:21
14,WLGS,4.76,0.7,17.24,2025-03-18 21:01:21
15,ALTI,2.95,0.43,17.06,2025-03-18 21:01:21
16,CNSP,3.55,0.49,16.01,2025-03-18 21:01:21
17,HURA,2.8,0.38,15.7,2025-03-18 21:01:21
18,HROW,26.98,3.66,15.69,2025-03-18 21:01:21
19,TME,15.09,2.03,15.54,2025-03-18 21:01:21
20,YHC,2.43,0.31,14.62,2025-03-18 21:01:21
21,WGRX,4.0,0.51,14.61,2025-03-18 21:01:21
22,PHAT,5.54,0.7,14.46,2025-03-18 21:01:21
23,HFFG,2.79,0.35,14.34,2025-03-18 21:01:21
24,HYMC,3.37,0.41,13.85,2025-03-18 21:01:21
25,BRFH,3.62,0.44,13.84,2025-03-18 21:01:21
26,ZEPP,3.63,0.44,13.79,2025-03-18 21:01:21
27,MODV,2.62,0.31,13.42,2025-03-18 21:01:21
28,WOW,4.82,0.57,13.41,2025-03-18 21:01:21
29,ABVX,6.8,0.8,13.33,2025-03-18 21:01:21
30,IHS,4.43,0.52,13.3,2025-03-18 21:01:21
31,SSP,2.92,0.34,13.18,2025-03-18 21:01:21
32,SEI,22.97,2.51,12.27,2025-03-18 21:01:21
33,SYNX,4.35,0.46,11.83,2025-03-18 21:01:21
34,RGNX,7.8,0.8,11.43,2025-03-18 21:01:21
35,DGNX,72.06,7.26,11.2,2025-03-18 21:01:21
36,NIU,3.9,0.39,11.11,2025-03-18 21:01:21
37,ELAB,4.7,0.47,10.98,2025-03-18 21:01:21
38,ATGL,32.62,3.21,10.91,2025-03-18 21:01:21
39,ESLT,408.53,39.27,10.63,2025-03-18 21:01:21
40,COEP,9.4,0.9,10.59,2025-03-18 21:01:21
41,NEUE,5.14,0.48,10.3,2025-03-18 21:01:21
42,MRP,24.24,2.24,10.18,2025-03-18 21:01:21
43,MKFG,2.76,0.25,9.96,2025-03-18 21:01:21
44,ADN,5.35,0.47,9.63,2025-03-18 21:01:21
45,CANG,4.66,0.4,9.39,2025-03-18 21:01:21
46,LAR,2.51,0.21,9.13,2025-03-18 21:01:21
47,ESEA,29.84,2.49,9.1,2025-03-18 21:01:21
48,OPRX,9.02,0.75,9.07,2025-03-18 21:01:21
49,SPCE,3.78,0.31,8.93,2025-03-18 21:01:21
50,RFIL,4.41,0.36,8.89,2025-03-18 21:01:21
51,JG,10.63,0.86,8.8,2025-03-18 21:01:21
52,LCID,2.35,0.19,8.8,2025-03-18 21:01:21
53,HRTG,13.88,1.09,8.52,2025-03-18 21:01:21
54,MLYS,15.43,1.21,8.51,2025-03-18 21:01:21
55,LXEH,10.34,0.81,8.5,2025-03-18 21:01:21
56,BRFS,3.45,0.26,8.15,2025-03-18 21:01:21
57,WKSP,3.76,0.28,8.14,2025-03-18 21:01:21
58,LSF,5.45,0.41,8.13,2025-03-18 21:01:21
59,BJDX,4.4,0.33,8.08,2025-03-18 21:01:21
60,LCUT,5.43,0.4,7.95,2025-03-18 21:01:21
61,DRD,14.52,1.03,7.64,2025-03-18 21:01:21
62,CNL,9.18,0.65,7.62,2025-03-18 21:01:21
63,QUBT,8.63,0.61,7.61,2025-03-18 21:01:21
64,PROP,6.26,0.44,7.56,2025-03-18 21:01:21
65,NRT,4.96,0.34,7.36,2025-03-18 21:01:21
66,AISP,4.38,0.3,7.35,2025-03-18 21:01:21
67,NRXP,2.2,0.15,7.32,2025-03-18 21:01:21
68,GOGO,6.93,0.46,7.11,2025-03-18 21:01:21
69,SSTI,16.96,1.1,6.94,2025-03-18 21:01:21
70,CYN,4.8,0.31,6.9,2025-03-18 21:01:21
71,MTSR,30.33,1.95,6.87,2025-03-18 21:01:21
72,SMTK,2.99,0.19,6.79,2025-03-18 21:01:21
73,GIFI,6.53,0.41,6.7,2025-03-18 21:01:21
74,CULP,5.49,0.34,6.6,2025-03-18 21:01:21
75,JTAI,5.02,0.31,6.58,2025-03-18 21:01:21
76,INVE,3.41,0.21,6.56,2025-03-18 21:01:21
77,VATE,8.63,0.53,6.54,2025-03-18 21:01:21
78,LAZR,6.83,0.41,6.39,2025-03-18 21:01:21
79,YALA,5.26,0.31,6.26,2025-03-18 21:01:21
80,TBH,5.6,0.33,6.26,2025-03-18 21:01:21
81,AKBA,2.55,0.15,6.25,2025-03-18 21:01:21
82,BTU,14.18,0.83,6.22,2025-03-18 21:01:21
83,CTNM,7.49,0.43,6.09,2025-03-18 21:01:21
84,MX,4.11,0.23,5.93,2025-03-18 21:01:21
85,TMCI,8.43,0.46,5.77,2025-03-18 21:01:21
86,STVN,21.76,1.18,5.73,2025-03-18 21:01:21
87,DNUT,5.72,0.31,5.73,2025-03-18 21:01:21
88,JUNE,6.87,0.37,5.69,2025-03-18 21:01:21
89,ALDX,6.66,0.35,5.63,2025-03-18 21:01:21
90,SBSW,4.32,0.23,5.62,2025-03-18 21:01:21
91,CURI,3.03,0.16,5.57,2025-03-18 21:01:21
92,GTN,4.93,0.26,5.57,2025-03-18 21:01:21
93,UPLD,3.32,0.17,5.4,2025-03-18 21:01:21
94,FEAM,3.91,0.2,5.39,2025-03-18 21:01:21
95,LPTH,2.21,0.11,5.24,2025-03-18 21:01:21
