,symbol,price,price_change,price_percent_change,timestamp
0,RGC,7.29,3.09,73.57,2025-03-13 14:29:50
1,SSP,2.64,0.59,29.02,2025-03-13 14:29:50
2,AVAH,4.79,1.05,28.07,2025-03-13 14:29:50
3,HMR,3.26,0.7,27.65,2025-03-13 14:29:50
4,RAIL,7.87,1.64,26.25,2025-03-13 14:29:50
5,MGTX,7.9,1.49,23.24,2025-03-13 14:29:50
6,OPRX,7.48,1.2,19.11,2025-03-13 14:29:50
7,NN,12.02,1.75,17.04,2025-03-13 14:29:50
8,QMCO,13.17,1.91,16.96,2025-03-13 14:29:50
9,INTC,24.16,3.48,16.8,2025-03-13 14:29:50
10,BLDE,3.27,0.44,15.55,2025-03-13 14:29:50
11,QBTS,6.69,0.87,14.97,2025-03-13 14:29:50
12,CURR,3.44,0.45,15.02,2025-03-13 14:29:50
13,WLGS,3.58,0.46,14.74,2025-03-13 14:29:50
14,CBUS,2.46,0.3,13.78,2025-03-13 14:29:50
15,CMTG,3.84,0.42,12.28,2025-03-13 14:29:50
16,YALA,4.95,0.53,11.99,2025-03-13 14:29:50
17,GIII,28.22,2.88,11.39,2025-03-13 14:29:50
18,FN,224.8,22.93,11.36,2025-03-13 14:29:50
19,BBCP,5.42,0.46,9.27,2025-03-13 14:29:50
20,NABL,7.8,0.65,9.09,2025-03-13 14:29:50
21,BBW,38.58,3.08,8.68,2025-03-13 14:29:50
22,YSG,4.66,0.35,8.12,2025-03-13 14:29:50
23,SUUN,4.7,0.35,8.05,2025-03-13 14:29:50
24,ARMN,4.38,0.32,7.88,2025-03-13 14:29:50
25,DLTR,66.76,4.83,7.81,2025-03-13 14:29:50
26,SNES,2.48,0.18,7.76,2025-03-13 14:29:50
27,DG,80.5,5.66,7.56,2025-03-13 14:29:50
28,ASTL,6.25,0.43,7.39,2025-03-13 14:29:50
29,SHLS,3.16,0.21,7.31,2025-03-13 14:29:50
30,SVRA,2.78,0.18,7.12,2025-03-13 14:29:50
31,UMAC,6.52,0.42,6.89,2025-03-13 14:29:50
32,METC,9.46,0.6,6.77,2025-03-13 14:29:50
33,CRNT,2.66,0.17,6.63,2025-03-13 14:29:50
34,CRVO,6.57,0.4,6.48,2025-03-13 14:29:50
35,ALGM,26.54,1.6,6.42,2025-03-13 14:29:50
36,UPLD,3.28,0.17,5.65,2025-03-13 14:29:50
37,MRCY,44.32,2.22,5.27,2025-03-13 14:29:50
38,TELO,5.2,0.26,5.26,2025-03-13 14:29:50
39,MODV,2.4,0.12,5.26,2025-03-13 14:29:50
40,NCMI,5.82,0.29,5.24,2025-03-13 14:29:50
41,GTN,4.32,0.21,5.23,2025-03-13 14:29:50
42,ABUS,3.36,0.17,5.17,2025-03-13 14:29:50
43,MLGO,4.16,0.2,5.17,2025-03-13 14:29:50
