symbol,price,price_change,price_percent_change,timestamp,source
PR,14.04,0.48,3.53,2025-03-19 17:30:10,yahoo
OVV,42.16,1.41,3.46,2025-03-19 17:30:10,yahoo
NU,11.9,0.4,3.52,2025-03-19 17:30:10,yahoo
ADT,7.83,0.25,3.3,2025-03-19 17:30:10,yahoo
VNOM,45.37,1.58,3.61,2025-03-19 17:30:10,yahoo
CLSK,7.85,0.26,3.4,2025-03-19 17:30:10,yahoo
BIRK,45.08,1.41,3.22,2025-03-19 17:30:10,yahoo
FMCKJ,11.38,0.38,3.45,2025-03-19 17:30:10,yahoo
NTNX,72.57,2.39,3.41,2025-03-19 17:30:10,yahoo
TLN,209.7,6.96,3.43,2025-03-19 17:30:10,yahoo
YOU,27.42,0.87,3.28,2025-03-19 17:30:10,yahoo
GFL,48.34,1.58,3.38,2025-03-19 17:30:10,yahoo
CRS,187.7,6.16,3.39,2025-03-19 17:30:10,yahoo
GVA,75.59,2.49,3.41,2025-03-19 17:30:10,yahoo
CVNA,171.53,5.01,3.01,2025-03-19 17:30:10,yahoo
IRTC,105.12,3.46,3.4,2025-03-19 17:30:10,yahoo
TWST,41.9,1.33,3.28,2025-03-19 17:30:10,yahoo
TWLO,102.56,3.3,3.32,2025-03-19 17:30:10,yahoo
GSAT,21.48,0.7,3.37,2025-03-19 17:30:10,yahoo
SPR,34.92,1.12,3.33,2025-03-19 17:30:10,yahoo
OWL,20.49,0.66,3.33,2025-03-19 17:30:10,yahoo
CLS,90.05,2.58,2.95,2025-03-19 17:30:10,yahoo
PI,94.32,2.86,3.13,2025-03-19 17:30:10,yahoo
MKSI,90.51,2.75,3.14,2025-03-19 17:30:10,yahoo
NFE,10.16,0.31,3.2,2025-03-19 17:30:10,yahoo
NEXT,8.78,0.28,3.29,2025-03-19 17:30:10,yahoo
RSI,11.0,0.34,3.19,2025-03-19 17:30:10,yahoo
RH,229.04,7.2,3.24,2025-03-19 17:30:10,yahoo
MUR,26.95,0.85,3.26,2025-03-19 17:30:10,yahoo
RYTM,54.0,1.71,3.27,2025-03-19 17:30:10,yahoo
APO,141.83,4.39,3.19,2025-03-19 17:30:10,yahoo
TEM,47.08,1.34,2.93,2025-03-19 17:30:10,yahoo
NCLH,19.67,0.6,3.12,2025-03-19 17:30:10,yahoo
JOBY,6.35,0.18,2.92,2025-03-19 17:30:10,yahoo
BWIN,42.79,1.3,3.15,2025-03-19 17:30:10,yahoo
ZETA,14.29,0.43,3.1,2025-03-19 17:30:10,yahoo
DXCM,72.91,2.21,3.13,2025-03-19 17:30:10,yahoo
RMBS,55.95,1.62,2.99,2025-03-19 17:30:10,yahoo
