symbol,price,price_change,price_percent_change,timestamp
MGRM,3.67,1.34,57.51,2025-03-17 21:01:22
ARQQ,23.54,8.54,56.93,2025-03-17 21:01:22
NAOV,3.43,1.22,55.49,2025-03-17 21:01:22
VTVT,22.74,7.89,53.13,2025-03-17 21:01:22
QNTM,7.18,2.29,46.83,2025-03-17 21:01:22
RGC,18.5,5.88,46.59,2025-03-17 21:01:22
CRVO,9.05,2.61,40.53,2025-03-17 21:01:22
QMCO,21.49,6.15,40.09,2025-03-17 21:01:22
RHLD,44.19,12.12,37.79,2025-03-17 21:01:22
MTEN,7.71,2.03,35.74,2025-03-17 21:01:22
SMTK,2.8,0.68,32.08,2025-03-17 21:01:22
GES,12.62,2.92,30.1,2025-03-17 21:01:22
NIU,3.51,0.79,29.04,2025-03-17 21:01:22
LAZR,6.42,1.37,27.13,2025-03-17 21:01:22
CURR,2.57,0.54,26.6,2025-03-17 21:01:22
NCSM,33.49,6.73,25.15,2025-03-17 21:01:22
UMAC,7.95,1.55,24.22,2025-03-17 21:01:22
XPOF,9.19,1.73,23.19,2025-03-17 21:01:22
AIFF,5.23,0.98,23.06,2025-03-17 21:01:22
DGNX,64.8,11.99,22.7,2025-03-17 21:01:22
IVDA,2.84,0.51,21.89,2025-03-17 21:01:22
WGRX,3.49,0.59,20.34,2025-03-17 21:01:22
HCAI,10.08,1.68,20.0,2025-03-17 21:01:22
ATLN,5.91,0.97,19.64,2025-03-17 21:01:22
CSAI,6.09,0.99,19.41,2025-03-17 21:01:22
CAPS,2.98,0.48,19.2,2025-03-17 21:01:22
RDHL,3.01,0.45,17.58,2025-03-17 21:01:22
DPRO,2.91,0.43,17.34,2025-03-17 21:01:22
MFH,6.04,0.86,16.6,2025-03-17 21:01:22
KMTS,24.78,3.51,16.5,2025-03-17 21:01:22
KSCP,5.0,0.7,16.28,2025-03-17 21:01:22
SOWG,2.86,0.4,16.26,2025-03-17 21:01:22
EVTL,4.06,0.54,15.34,2025-03-17 21:01:22
EXOD,32.35,4.3,15.33,2025-03-17 21:01:22
ARTV,5.87,0.77,15.1,2025-03-17 21:01:22
LWAY,23.06,3.0,14.96,2025-03-17 21:01:22
ATLX,6.25,0.8,14.68,2025-03-17 21:01:22
RITR,3.77,0.48,14.59,2025-03-17 21:01:22
AMBI,5.01,0.63,14.38,2025-03-17 21:01:22
APPS,3.83,0.48,14.33,2025-03-17 21:01:22
REBN,4.77,0.58,13.84,2025-03-17 21:01:22
GANX,2.4,0.29,13.74,2025-03-17 21:01:22
SATL,4.06,0.48,13.57,2025-03-17 21:01:22
SRFM,4.16,0.49,13.35,2025-03-17 21:01:22
LAES,3.76,0.44,13.25,2025-03-17 21:01:22
BBNX,16.61,1.94,13.22,2025-03-17 21:01:22
UBXG,4.41,0.51,13.19,2025-03-17 21:01:22
QUBT,8.02,0.93,13.12,2025-03-17 21:01:22
MWYN,4.78,0.55,13.0,2025-03-17 21:01:22
JUNE,6.5,0.74,12.85,2025-03-17 21:01:22
MAXN,4.16,0.47,12.74,2025-03-17 21:01:22
CANG,4.26,0.48,12.7,2025-03-17 21:01:22
HSAI,22.3,2.5,12.63,2025-03-17 21:01:22
MTSR,28.38,3.17,12.57,2025-03-17 21:01:22
