symbol,price,price_change,price_percent_change,timestamp
LSE,13.46,5.68,73.17,2025-03-19 17:30:20
BOWN,6.8,2.48,57.23,2025-03-19 17:30:20
CSAI,8.08,2.51,45.11,2025-03-19 17:30:20
ATER,2.88,0.77,36.45,2025-03-19 17:30:20
ADTX,9.59,2.09,27.84,2025-03-19 17:30:20
EXOD,38.38,8.13,26.85,2025-03-19 17:30:20
CSCI,4.13,0.8,23.9,2025-03-19 17:30:20
BGSF,4.33,0.78,21.97,2025-03-19 17:30:20
LZMH,11.55,1.99,20.82,2025-03-19 17:30:20
HURA,3.35,0.55,19.64,2025-03-19 17:30:20
CNSP,4.24,0.69,19.49,2025-03-19 17:30:20
BDRX,2.38,0.37,18.12,2025-03-19 17:30:20
SVC,2.94,0.45,18.07,2025-03-19 17:30:20
SIG,57.01,8.71,18.03,2025-03-19 17:30:20
ELAB,5.48,0.78,16.57,2025-03-19 17:30:20
XNET,5.18,0.7,15.74,2025-03-19 17:30:20
AIRS,2.96,0.37,14.29,2025-03-19 17:30:20
AEVA,3.06,0.38,14.22,2025-03-19 17:30:20
STNE,11.23,1.38,14.02,2025-03-19 17:30:20
TRVG,4.86,0.57,13.29,2025-03-19 17:30:20
VERO,3.2,0.35,12.28,2025-03-19 17:30:20
DGNX,80.88,8.82,12.24,2025-03-19 17:30:20
STAI,2.49,0.27,12.16,2025-03-19 17:30:20
GRO,3.75,0.4,11.94,2025-03-19 17:30:20
AKBA,2.85,0.3,11.73,2025-03-19 17:30:20
CRGX,4.24,0.44,11.58,2025-03-19 17:30:20
GYRE,9.56,0.99,11.55,2025-03-19 17:30:20
BGM,11.36,1.12,10.94,2025-03-19 17:30:20
SPCE,4.18,0.4,10.58,2025-03-19 17:30:20
OLLI,109.43,10.37,10.47,2025-03-19 17:30:20
SSP,3.21,0.29,10.07,2025-03-19 17:30:20
WLGS,5.23,0.47,9.88,2025-03-19 17:30:20
CSIQ,10.74,0.95,9.76,2025-03-19 17:30:20
MLYS,16.92,1.49,9.62,2025-03-19 17:30:20
INMB,7.87,0.68,9.46,2025-03-19 17:30:20
LTBR,10.07,0.86,9.34,2025-03-19 17:30:20
SRAD,21.95,1.87,9.31,2025-03-19 17:30:20
QNTM,7.1,0.6,9.23,2025-03-19 17:30:20
BTAI,2.4,0.2,9.09,2025-03-19 17:30:20
GCL,2.4,0.2,9.09,2025-03-19 17:30:20
China,16.25,1.3,8.7,2025-03-19 17:30:20
SNOA,3.53,0.28,8.62,2025-03-19 17:30:20
SMLR,38.51,3.02,8.51,2025-03-19 17:30:20
SMR,17.98,1.4,8.44,2025-03-19 17:30:20
GPCR,22.87,1.76,8.34,2025-03-19 17:30:20
RADX,6.11,0.47,8.33,2025-03-19 17:30:20
SNBR,6.8,0.52,8.27,2025-03-19 17:30:20
SRPT,79.56,6.03,8.19,2025-03-19 17:30:20
WULF,3.2,0.24,8.1,2025-03-19 17:30:20
AUID,5.4,0.39,7.78,2025-03-19 17:30:20
WOLF,5.87,0.42,7.71,2025-03-19 17:30:20
AZ,7.43,0.53,7.62,2025-03-19 17:30:20
SHOP,101.1,7.09,7.54,2025-03-19 17:30:20
CORZ,8.6,0.58,7.29,2025-03-19 17:30:20
EVEX,3.32,0.23,7.26,2025-03-19 17:30:20
MCS,17.38,1.15,7.09,2025-03-19 17:30:20
BTDR,10.15,0.67,7.06,2025-03-19 17:30:20
LNSR,16.66,1.09,7.04,2025-03-19 17:30:20
FET,21.24,1.39,7.0,2025-03-19 17:30:20
TIVC,3.37,0.22,6.98,2025-03-19 17:30:20
IMAX,26.02,1.68,6.88,2025-03-19 17:30:20
PAGS,8.43,0.54,6.78,2025-03-19 17:30:20
IREN,7.04,0.45,6.75,2025-03-19 17:30:20
AFRM,46.64,2.94,6.73,2025-03-19 17:30:20
EOSE,4.38,0.28,6.71,2025-03-19 17:30:20
VFS,3.48,0.21,6.6,2025-03-19 17:30:20
YHC,2.59,0.16,6.58,2025-03-19 17:30:20
HIMS,33.55,2.06,6.54,2025-03-19 17:30:20
KRMN,36.75,2.25,6.52,2025-03-19 17:30:20
ADVM,5.22,0.32,6.5,2025-03-19 17:30:20
WRBY,18.98,1.16,6.48,2025-03-19 17:30:20
SEAT,2.9,0.17,6.43,2025-03-19 17:30:20
GOGO,7.38,0.45,6.42,2025-03-19 17:30:20
SMTC,41.12,2.48,6.4,2025-03-19 17:30:20
ROKU,71.59,4.23,6.28,2025-03-19 17:30:20
QD,3.02,0.18,6.34,2025-03-19 17:30:20
COHR,69.51,4.13,6.32,2025-03-19 17:30:20
NBIS,27.28,1.61,6.29,2025-03-19 17:30:20
ALTG,5.48,0.32,6.2,2025-03-19 17:30:20
LOMA,10.92,0.63,6.12,2025-03-19 17:30:20
IBTA,41.06,2.35,6.09,2025-03-19 17:30:20
KLXE,4.01,0.23,6.08,2025-03-19 17:30:20
UPLD,3.52,0.2,6.02,2025-03-19 17:30:20
ADMA,19.83,1.12,5.99,2025-03-19 17:30:20
DJT,21.27,1.18,5.87,2025-03-19 17:30:20
SRFM,4.07,0.23,5.86,2025-03-19 17:30:20
NRT,5.25,0.29,5.85,2025-03-19 17:30:20
SHCO,7.06,0.39,5.85,2025-03-19 17:30:20
GDRX,4.74,0.26,5.8,2025-03-19 17:30:20
JYNT,11.95,0.65,5.75,2025-03-19 17:30:20
SATL,4.08,0.22,5.75,2025-03-19 17:30:20
YMAB,4.8,0.26,5.73,2025-03-19 17:30:20
ADPT,7.77,0.42,5.71,2025-03-19 17:30:20
ARIS,31.14,1.68,5.68,2025-03-19 17:30:20
GCI,3.19,0.17,5.63,2025-03-19 17:30:20
BORR,2.45,0.13,5.6,2025-03-19 17:30:20
GLNG,36.99,1.95,5.57,2025-03-19 17:30:20
BTMD,4.3,0.23,5.53,2025-03-19 17:30:20
BBAR,18.6,0.97,5.5,2025-03-19 17:30:20
NXL,2.32,0.12,5.45,2025-03-19 17:30:20
