,symbol,price,price_change,price_percent_change,timestamp
0,RDUS,27.81,14.15,103.59,2025-03-16 17:30:22
1,USAR,18.55,7.76,72.0,2025-03-16 17:30:22
2,QBTS,10.15,3.24,46.89,2025-03-16 17:30:22
3,AAOI,22.11,6.24,39.32,2025-03-16 17:30:22
4,HCAI,8.4,1.95,30.23,2025-03-16 17:30:22
5,GRRR,33.59,7.68,29.64,2025-03-16 17:30:22
6,QUBT,7.09,1.6,29.14,2025-03-16 17:30:22
7,RGTI,11.22,2.47,28.23,2025-03-16 17:30:22
8,RBRK,70.64,15.36,27.79,2025-03-16 17:30:22
9,WEST,6.88,1.37,24.86,2025-03-16 17:30:22
10,AIFF,4.25,0.79,22.83,2025-03-16 17:30:22
11,BTMD,3.76,0.69,22.48,2025-03-16 17:30:22
12,DM,2.49,0.45,22.06,2025-03-16 17:30:22
13,DXF,7.63,1.37,21.88,2025-03-16 17:30:22
14,KINS,16.63,2.96,21.65,2025-03-16 17:30:22
15,LAES,3.32,0.58,21.17,2025-03-16 17:30:22
16,IRBT,3.7,0.65,21.11,2025-03-16 17:30:22
17,SMTC,39.6,6.89,21.06,2025-03-16 17:30:22
18,JL,4.74,0.82,20.82,2025-03-16 17:30:22
19,CJMB,5.3,0.9,20.45,2025-03-16 17:30:22
20,JFIN,11.82,1.99,20.24,2025-03-16 17:30:22
21,CDLX,2.47,0.4,19.32,2025-03-16 17:30:22
22,MAXN,3.69,0.58,18.65,2025-03-16 17:30:22
23,TSAT,25.35,3.96,18.51,2025-03-16 17:30:22
24,SNBR,7.35,1.14,18.36,2025-03-16 17:30:22
25,PLCE,8.37,1.29,18.22,2025-03-16 17:30:22
26,PD,18.38,2.77,17.75,2025-03-16 17:30:22
27,EDBL,2.82,0.42,17.5,2025-03-16 17:30:22
28,IONQ,25.0,3.63,16.99,2025-03-16 17:30:22
29,GDOT,7.74,1.1,16.57,2025-03-16 17:30:22
30,PTON,7.05,0.98,16.14,2025-03-16 17:30:22
31,LX,10.53,1.46,16.1,2025-03-16 17:30:22
32,SOUN,10.34,1.43,16.05,2025-03-16 17:30:22
33,OKLO,27.72,3.77,15.74,2025-03-16 17:30:22
34,ARQQ,15.0,2.03,15.65,2025-03-16 17:30:22
35,IH,2.99,0.4,15.44,2025-03-16 17:30:22
36,PTHL,4.18,0.55,15.15,2025-03-16 17:30:22
37,CNSP,3.12,0.41,15.13,2025-03-16 17:30:22
38,SMR,17.51,2.3,15.12,2025-03-16 17:30:22
39,RCAT,5.66,0.74,15.04,2025-03-16 17:30:22
40,DOCU,85.76,11.06,14.81,2025-03-16 17:30:22
41,SNOA,3.53,0.45,14.61,2025-03-16 17:30:22
42,LTBR,9.35,1.19,14.58,2025-03-16 17:30:22
