symbol,price,price_change,price_percent_change,timestamp
RGC,7.29,3.09,73.57,2025-03-13 14:31:22
HMR,3.36,0.81,31.76,2025-03-13 14:31:22
SSP,2.66,0.61,29.81,2025-03-13 14:31:22
AVAH,4.77,1.03,27.54,2025-03-13 14:31:22
RAIL,7.81,1.58,25.29,2025-03-13 14:31:22
MGTX,7.92,1.51,23.63,2025-03-13 14:31:22
CBUS,2.56,0.4,18.52,2025-03-13 14:31:22
QMCO,13.27,2.01,17.81,2025-03-13 14:31:22
OPRX,7.35,1.07,17.08,2025-03-13 14:31:22
NN,12.0,1.73,16.85,2025-03-13 14:31:22
BLDE,3.3,0.47,16.43,2025-03-13 14:31:22
INTC,24.02,3.34,16.15,2025-03-13 14:31:22
WLGS,3.6,0.48,15.38,2025-03-13 14:31:22
QBTS,6.72,0.9,15.46,2025-03-13 14:31:22
CURR,3.42,0.43,14.38,2025-03-13 14:31:22
CMTG,3.84,0.42,12.28,2025-03-13 14:31:22
GIII,28.2,2.86,11.29,2025-03-13 14:31:22
FN,223.3,21.42,10.61,2025-03-13 14:31:22
YALA,4.88,0.47,10.52,2025-03-13 14:31:22
NABL,7.76,0.61,8.53,2025-03-13 14:31:22
BBCP,5.37,0.41,8.27,2025-03-13 14:31:22
SUUN,4.7,0.35,8.05,2025-03-13 14:31:22
ARMN,4.38,0.32,7.88,2025-03-13 14:31:22
YSG,4.64,0.33,7.54,2025-03-13 14:31:22
DLTR,66.56,4.64,7.49,2025-03-13 14:31:22
DG,80.44,5.59,7.47,2025-03-13 14:31:22
MODV,2.44,0.17,7.24,2025-03-13 14:31:22
BBW,38.04,2.54,7.17,2025-03-13 14:31:22
ASTL,6.23,0.41,7.04,2025-03-13 14:31:22
SNES,2.46,0.16,6.96,2025-03-13 14:31:22
METC,9.47,0.61,6.88,2025-03-13 14:31:22
SVRA,2.78,0.17,6.73,2025-03-13 14:31:22
CRNT,2.65,0.16,6.43,2025-03-13 14:31:22
UMAC,6.48,0.39,6.31,2025-03-13 14:31:22
SHLS,3.12,0.18,6.12,2025-03-13 14:31:22
NCMI,5.86,0.33,5.97,2025-03-13 14:31:22
ACNT,12.48,0.7,5.95,2025-03-13 14:31:22
UPLD,3.28,0.18,5.81,2025-03-13 14:31:22
ALGM,26.31,1.37,5.49,2025-03-13 14:31:22
GTN,4.33,0.22,5.33,2025-03-13 14:31:22
TELO,5.2,0.26,5.26,2025-03-13 14:31:22
ABUS,3.36,0.17,5.17,2025-03-13 14:31:22
MLGO,4.16,0.2,5.17,2025-03-13 14:31:22
MRCY,44.18,2.08,4.94,2025-03-13 14:31:22
BZAI,3.47,0.16,4.83,2025-03-13 14:31:22
EH,22.64,1.01,4.67,2025-03-13 14:31:22
PCRX,23.02,0.98,4.45,2025-03-13 14:31:22
HRTG,12.53,0.53,4.42,2025-03-13 14:31:22
MOMO,7.1,0.29,4.34,2025-03-13 14:31:22
VG,10.69,0.44,4.29,2025-03-13 14:31:22
HNRG,10.25,0.41,4.17,2025-03-13 14:31:22
DBI,3.38,0.14,4.15,2025-03-13 14:31:22
OII,20.15,0.79,4.08,2025-03-13 14:31:22
ARQQ,13.94,0.55,4.07,2025-03-13 14:31:22
ALLT,5.47,0.21,3.99,2025-03-13 14:31:22
CTRE,28.07,1.06,3.92,2025-03-13 14:31:22
AG,6.38,0.23,3.83,2025-03-13 14:31:22
CRVO,6.41,0.24,3.82,2025-03-13 14:31:22
BIDU,95.92,3.52,3.81,2025-03-13 14:31:22
PSFE,15.79,0.58,3.81,2025-03-13 14:31:22
NGD,3.2,0.12,3.73,2025-03-13 14:31:22
SYTA,2.24,0.08,3.7,2025-03-13 14:31:22
IBRX,2.98,0.1,3.66,2025-03-13 14:31:22
FIS,70.55,2.43,3.57,2025-03-13 14:31:22
ORLA,8.13,0.28,3.57,2025-03-13 14:31:22
SSRM,10.6,0.36,3.56,2025-03-13 14:31:22
RNA,33.76,1.15,3.53,2025-03-13 14:31:22
F,9.93,0.34,3.54,2025-03-13 14:31:22
BMEA,2.54,0.09,3.46,2025-03-13 14:31:22
INMD,18.78,0.62,3.41,2025-03-13 14:31:22
FCX,38.03,1.25,3.41,2025-03-13 14:31:22
NEM,45.11,1.48,3.39,2025-03-13 14:31:22
CATX,2.75,0.09,3.38,2025-03-13 14:31:22
SCCO,93.4,3.06,3.38,2025-03-13 14:31:22
AES,12.23,0.4,3.38,2025-03-13 14:31:22
XNET,5.07,0.16,3.33,2025-03-13 14:31:22
EGO,15.13,0.48,3.28,2025-03-13 14:31:22
SLNO,48.23,1.53,3.28,2025-03-13 14:31:22
CNTA,17.61,0.55,3.23,2025-03-13 14:31:22
QUBT,5.6,0.17,3.23,2025-03-13 14:31:22
GANX,2.18,0.07,3.22,2025-03-13 14:31:22
RCAT,5.11,0.16,3.21,2025-03-13 14:31:22
CYBN,7.58,0.23,3.2,2025-03-13 14:31:22
JD,41.64,1.27,3.16,2025-03-13 14:31:22
STGW,6.14,0.18,3.1,2025-03-13 14:31:22
SA,11.62,0.37,3.29,2025-03-13 14:31:22
AMBA,53.59,1.59,3.06,2025-03-13 14:31:22
AISP,3.56,0.1,3.04,2025-03-13 14:31:22
ARCB,75.08,2.21,3.03,2025-03-13 14:31:22
TGTX,38.35,1.12,3.0,2025-03-13 14:31:22
TECK,41.22,1.2,3.0,2025-03-13 14:31:22
GDOT,6.53,0.19,3.0,2025-03-13 14:31:22
OR,19.54,0.56,2.98,2025-03-13 14:31:22
UGP,2.81,0.08,2.93,2025-03-13 14:31:22
PAGS,7.58,0.21,2.92,2025-03-13 14:31:22
MRNA,36.01,1.0,2.86,2025-03-13 14:31:22
JELD,6.01,0.17,2.91,2025-03-13 14:31:22
LUV,30.98,0.88,2.92,2025-03-13 14:31:22
RXO,18.59,0.52,2.88,2025-03-13 14:31:22
ALKT,24.98,0.69,2.86,2025-03-13 14:31:22
