symbol,price,price_change,price_percent_change,timestamp
MHVIY,39.31,4.29,12.25,2025-03-17 17:30:10
TXHPF,20.03,2.03,11.31,2025-03-17 17:30:10
HSAI,21.85,2.06,10.38,2025-03-17 17:30:10
CELH,29.92,2.84,10.48,2025-03-17 17:30:10
QFIN,47.7,4.51,10.44,2025-03-17 17:30:10
CALM,91.0,7.97,9.6,2025-03-17 17:30:10
LION,8.28,0.69,9.09,2025-03-17 17:30:10
DLO,9.39,0.77,8.93,2025-03-17 17:30:10
BIDU,101.98,8.16,8.7,2025-03-17 17:30:10
OTLY,9.59,0.75,8.48,2025-03-17 17:30:10
INTC,26.0,1.95,8.13,2025-03-17 17:30:10
ASND,165.63,12.65,8.27,2025-03-17 17:30:10
MTSUY,18.94,1.36,7.74,2025-03-17 17:30:10
TCOM,66.27,4.54,7.35,2025-03-17 17:30:10
AEO,11.84,0.78,7.05,2025-03-17 17:30:10
VRNA,65.96,4.57,7.44,2025-03-17 17:30:10
TAL,14.23,0.93,7.03,2025-03-17 17:30:10
SAIC,111.54,7.11,6.81,2025-03-17 17:30:10
HOOD,41.81,2.57,6.55,2025-03-17 17:30:10
ENPH,62.03,3.9,6.71,2025-03-17 17:30:10
ORLA,9.3,0.59,6.72,2025-03-17 17:30:10
QBTS,10.93,0.78,7.64,2025-03-17 17:30:10
RDNT,49.44,2.9,6.22,2025-03-17 17:30:10
YMM,13.72,0.81,6.24,2025-03-17 17:30:10
SSUMY,24.78,1.45,6.22,2025-03-17 17:30:10
AES,13.07,0.76,6.21,2025-03-17 17:30:10
XIACF,7.4,0.43,6.17,2025-03-17 17:30:10
UEC,5.39,0.31,6.0,2025-03-17 17:30:10
CAAP,19.5,1.12,6.07,2025-03-17 17:30:10
CVI,20.38,1.15,5.98,2025-03-17 17:30:10
RNA,33.02,1.91,6.13,2025-03-17 17:30:10
XIACY,36.94,2.06,5.91,2025-03-17 17:30:10
CDE,6.37,0.34,5.63,2025-03-17 17:30:10
RKT,15.71,0.84,5.65,2025-03-17 17:30:10
ENOV,39.22,2.17,5.84,2025-03-17 17:30:10
BDORY,5.02,0.27,5.68,2025-03-17 17:30:10
FINV,9.23,0.52,6.03,2025-03-17 17:30:10
TNXP,15.85,0.85,5.63,2025-03-17 17:30:10
PTCT,57.64,3.14,5.76,2025-03-17 17:30:10
PBF,21.84,1.1,5.3,2025-03-17 17:30:10
HII,206.98,10.82,5.52,2025-03-17 17:30:10
FRHC,133.52,6.63,5.23,2025-03-17 17:30:10
XP,15.48,0.81,5.49,2025-03-17 17:30:10
TKAMY,10.05,0.54,5.68,2025-03-17 17:30:10
PDD,129.11,6.57,5.36,2025-03-17 17:30:10
YOU,25.92,1.4,5.71,2025-03-17 17:30:10
LMND,36.84,1.87,5.35,2025-03-17 17:30:10
AG,7.04,0.36,5.39,2025-03-17 17:30:10
YETI,33.87,1.7,5.28,2025-03-17 17:30:10
DPZ,447.36,21.78,5.12,2025-03-17 17:30:10
VEON,44.26,2.22,5.27,2025-03-17 17:30:10
ACHR,8.31,0.41,5.25,2025-03-17 17:30:10
