symbol,price,price_change,price_percent_change,timestamp
BILL,45.87,1.48,3.33,2025-03-12 22:42:00
SSRM,10.24,0.33,3.33,2025-03-12 22:42:00
CRNX,35.4,1.14,3.33,2025-03-12 22:42:00
BURL,243.25,7.82,3.32,2025-03-12 22:42:00
MRUS,49.16,1.58,3.32,2025-03-12 22:42:00
SPGYF,5.95,0.19,3.3,2025-03-12 22:42:00
PRMB,31.32,1.0,3.3,2025-03-12 22:42:00
DELL,94.58,3.01,3.29,2025-03-12 22:42:00
FICO,1779.0,56.15,3.26,2025-03-12 22:42:00
DY,148.81,4.69,3.25,2025-03-12 22:42:00
CEG,215.35,6.77,3.25,2025-03-12 22:42:00
NUVL,72.52,2.27,3.23,2025-03-12 22:42:00
TRGP,187.04,5.85,3.23,2025-03-12 22:42:00
SONY,23.69,0.74,3.22,2025-03-12 22:42:00
ASND,150.31,4.68,3.21,2025-03-12 22:42:00
NTRA,144.5,4.48,3.2,2025-03-12 22:42:00
ET,18.4,0.57,3.2,2025-03-12 22:42:00
MAC,16.84,0.52,3.19,2025-03-12 22:42:00
CRGY,10.72,0.33,3.18,2025-03-12 22:42:00
LITE,64.02,1.97,3.17,2025-03-12 22:42:00
DLR,151.67,4.66,3.17,2025-03-12 22:42:00
PAAS,25.25,0.77,3.15,2025-03-12 22:42:00
BPMC,90.5,2.74,3.12,2025-03-12 22:42:00
HBM,7.27,0.22,3.12,2025-03-12 22:42:00
SYF,53.61,1.62,3.12,2025-03-12 22:42:00
CALX,32.45,0.98,3.11,2025-03-12 22:42:00
TLK,15.01,0.45,3.09,2025-03-12 22:42:00
BAESY,84.37,2.52,3.08,2025-03-12 22:42:00
BA,158.8,4.74,3.08,2025-03-12 22:42:00
COF,170.45,5.05,3.05,2025-03-12 22:42:00
BCS,15.56,0.46,3.05,2025-03-12 22:42:00
COMP,8.8,0.26,3.04,2025-03-12 22:42:00
NOG,28.8,0.85,3.04,2025-03-12 22:42:00
TECH,60.24,1.76,3.02,2025-03-12 22:42:00
BANC,13.7,0.4,3.01,2025-03-12 22:42:00
