,symbol,price,price_change,price_percent_change,timestamp
0,BOWN,7.7,3.38,78.03,2025-03-19 14:31:21
1,LSE,13.42,5.65,72.72,2025-03-19 14:31:21
2,ATER,3.04,0.93,44.06,2025-03-19 14:31:21
3,AEVA,3.35,0.67,25.04,2025-03-19 14:31:21
4,SIG,59.34,11.04,22.86,2025-03-19 14:31:21
5,CNSP,4.22,0.67,18.87,2025-03-19 14:31:21
6,SVC,2.94,0.46,18.27,2025-03-19 14:31:21
7,LZMH,11.3,1.75,18.25,2025-03-19 14:31:21
8,BDRX,2.36,0.34,17.12,2025-03-19 14:31:21
9,CSAI,6.51,0.94,16.88,2025-03-19 14:31:21
10,SRFM,4.45,0.61,15.89,2025-03-19 14:31:21
11,WLGS,5.5,0.74,15.55,2025-03-19 14:31:21
12,STNE,11.3,1.45,14.71,2025-03-19 14:31:21
13,ADTX,8.6,1.1,14.68,2025-03-19 14:31:21
14,QNTM,7.33,0.83,12.83,2025-03-19 14:31:21
15,MLYS,17.37,1.94,12.6,2025-03-19 14:31:21
16,AIRS,2.92,0.33,12.55,2025-03-19 14:31:21
17,CRGX,4.26,0.46,11.97,2025-03-19 14:31:21
18,GCL,2.46,0.26,11.95,2025-03-19 14:31:21
19,JTAI,5.58,0.56,11.16,2025-03-19 14:31:21
20,OLLI,110.06,11.0,11.1,2025-03-19 14:31:21
21,GYRE,9.5,0.93,10.85,2025-03-19 14:31:21
22,BTAI,2.42,0.22,10.0,2025-03-19 14:31:21
23,IREN,7.22,0.63,9.55,2025-03-19 14:31:21
24,LNSR,17.0,1.44,9.28,2025-03-19 14:31:21
25,STAI,2.42,0.2,9.03,2025-03-19 14:31:21
26,VFS,3.54,0.28,8.74,2025-03-19 14:31:21
27,ROKU,72.78,5.42,8.05,2025-03-19 14:31:21
28,WKSP,4.06,0.3,7.98,2025-03-19 14:31:21
29,HURA,3.02,0.22,7.86,2025-03-19 14:31:21
30,SPCE,4.08,0.29,7.8,2025-03-19 14:31:21
31,SNBR,6.76,0.48,7.64,2025-03-19 14:31:21
32,SMLR,38.16,2.67,7.54,2025-03-19 14:31:21
33,LX,11.38,0.79,7.46,2025-03-19 14:31:21
34,CSIQ,10.5,0.71,7.31,2025-03-19 14:31:21
35,IMVT,20.16,1.37,7.29,2025-03-19 14:31:21
36,PAGS,8.46,0.56,7.16,2025-03-19 14:31:21
37,PHAT,5.94,0.4,7.14,2025-03-19 14:31:21
38,LCID,2.5,0.15,6.6,2025-03-19 14:31:21
39,BORR,2.47,0.15,6.45,2025-03-19 14:31:21
40,RGNX,8.3,0.5,6.41,2025-03-19 14:31:21
41,BMEA,2.69,0.16,6.32,2025-03-19 14:31:21
42,BA,171.75,10.18,6.3,2025-03-19 14:31:21
43,GPCR,22.42,1.31,6.21,2025-03-19 14:31:21
44,AQST,2.92,0.17,6.15,2025-03-19 14:31:21
45,SHOP,99.79,5.78,6.15,2025-03-19 14:31:21
46,MEI,6.79,0.39,6.09,2025-03-19 14:31:21
47,GOGO,7.35,0.42,6.06,2025-03-19 14:31:21
48,SRAD,21.28,1.2,5.98,2025-03-19 14:31:21
49,BTDR,10.05,0.56,5.96,2025-03-19 14:31:21
50,AFRM,46.27,2.57,5.88,2025-03-19 14:31:21
51,NBIS,27.15,1.48,5.77,2025-03-19 14:31:21
52,WULF,3.13,0.17,5.74,2025-03-19 14:31:21
53,CORZ,8.47,0.45,5.61,2025-03-19 14:31:21
54,TIVC,3.32,0.17,5.56,2025-03-19 14:31:21
55,TUYA,3.92,0.2,5.53,2025-03-19 14:31:21
56,GDRX,4.72,0.24,5.47,2025-03-19 14:31:21
57,LPRO,3.68,0.19,5.45,2025-03-19 14:31:21
58,IBEX,26.33,1.35,5.42,2025-03-19 14:31:21
59,PTON,6.8,0.34,5.34,2025-03-19 14:31:21
60,OPFI,9.63,0.49,5.32,2025-03-19 14:31:21
61,ALLT,5.94,0.29,5.13,2025-03-19 14:31:21
62,SRPT,77.31,3.77,5.12,2025-03-19 14:31:21
63,AKBA,2.68,0.13,5.11,2025-03-19 14:31:21
64,SPIR,8.96,0.43,5.11,2025-03-19 14:31:21
65,NCMI,6.04,0.29,5.04,2025-03-19 14:31:21
66,GLNG,36.8,1.76,5.04,2025-03-19 14:31:21
67,LAZR,7.17,0.34,4.98,2025-03-19 14:31:21
68,FRO,16.58,0.78,4.9,2025-03-19 14:31:21
69,EVGO,2.68,0.13,4.88,2025-03-19 14:31:21
70,UPST,50.1,2.31,4.83,2025-03-19 14:31:21
71,MTSR,31.79,1.46,4.81,2025-03-19 14:31:21
72,HI,26.2,1.2,4.8,2025-03-19 14:31:21
73,CMPO,11.4,0.52,4.78,2025-03-19 14:31:21
74,EOSE,4.3,0.2,4.76,2025-03-19 14:31:21
75,HUT,12.64,0.57,4.72,2025-03-19 14:31:21
76,VG,11.4,0.51,4.68,2025-03-19 14:31:21
77,SATL,4.04,0.18,4.66,2025-03-19 14:31:21
78,OMCL,34.46,1.53,4.65,2025-03-19 14:31:21
79,DJT,21.02,0.93,4.63,2025-03-19 14:31:21
80,JMIA,2.49,0.11,4.62,2025-03-19 14:31:21
81,CLSK,7.94,0.35,4.61,2025-03-19 14:31:21
82,CLVT,4.5,0.2,4.52,2025-03-19 14:31:21
83,HOOD,41.9,1.8,4.49,2025-03-19 14:31:21
84,COHR,68.28,2.9,4.44,2025-03-19 14:31:21
