,symbol,price,price_change,price_percent_change,timestamp
85,WEST,6.84,0.29,4.43,2025-03-19 14:31:21
86,JILL,19.43,0.82,4.41,2025-03-19 14:31:21
87,SHCO,6.96,0.29,4.35,2025-03-19 14:31:21
88,MNTK,2.16,0.09,4.35,2025-03-19 14:31:21
89,BURL,244.05,10.15,4.34,2025-03-19 14:31:21
90,QD,2.96,0.12,4.26,2025-03-19 14:31:21
91,WING,215.8,8.8,4.25,2025-03-19 14:31:21
92,BMBL,4.8,0.2,4.23,2025-03-19 14:31:21
93,SMCI,39.5,1.6,4.22,2025-03-19 14:31:21
94,LRMR,2.47,0.1,4.22,2025-03-19 14:31:21
95,AUR,7.23,0.29,4.18,2025-03-19 14:31:21
96,IMAX,25.35,1.01,4.15,2025-03-19 14:31:21
97,SSP,3.04,0.12,4.11,2025-03-19 14:31:21
98,MSTR,294.65,11.46,4.05,2025-03-19 14:31:21
99,CVNA,173.23,6.71,4.03,2025-03-19 14:31:21
