symbol,price,price_change,price_percent_change,timestamp
QBTS,9.51,2.6,37.55,2025-03-14 17:30:10
RBRK,69.33,14.05,25.4,2025-03-14 17:30:10
RGTI,10.41,1.66,19.03,2025-03-14 17:30:10
DOCU,87.84,13.14,17.59,2025-03-14 17:30:10
SMTC,38.24,5.53,16.91,2025-03-14 17:30:10
WXXWY,6.89,0.89,14.83,2025-03-14 17:30:10
PTON,6.93,0.86,14.09,2025-03-14 17:30:10
ULTA,355.14,40.67,12.93,2025-03-14 17:30:10
IONQ,24.12,2.75,12.87,2025-03-14 17:30:10
WGS,100.54,11.22,12.56,2025-03-14 17:30:10
FNMA,6.14,0.66,12.04,2025-03-14 17:30:10
TGTX,41.4,4.34,11.72,2025-03-14 17:30:10
WRD,18.17,1.9,11.67,2025-03-14 17:30:10
TNXP,15.22,1.58,11.61,2025-03-14 17:30:10
SOUN,9.91,1.0,11.22,2025-03-14 17:30:10
CAR,61.67,6.18,11.14,2025-03-14 17:30:10
RSI,10.78,1.1,11.36,2025-03-14 17:30:10
OKLO,26.58,2.63,10.96,2025-03-14 17:30:10
TEM,46.65,4.49,10.64,2025-03-14 17:30:10
VNET,11.48,1.09,10.43,2025-03-14 17:30:10
FMCC,5.09,0.49,10.65,2025-03-14 17:30:10
CCI,103.28,9.75,10.43,2025-03-14 17:30:10
MSTR,290.07,26.81,10.18,2025-03-14 17:30:10
AUR,6.89,0.63,10.14,2025-03-14 17:30:10
ASR,283.09,24.6,9.52,2025-03-14 17:30:10
FNMAH,8.9,0.75,9.2,2025-03-14 17:30:10
NU,11.73,0.98,9.12,2025-03-14 17:30:10
ROOT,146.52,12.29,9.16,2025-03-14 17:30:10
SMMT,20.89,1.7,8.86,2025-03-14 17:30:10
FMCKJ,10.76,0.86,8.69,2025-03-14 17:30:10
FUTU,117.0,9.48,8.82,2025-03-14 17:30:10
FMCKI,8.7,0.69,8.61,2025-03-14 17:30:10
FNMAJ,9.45,0.73,8.35,2025-03-14 17:30:10
APP,294.72,22.72,8.35,2025-03-14 17:30:10
PONY,13.9,1.09,8.55,2025-03-14 17:30:10
BOLSY,6.5,0.48,7.97,2025-03-14 17:30:10
HOOD,38.93,2.91,8.08,2025-03-14 17:30:10
ALAB,70.42,5.1,7.81,2025-03-14 17:30:10
PLTR,85.73,6.11,7.67,2025-03-14 17:30:10
BEKE,24.12,1.68,7.51,2025-03-14 17:30:10
ASAN,13.87,0.96,7.44,2025-03-14 17:30:10
FUN,37.65,2.59,7.39,2025-03-14 17:30:10
FINMY,25.82,1.76,7.32,2025-03-14 17:30:10
MARA,13.01,0.85,6.95,2025-03-14 17:30:10
LKNCY,34.18,2.47,7.79,2025-03-14 17:30:10
CSAN,5.28,0.36,7.2,2025-03-14 17:30:10
