symbol,price,price_change,price_percent_change,timestamp,source
INTC,23.52,2.84,13.73,2025-03-13 17:30:08,yahoo
FN,219.68,17.8,8.82,2025-03-13 17:30:08,yahoo
CPRI,20.69,1.21,6.21,2025-03-13 17:30:08,yahoo
MRCY,44.53,2.43,5.77,2025-03-13 17:30:08,yahoo
DLTR,65.26,3.35,5.4,2025-03-13 17:30:08,yahoo
XPEV,25.75,1.02,4.1,2025-03-13 17:30:08,yahoo
DG,78.14,3.29,4.4,2025-03-13 17:30:08,yahoo
SLNO,48.77,2.07,4.43,2025-03-13 17:30:08,yahoo
NEM,45.44,1.81,4.15,2025-03-13 17:30:08,yahoo
BVN,14.18,0.54,3.96,2025-03-13 17:30:08,yahoo
FIS,70.59,2.47,3.63,2025-03-13 17:30:08,yahoo
VOD,9.5,0.34,3.71,2025-03-13 17:30:08,yahoo
SSRM,10.6,0.36,3.56,2025-03-13 17:30:08,yahoo
ORLA,8.1,0.25,3.12,2025-03-13 17:30:08,yahoo
AES,12.2,0.37,3.13,2025-03-13 17:30:08,yahoo
INTR,5.64,0.18,3.21,2025-03-13 17:30:08,yahoo
EGO,15.1,0.45,3.04,2025-03-13 17:30:08,yahoo
ALKT,25.01,0.73,3.01,2025-03-13 17:30:08,yahoo
