symbol,price,price_change,price_percent_change,timestamp
QBTS,10.15,3.24,46.89,2025-03-15 21:01:10
RGTI,11.22,2.47,28.23,2025-03-15 21:01:10
RBRK,70.64,15.36,27.79,2025-03-15 21:01:10
SMTC,39.6,6.89,21.06,2025-03-15 21:01:10
IONQ,25.0,3.63,16.99,2025-03-15 21:01:10
PTON,7.05,0.98,16.14,2025-03-15 21:01:10
SOUN,10.34,1.43,16.05,2025-03-15 21:01:10
OKLO,27.72,3.77,15.74,2025-03-15 21:01:10
DOCU,85.76,11.06,14.81,2025-03-15 21:01:10
WXXWY,6.87,0.87,14.5,2025-03-15 21:01:10
ULTA,357.48,43.01,13.68,2025-03-15 21:01:10
WRD,18.4,2.13,13.09,2025-03-15 21:01:10
ROOT,151.73,17.5,13.04,2025-03-15 21:01:10
MSTR,297.49,34.23,13.0,2025-03-15 21:01:10
VNET,11.65,1.25,12.02,2025-03-15 21:01:10
TEM,47.17,5.0,11.87,2025-03-15 21:01:10
CAR,61.95,6.46,11.64,2025-03-15 21:01:10
AUR,6.97,0.71,11.34,2025-03-15 21:01:10
ASR,285.93,27.44,10.62,2025-03-15 21:01:10
RSI,10.7,1.02,10.54,2025-03-15 21:01:10
ALAB,72.18,6.86,10.5,2025-03-15 21:01:10
CCI,103.22,9.69,10.37,2025-03-15 21:01:10
WGS,98.47,9.15,10.24,2025-03-15 21:01:10
TGTX,40.84,3.78,10.2,2025-03-15 21:01:10
FUTU,118.47,10.95,10.18,2025-03-15 21:01:10
MP,26.83,2.45,10.05,2025-03-15 21:01:10
TNXP,15.0,1.36,9.97,2025-03-15 21:01:10
NBIS,28.75,2.58,9.86,2025-03-15 21:01:10
CRDO,49.15,4.2,9.34,2025-03-15 21:01:10
PATH,10.88,0.91,9.13,2025-03-15 21:01:10
NU,11.73,0.98,9.12,2025-03-15 21:01:10
ACHR,7.9,0.65,8.97,2025-03-15 21:01:10
FMCKM,8.65,0.71,8.94,2025-03-15 21:01:10
HOOD,39.24,3.22,8.94,2025-03-15 21:01:10
NFE,9.26,0.76,8.88,2025-03-15 21:01:10
FNMAJ,9.49,0.77,8.83,2025-03-15 21:01:10
CVNA,181.18,14.51,8.71,2025-03-15 21:01:10
BEKE,24.39,1.95,8.69,2025-03-15 21:01:10
PONY,13.92,1.11,8.67,2025-03-15 21:01:10
MARA,13.18,1.02,8.39,2025-03-15 21:01:10
SMMT,20.79,1.6,8.34,2025-03-15 21:01:10
PLTR,86.24,6.62,8.31,2025-03-15 21:01:10
ELF,68.18,5.21,8.27,2025-03-15 21:01:10
QFIN,43.19,3.22,8.06,2025-03-15 21:01:10
FNMAH,8.8,0.65,7.98,2025-03-15 21:01:10
SMCI,42.17,3.09,7.91,2025-03-15 21:01:10
MDGL,348.35,25.33,7.84,2025-03-15 21:01:10
FUN,37.8,2.74,7.82,2025-03-15 21:01:10
ASTS,28.15,2.03,7.77,2025-03-15 21:01:10
APP,292.89,20.89,7.68,2025-03-15 21:01:10
LB,72.57,5.13,7.61,2025-03-15 21:01:10
ASAN,13.88,0.97,7.51,2025-03-15 21:01:10
CE,57.05,3.96,7.46,2025-03-15 21:01:10
CVLT,159.17,10.86,7.32,2025-03-15 21:01:10
OMAB,81.1,5.52,7.3,2025-03-15 21:01:10
LMND,34.97,2.37,7.27,2025-03-15 21:01:10
OMF,48.63,3.28,7.23,2025-03-15 21:01:10
IEP,9.5,0.63,7.1,2025-03-15 21:01:10
CSAN,5.28,0.35,7.1,2025-03-15 21:01:10
RKLB,18.81,1.24,7.06,2025-03-15 21:01:10
FNMAT,9.9,0.65,7.03,2025-03-15 21:01:10
RIOT,7.82,0.51,6.98,2025-03-15 21:01:10
TGS,27.33,1.77,6.92,2025-03-15 21:01:10
RXRX,6.35,0.41,6.9,2025-03-15 21:01:10
SPOT,574.79,36.88,6.86,2025-03-15 21:01:10
CLF,10.39,0.66,6.78,2025-03-15 21:01:10
AFRM,50.08,3.18,6.78,2025-03-15 21:01:10
BRZE,35.28,2.17,6.55,2025-03-15 21:01:10
TMDX,68.53,4.18,6.5,2025-03-15 21:01:10
INTR,5.91,0.36,6.49,2025-03-15 21:01:10
DAL,46.75,2.83,6.44,2025-03-15 21:01:10
PETRY,6.14,0.37,6.41,2025-03-15 21:01:10
