symbol,price,price_change,price_percent_change,timestamp,source
INTC,23.7,3.02,14.6,2025-03-13 21:01:10,yahoo
FQVLF,14.1,1.55,12.35,2025-03-13 21:01:10,yahoo
FN,223.66,21.78,10.79,2025-03-13 21:01:10,yahoo
AG,6.68,0.54,8.79,2025-03-13 21:01:10,yahoo
CPRI,21.12,1.64,8.42,2025-03-13 21:01:10,yahoo
MRCY,45.08,2.98,7.08,2025-03-13 21:01:10,yahoo
DG,79.95,5.1,6.81,2025-03-13 21:01:10,yahoo
DLTR,66.0,4.08,6.59,2025-03-13 21:01:10,yahoo
ORLA,8.29,0.44,5.61,2025-03-13 21:01:10,yahoo
ALGM,26.24,1.3,5.21,2025-03-13 21:01:10,yahoo
SLNO,49.03,2.33,4.99,2025-03-13 21:01:10,yahoo
NEM,45.65,2.02,4.63,2025-03-13 21:01:10,yahoo
SSRM,10.7,0.46,4.49,2025-03-13 21:01:10,yahoo
EGO,15.3,0.65,4.44,2025-03-13 21:01:10,yahoo
BVN,14.21,0.57,4.18,2025-03-13 21:01:10,yahoo
CDE,5.94,0.23,4.03,2025-03-13 21:01:10,yahoo
ALKT,25.25,0.97,4.0,2025-03-13 21:01:10,yahoo
AES,12.28,0.45,3.8,2025-03-13 21:01:10,yahoo
VOD,9.5,0.34,3.71,2025-03-13 21:01:10,yahoo
HL,5.77,0.2,3.59,2025-03-13 21:01:10,yahoo
ABM,47.06,1.55,3.41,2025-03-13 21:01:10,yahoo
ZBH,107.57,3.54,3.4,2025-03-13 21:01:10,yahoo
SARO,28.98,0.92,3.28,2025-03-13 21:01:10,yahoo
NOC,490.59,15.49,3.26,2025-03-13 21:01:10,yahoo
CBOE,215.13,6.63,3.18,2025-03-13 21:01:10,yahoo
RTO,21.39,0.63,3.03,2025-03-13 21:01:10,yahoo
