symbol,price,price_change,price_percent_change,timestamp,source
QBTS,9.21,2.3,33.29,2025-03-14 14:31:10,yahoo
RBRK,69.82,14.54,26.3,2025-03-14 14:31:10,yahoo
RGTI,10.28,1.53,17.53,2025-03-14 14:31:10,yahoo
DOCU,86.46,11.76,15.74,2025-03-14 14:31:10,yahoo
SMTC,37.66,4.95,15.13,2025-03-14 14:31:10,yahoo
IONQ,24.47,3.1,14.51,2025-03-14 14:31:10,yahoo
SOUN,9.89,0.98,10.98,2025-03-14 14:31:10,yahoo
FUTU,118.85,11.33,10.54,2025-03-14 14:31:10,yahoo
FNMA,6.02,0.54,9.87,2025-03-14 14:31:10,yahoo
CCI,102.26,8.74,9.35,2025-03-14 14:31:10,yahoo
FNMAH,8.89,0.74,9.41,2025-03-14 14:31:10,yahoo
ULTA,344.3,29.83,9.49,2025-03-14 14:31:10,yahoo
PTON,6.64,0.57,9.39,2025-03-14 14:31:10,yahoo
AUR,6.82,0.56,9.03,2025-03-14 14:31:10,yahoo
NFE,9.22,0.72,8.41,2025-03-14 14:31:10,yahoo
FMCKM,8.59,0.65,8.19,2025-03-14 14:31:10,yahoo
TNXP,14.55,0.91,6.66,2025-03-14 14:31:10,yahoo
ZLAB,38.83,2.69,7.44,2025-03-14 14:31:10,yahoo
ALAB,70.65,5.33,8.16,2025-03-14 14:31:10,yahoo
VNET,11.2,0.8,7.69,2025-03-14 14:31:10,yahoo
PONY,13.71,0.9,7.03,2025-03-14 14:31:10,yahoo
FMCKJ,10.59,0.69,6.93,2025-03-14 14:31:10,yahoo
FNMAS,11.0,0.75,7.32,2025-03-14 14:31:10,yahoo
WGS,96.18,6.86,7.68,2025-03-14 14:31:10,yahoo
FNMAT,9.9,0.65,7.03,2025-03-14 14:31:10,yahoo
BEKE,24.0,1.56,6.93,2025-03-14 14:31:10,yahoo
PLTR,85.01,5.39,6.77,2025-03-14 14:31:10,yahoo
TEM,45.05,2.88,6.84,2025-03-14 14:31:10,yahoo
QFIN,42.58,2.61,6.53,2025-03-14 14:31:10,yahoo
FINMY,25.59,1.53,6.36,2025-03-14 14:31:10,yahoo
LKNCY,33.51,1.8,5.68,2025-03-14 14:31:10,yahoo
MNSO,20.88,1.16,5.86,2025-03-14 14:31:10,yahoo
BYDDY,99.86,5.5,5.83,2025-03-14 14:31:10,yahoo
BYDDF,50.0,2.76,5.84,2025-03-14 14:31:10,yahoo
OKLO,25.44,1.49,6.22,2025-03-14 14:31:10,yahoo
APP,286.76,14.76,5.42,2025-03-14 14:31:10,yahoo
SITM,167.46,9.04,5.71,2025-03-14 14:31:10,yahoo
CE,56.15,3.06,5.77,2025-03-14 14:31:10,yahoo
MU,100.37,5.49,5.79,2025-03-14 14:31:10,yahoo
VEON,42.0,2.22,5.58,2025-03-14 14:31:10,yahoo
