symbol,price,price_change,price_percent_change,timestamp
TNXP,20.53,4.25,26.11,2025-03-18 21:01:10
JBSAY,13.7,2.05,17.6,2025-03-18 21:01:10
FINV,10.72,1.6,17.54,2025-03-18 21:01:10
NEXT,8.5,1.25,17.24,2025-03-18 21:01:10
TME,15.09,2.03,15.54,2025-03-18 21:01:10
TKAMY,11.54,1.49,14.83,2025-03-18 21:01:10
ESLT,408.53,39.27,10.63,2025-03-18 21:01:10
BVHMF,8.2,0.65,8.61,2025-03-18 21:01:10
HAGHY,43.92,2.63,6.37,2025-03-18 21:01:10
STVN,21.76,1.18,5.73,2025-03-18 21:01:10
RNMBY,318.18,17.18,5.71,2025-03-18 21:01:10
BRRLY,13.6,0.67,5.18,2025-03-18 21:01:10
IPGP,66.1,2.78,4.39,2025-03-18 21:01:10
SITM,177.79,7.33,4.3,2025-03-18 21:01:10
DB,24.93,0.98,4.09,2025-03-18 21:01:10
VWDRY,5.62,0.22,4.07,2025-03-18 21:01:10
ALHC,16.74,0.65,4.04,2025-03-18 21:01:10
X,41.7,1.59,3.96,2025-03-18 21:01:10
XIACF,7.7,0.29,3.91,2025-03-18 21:01:10
KLC,17.04,0.64,3.9,2025-03-18 21:01:10
DFS,158.83,5.84,3.82,2025-03-18 21:01:10
SAN,7.14,0.26,3.78,2025-03-18 21:01:10
AU,34.19,1.2,3.64,2025-03-18 21:01:10
BAYRY,6.78,0.23,3.51,2025-03-18 21:01:10
IMPUY,6.5,0.22,3.5,2025-03-18 21:01:10
CNX,31.8,1.07,3.48,2025-03-18 21:01:10
EDU,52.56,1.76,3.46,2025-03-18 21:01:10
XIACY,38.21,1.24,3.35,2025-03-18 21:01:10
GFI,21.31,0.66,3.2,2025-03-18 21:01:10
MYRG,124.34,3.84,3.19,2025-03-18 21:01:10
NIO,5.19,0.16,3.18,2025-03-18 21:01:10
RWEOY,36.53,1.09,3.08,2025-03-18 21:01:10
MUFG,14.28,0.42,3.03,2025-03-18 21:01:10
AVTR,17.01,0.5,3.03,2025-03-18 21:01:10
TXNM,54.41,1.59,3.01,2025-03-18 21:01:10
