symbol,price,price_change,price_percent_change,timestamp
RDUS,27.81,14.15,103.59,2025-03-16 14:31:21
USAR,18.55,7.76,72.0,2025-03-16 14:31:21
QBTS,10.15,3.24,46.89,2025-03-16 14:31:21
AAOI,22.11,6.24,39.32,2025-03-16 14:31:21
HCAI,8.4,1.95,30.23,2025-03-16 14:31:21
GRRR,33.59,7.68,29.64,2025-03-16 14:31:21
QUBT,7.09,1.6,29.14,2025-03-16 14:31:21
RGTI,11.22,2.47,28.23,2025-03-16 14:31:21
RBRK,70.64,15.36,27.79,2025-03-16 14:31:21
WEST,6.88,1.37,24.86,2025-03-16 14:31:21
AIFF,4.25,0.79,22.83,2025-03-16 14:31:21
BTMD,3.76,0.69,22.48,2025-03-16 14:31:21
DM,2.49,0.45,22.06,2025-03-16 14:31:21
DXF,7.63,1.37,21.88,2025-03-16 14:31:21
KINS,16.63,2.96,21.65,2025-03-16 14:31:21
LAES,3.32,0.58,21.17,2025-03-16 14:31:21
IRBT,3.7,0.65,21.11,2025-03-16 14:31:21
SMTC,39.6,6.89,21.06,2025-03-16 14:31:21
JL,4.74,0.82,20.82,2025-03-16 14:31:21
CJMB,5.3,0.9,20.45,2025-03-16 14:31:21
JFIN,11.82,1.99,20.24,2025-03-16 14:31:21
CDLX,2.47,0.4,19.32,2025-03-16 14:31:21
MAXN,3.69,0.58,18.65,2025-03-16 14:31:21
TSAT,25.35,3.96,18.51,2025-03-16 14:31:21
SNBR,7.35,1.14,18.36,2025-03-16 14:31:21
PLCE,8.37,1.29,18.22,2025-03-16 14:31:21
PD,18.38,2.77,17.75,2025-03-16 14:31:21
EDBL,2.82,0.42,17.5,2025-03-16 14:31:21
IONQ,25.0,3.63,16.99,2025-03-16 14:31:21
GDOT,7.74,1.1,16.57,2025-03-16 14:31:21
PTON,7.05,0.98,16.14,2025-03-16 14:31:21
LX,10.53,1.46,16.1,2025-03-16 14:31:21
SOUN,10.34,1.43,16.05,2025-03-16 14:31:21
OKLO,27.72,3.77,15.74,2025-03-16 14:31:21
ARQQ,15.0,2.03,15.65,2025-03-16 14:31:21
IH,2.99,0.4,15.44,2025-03-16 14:31:21
PTHL,4.18,0.55,15.15,2025-03-16 14:31:21
CNSP,3.12,0.41,15.13,2025-03-16 14:31:21
SMR,17.51,2.3,15.12,2025-03-16 14:31:21
RCAT,5.66,0.74,15.04,2025-03-16 14:31:21
DOCU,85.76,11.06,14.81,2025-03-16 14:31:21
SNOA,3.53,0.45,14.61,2025-03-16 14:31:21
LTBR,9.35,1.19,14.58,2025-03-16 14:31:21
CANG,3.78,0.48,14.55,2025-03-16 14:31:21
WOLF,5.85,0.74,14.48,2025-03-16 14:31:21
SHCO,5.94,0.75,14.45,2025-03-16 14:31:21
PDYN,7.38,0.93,14.42,2025-03-16 14:31:21
CSAI,5.1,0.64,14.35,2025-03-16 14:31:21
EGY,4.33,0.54,14.25,2025-03-16 14:31:21
ALT,5.92,0.72,13.85,2025-03-16 14:31:21
FEIM,16.0,1.94,13.8,2025-03-16 14:31:21
ULTA,357.48,43.01,13.68,2025-03-16 14:31:21
NRXP,2.35,0.28,13.53,2025-03-16 14:31:21
