symbol,price,price_change,price_percent_change,timestamp,source
MGRM,3.9,1.57,67.38,2025-03-17 14:31:22,wsj
NAOV,3.1,0.89,40.54,2025-03-17 14:31:22,wsj
RGC,17.39,4.77,37.8,2025-03-17 14:31:22,wsj
CRVO,8.58,2.14,33.23,2025-03-17 14:31:22,wsj
GES,12.42,2.73,28.09,2025-03-17 14:31:22,wsj
ARQQ,18.73,3.73,24.85,2025-03-17 14:31:22,wsj
LAZR,6.28,1.23,24.36,2025-03-17 14:31:22,wsj
DWTX,7.43,1.31,21.47,2025-03-17 14:31:22,wsj
MNTK,2.5,0.44,21.31,2025-03-17 14:31:22,wsj
CAPS,3.01,0.51,20.4,2025-03-17 14:31:22,wsj
QNTM,5.86,0.97,19.84,2025-03-17 14:31:22,wsj
CANG,4.52,0.74,19.58,2025-03-17 14:31:22,wsj
ANNX,3.04,0.44,16.92,2025-03-17 14:31:22,wsj
XPOF,8.69,1.23,16.49,2025-03-17 14:31:22,wsj
NIU,3.15,0.43,15.81,2025-03-17 14:31:22,wsj
QMCO,17.66,2.32,15.12,2025-03-17 14:31:22,wsj
EVTL,4.0,0.48,13.64,2025-03-17 14:31:22,wsj
SKBL,12.48,1.48,13.45,2025-03-17 14:31:22,wsj
YSG,5.94,0.7,13.36,2025-03-17 14:31:22,wsj
SNOA,3.98,0.45,12.75,2025-03-17 14:31:22,wsj
MIST,2.43,0.26,11.94,2025-03-17 14:31:22,wsj
SATL,3.98,0.4,11.3,2025-03-17 14:31:22,wsj
UMAC,7.1,0.7,11.01,2025-03-17 14:31:22,wsj
QUBT,7.85,0.76,10.72,2025-03-17 14:31:22,wsj
LUD,4.82,0.46,10.55,2025-03-17 14:31:22,wsj
MTEN,6.27,0.59,10.39,2025-03-17 14:31:22,wsj
MTSR,27.78,2.58,10.21,2025-03-17 14:31:22,wsj
SAIC,115.06,10.63,10.17,2025-03-17 14:31:22,wsj
LZMH,10.14,0.92,9.91,2025-03-17 14:31:22,wsj
UBXG,4.28,0.38,9.76,2025-03-17 14:31:22,wsj
PSIX,33.46,2.97,9.73,2025-03-17 14:31:22,wsj
KSCP,4.71,0.41,9.57,2025-03-17 14:31:22,wsj
QFIN,47.0,3.81,8.82,2025-03-17 14:31:22,wsj
PLX,2.44,0.2,8.71,2025-03-17 14:31:22,wsj
CIA,5.05,0.38,8.14,2025-03-17 14:31:22,wsj
VRA,2.66,0.2,8.13,2025-03-17 14:31:22,wsj
CLMT,13.04,0.98,8.13,2025-03-17 14:31:22,wsj
JFIN,12.78,0.96,8.12,2025-03-17 14:31:22,wsj
KMTS,23.0,1.73,8.11,2025-03-17 14:31:22,wsj
JTAI,4.64,0.34,7.91,2025-03-17 14:31:22,wsj
INTC,25.95,1.9,7.88,2025-03-17 14:31:22,wsj
ASND,164.6,11.63,7.6,2025-03-17 14:31:22,wsj
IPI,28.59,2.02,7.59,2025-03-17 14:31:22,wsj
FTK,10.12,0.7,7.48,2025-03-17 14:31:22,wsj
BTG,3.18,0.22,7.43,2025-03-17 14:31:22,wsj
PPTA,10.56,0.72,7.32,2025-03-17 14:31:22,wsj
CALM,89.07,6.04,7.27,2025-03-17 14:31:22,wsj
LAES,3.56,0.24,7.23,2025-03-17 14:31:22,wsj
UFG,5.12,0.34,7.13,2025-03-17 14:31:22,wsj
LMNR,19.79,1.28,6.92,2025-03-17 14:31:22,wsj
HPP,2.94,0.18,6.73,2025-03-17 14:31:22,wsj
SNCR,11.61,0.72,6.61,2025-03-17 14:31:22,wsj
AEO,11.76,0.7,6.37,2025-03-17 14:31:22,wsj
CSAI,5.42,0.32,6.27,2025-03-17 14:31:22,wsj
GANX,2.24,0.13,6.16,2025-03-17 14:31:22,wsj
GTE,5.05,0.29,6.09,2025-03-17 14:31:22,wsj
BBCP,5.98,0.34,6.03,2025-03-17 14:31:22,wsj
CELH,28.69,1.61,5.95,2025-03-17 14:31:22,wsj
SRFM,3.88,0.21,5.86,2025-03-17 14:31:22,wsj
GDEN,27.7,1.53,5.85,2025-03-17 14:31:22,wsj
JKS,23.07,1.27,5.83,2025-03-17 14:31:22,wsj
ORLA,9.21,0.5,5.74,2025-03-17 14:31:22,wsj
JUNE,6.09,0.33,5.73,2025-03-17 14:31:22,wsj
UEC,5.37,0.29,5.71,2025-03-17 14:31:22,wsj
AMRC,11.14,0.6,5.69,2025-03-17 14:31:22,wsj
DEC,12.63,0.68,5.69,2025-03-17 14:31:22,wsj
DOYU,9.29,0.5,5.69,2025-03-17 14:31:22,wsj
BBNX,15.5,0.83,5.66,2025-03-17 14:31:22,wsj
PLCE,8.84,0.47,5.62,2025-03-17 14:31:22,wsj
UPLD,3.27,0.17,5.48,2025-03-17 14:31:22,wsj
PTLO,12.98,0.66,5.36,2025-03-17 14:31:22,wsj
ANDE,44.16,2.25,5.36,2025-03-17 14:31:22,wsj
YRD,7.73,0.39,5.3,2025-03-17 14:31:22,wsj
SNDK,57.7,2.88,5.24,2025-03-17 14:31:22,wsj
VSCO,19.54,0.97,5.22,2025-03-17 14:31:22,wsj
RCAT,5.96,0.29,5.21,2025-03-17 14:31:22,wsj
OUST,8.38,0.41,5.21,2025-03-17 14:31:22,wsj
HII,206.26,10.11,5.15,2025-03-17 14:31:22,wsj
M,13.75,0.67,5.12,2025-03-17 14:31:22,wsj
MNSO,21.74,1.05,5.07,2025-03-17 14:31:22,wsj
VRNA,64.5,3.12,5.07,2025-03-17 14:31:22,wsj
PAYC,218.52,10.53,5.06,2025-03-17 14:31:22,wsj
AMBR,12.48,0.6,5.05,2025-03-17 14:31:22,wsj
BVN,15.58,0.74,4.99,2025-03-17 14:31:22,wsj
EEX,4.29,0.2,4.89,2025-03-17 14:31:22,wsj
BIDU,98.39,4.57,4.87,2025-03-17 14:31:22,wsj
ALAR,7.8,0.36,4.84,2025-03-17 14:31:22,wsj
NFE,9.72,0.46,4.91,2025-03-17 14:31:22,wsj
YOSH,21.16,0.97,4.8,2025-03-17 14:31:22,wsj
AISP,3.94,0.18,4.79,2025-03-17 14:31:22,wsj
FL,16.42,0.74,4.72,2025-03-17 14:31:22,wsj
IAC,46.64,2.08,4.67,2025-03-17 14:31:22,wsj
GFR,5.2,0.23,4.63,2025-03-17 14:31:22,wsj
ENOV,38.76,1.71,4.62,2025-03-17 14:31:22,wsj
CVI,20.1,0.88,4.55,2025-03-17 14:31:22,wsj
BHE,41.08,1.77,4.52,2025-03-17 14:31:22,wsj
KTOS,31.8,1.37,4.5,2025-03-17 14:31:22,wsj
BXP,68.45,2.94,4.49,2025-03-17 14:31:22,wsj
FINV,9.1,0.39,4.48,2025-03-17 14:31:22,wsj
EVER,27.8,1.19,4.45,2025-03-17 14:31:22,wsj
