,symbol,price,price_change,price_percent_change,timestamp
0,ADTX,7.36,2.98,68.31,2025-03-18 14:31:20
1,HMR,3.73,1.03,38.15,2025-03-18 14:31:20
2,HROW,27.79,4.47,19.17,2025-03-18 14:31:20
3,NIU,4.16,0.65,18.5,2025-03-18 14:31:20
4,USAR,16.5,2.37,16.77,2025-03-18 14:31:20
5,LZMH,11.84,1.68,16.47,2025-03-18 14:31:20
6,FINV,10.49,1.37,15.02,2025-03-18 14:31:20
7,PHH,9.02,1.13,14.32,2025-03-18 14:31:20
8,PHAT,5.5,0.66,13.64,2025-03-18 14:31:20
9,LAZR,7.29,0.87,13.55,2025-03-18 14:31:20
10,BJDX,4.6,0.53,13.02,2025-03-18 14:31:20
11,TIGR,8.98,1.01,12.67,2025-03-18 14:31:20
12,RGC,20.81,2.31,12.49,2025-03-18 14:31:20
13,IHS,4.39,0.48,12.28,2025-03-18 14:31:20
14,LCID,2.42,0.26,11.81,2025-03-18 14:31:20
15,ESLT,411.0,41.74,11.3,2025-03-18 14:31:20
16,TNXP,17.88,1.6,9.83,2025-03-18 14:31:20
17,WKHS,2.23,0.2,9.81,2025-03-18 14:31:20
18,LAR,2.51,0.21,9.13,2025-03-18 14:31:20
19,MRP,23.98,1.98,9.0,2025-03-18 14:31:20
20,BHAT,2.75,0.22,8.7,2025-03-18 14:31:20
21,CNL,9.25,0.72,8.44,2025-03-18 14:31:20
22,HYMC,3.2,0.24,8.24,2025-03-18 14:31:20
23,CVEO,22.35,1.61,7.76,2025-03-18 14:31:20
24,CANG,4.59,0.33,7.75,2025-03-18 14:31:20
25,MTSR,30.5,2.12,7.47,2025-03-18 14:31:20
26,HRTG,13.72,0.93,7.27,2025-03-18 14:31:20
27,YHC,2.26,0.14,6.6,2025-03-18 14:31:20
28,TME,13.9,0.83,6.39,2025-03-18 14:31:20
29,COEP,9.03,0.53,6.24,2025-03-18 14:31:20
30,WLDS,2.56,0.15,6.19,2025-03-18 14:31:20
31,ORN,5.92,0.34,6.09,2025-03-18 14:31:20
32,DRD,14.24,0.75,5.56,2025-03-18 14:31:20
33,AFCG,6.65,0.35,5.56,2025-03-18 14:31:20
34,BRFS,3.36,0.17,5.49,2025-03-18 14:31:20
35,MUX,7.94,0.41,5.44,2025-03-18 14:31:20
36,CRVO,9.51,0.46,5.08,2025-03-18 14:31:20
37,WOW,4.46,0.21,4.94,2025-03-18 14:31:20
38,QUBT,8.41,0.39,4.86,2025-03-18 14:31:20
39,AIFF,5.48,0.25,4.78,2025-03-18 14:31:20
40,YALA,5.18,0.23,4.75,2025-03-18 14:31:20
41,CCIR,12.04,0.54,4.7,2025-03-18 14:31:20
42,CNX,32.13,1.4,4.56,2025-03-18 14:31:20
43,CDE,6.72,0.29,4.51,2025-03-18 14:31:20
44,MLYS,14.86,0.64,4.5,2025-03-18 14:31:20
45,RGNX,7.31,0.31,4.43,2025-03-18 14:31:20
46,SBSW,4.27,0.18,4.4,2025-03-18 14:31:20
47,DCTH,13.77,0.58,4.4,2025-03-18 14:31:20
48,BTU,13.92,0.57,4.27,2025-03-18 14:31:20
49,LENZ,24.59,1.0,4.24,2025-03-18 14:31:20
50,MBC,13.95,0.56,4.18,2025-03-18 14:31:20
51,MX,4.04,0.16,4.12,2025-03-18 14:31:20
52,MLTX,40.23,1.56,4.03,2025-03-18 14:31:20
53,CTGO,11.09,0.43,4.03,2025-03-18 14:31:20
54,IVP,2.09,0.08,3.98,2025-03-18 14:31:20
55,IBTA,41.57,1.59,3.98,2025-03-18 14:31:20
56,AG,7.37,0.28,3.95,2025-03-18 14:31:20
57,KRMN,35.34,1.32,3.88,2025-03-18 14:31:20
58,TURN,3.82,0.14,3.8,2025-03-18 14:31:20
59,TMCI,8.27,0.3,3.76,2025-03-18 14:31:20
60,AU,34.2,1.21,3.65,2025-03-18 14:31:20
61,NIO,5.22,0.18,3.68,2025-03-18 14:31:20
62,EDU,52.6,1.8,3.55,2025-03-18 14:31:20
63,OPRX,8.56,0.29,3.51,2025-03-18 14:31:20
64,DB,24.78,0.83,3.49,2025-03-18 14:31:20
65,NRXP,2.12,0.07,3.41,2025-03-18 14:31:20
66,ALDX,6.52,0.2,3.25,2025-03-18 14:31:20
67,IPGP,65.39,2.07,3.27,2025-03-18 14:31:20
68,EXK,4.96,0.15,3.23,2025-03-18 14:31:20
69,RIVN,11.38,0.35,3.22,2025-03-18 14:31:20
70,PCT,7.7,0.24,3.22,2025-03-18 14:31:20
71,VVX,50.68,1.53,3.12,2025-03-18 14:31:20
72,PROP,6.0,0.18,3.12,2025-03-18 14:31:20
73,CNR,74.25,2.21,3.07,2025-03-18 14:31:20
74,CALX,34.41,1.02,3.05,2025-03-18 14:31:20
75,FSM,5.92,0.17,3.04,2025-03-18 14:31:20
76,ALHC,16.58,0.49,3.03,2025-03-18 14:31:20
77,AHH,7.88,0.23,2.94,2025-03-18 14:31:20
78,OIS,5.24,0.14,2.85,2025-03-18 14:31:20
79,ORGO,5.11,0.14,2.82,2025-03-18 14:31:20
80,ERO,13.56,0.37,2.81,2025-03-18 14:31:20
81,VEON,46.0,1.25,2.79,2025-03-18 14:31:20
82,GFI,21.21,0.56,2.71,2025-03-18 14:31:20
83,SA,12.24,0.32,2.68,2025-03-18 14:31:20
84,PGRE,4.22,0.11,2.68,2025-03-18 14:31:20
85,ZIM,18.92,0.49,2.66,2025-03-18 14:31:20
86,BTG,3.32,0.09,2.63,2025-03-18 14:31:20
87,SAN,7.06,0.18,2.62,2025-03-18 14:31:20
88,CGAU,6.14,0.15,2.59,2025-03-18 14:31:20
89,GRAB,4.57,0.12,2.58,2025-03-18 14:31:20
90,MLGO,4.07,0.1,2.52,2025-03-18 14:31:20
91,REBN,4.89,0.12,2.52,2025-03-18 14:31:20
92,OMER,8.73,0.21,2.46,2025-03-18 14:31:20
93,WTW,336.34,8.02,2.44,2025-03-18 14:31:20
94,SVM,4.25,0.1,2.41,2025-03-18 14:31:20
95,IMTX,5.1,0.12,2.41,2025-03-18 14:31:20
96,WHD,46.78,1.08,2.37,2025-03-18 14:31:20
97,EXE,108.06,2.48,2.35,2025-03-18 14:31:20
98,MAC,17.51,0.4,2.34,2025-03-18 14:31:20
99,OI,12.31,0.28,2.33,2025-03-18 14:31:20
