symbol,price,price_change,price_percent_change,timestamp,source
HSAI,22.3,2.5,12.63,2025-03-17 21:01:10,yahoo
MHVIY,39.27,4.25,12.14,2025-03-17 21:01:10,yahoo
TXHPF,20.03,2.03,11.31,2025-03-17 21:01:10,yahoo
CELH,29.93,2.85,10.52,2025-03-17 21:01:10,yahoo
CALM,91.7,8.67,10.44,2025-03-17 21:01:10,yahoo
QBTS,11.18,1.03,10.15,2025-03-17 21:01:10,yahoo
ASND,168.84,15.86,10.37,2025-03-17 21:01:10,yahoo
ENPH,63.8,5.67,9.75,2025-03-17 21:01:10,yahoo
DLO,9.42,0.8,9.28,2025-03-17 21:01:10,yahoo
QFIN,47.13,3.94,9.12,2025-03-17 21:01:10,yahoo
BIDU,102.27,8.45,9.01,2025-03-17 21:01:10,yahoo
AEO,12.03,0.97,8.77,2025-03-17 21:01:10,yahoo
RNA,33.83,2.72,8.74,2025-03-17 21:01:10,yahoo
UEC,5.52,0.44,8.66,2025-03-17 21:01:10,yahoo
TNXP,16.28,1.28,8.53,2025-03-17 21:01:10,yahoo
SGBAF,6.5,0.51,8.51,2025-03-17 21:01:10,yahoo
VRNA,66.56,5.17,8.42,2025-03-17 21:01:10,yahoo
TCOM,66.67,4.94,8.0,2025-03-17 21:01:10,yahoo
LION,8.19,0.6,7.91,2025-03-17 21:01:10,yahoo
NFE,9.99,0.73,7.88,2025-03-17 21:01:10,yahoo
RXRX,6.84,0.49,7.72,2025-03-17 21:01:10,yahoo
TAL,14.32,1.02,7.67,2025-03-17 21:01:10,yahoo
YOU,26.37,1.85,7.54,2025-03-17 21:01:10,yahoo
CVI,20.68,1.45,7.54,2025-03-17 21:01:10,yahoo
PBF,22.3,1.56,7.52,2025-03-17 21:01:10,yahoo
LITE,68.31,4.7,7.39,2025-03-17 21:01:10,yahoo
MTSUY,18.84,1.26,7.17,2025-03-17 21:01:10,yahoo
SAIC,111.9,7.47,7.15,2025-03-17 21:01:10,yahoo
HOOD,42.02,2.78,7.08,2025-03-17 21:01:10,yahoo
OTLY,9.46,0.62,7.01,2025-03-17 21:01:10,yahoo
INTC,25.69,1.64,6.82,2025-03-17 21:01:10,yahoo
CDE,6.43,0.4,6.63,2025-03-17 21:01:10,yahoo
PAGS,8.32,0.51,6.53,2025-03-17 21:01:10,yahoo
VEON,44.75,2.71,6.45,2025-03-17 21:01:10,yahoo
XIACF,7.41,0.44,6.31,2025-03-17 21:01:10,yahoo
SSUMY,24.8,1.47,6.3,2025-03-17 21:01:10,yahoo
AG,7.09,0.41,6.14,2025-03-17 21:01:10,yahoo
ORLA,9.24,0.53,6.08,2025-03-17 21:01:10,yahoo
AES,13.05,0.74,6.01,2025-03-17 21:01:10,yahoo
LKNCY,35.63,2.02,6.01,2025-03-17 21:01:10,yahoo
XIACY,36.97,2.09,5.99,2025-03-17 21:01:10,yahoo
YMM,13.68,0.77,5.96,2025-03-17 21:01:10,yahoo
TWST,42.34,2.38,5.96,2025-03-17 21:01:10,yahoo
GEV,331.96,18.33,5.84,2025-03-17 21:01:10,yahoo
ENOV,39.19,2.14,5.78,2025-03-17 21:01:10,yahoo
LMND,36.98,2.01,5.75,2025-03-17 21:01:10,yahoo
IAC,47.12,2.56,5.75,2025-03-17 21:01:10,yahoo
TEM,49.87,2.7,5.72,2025-03-17 21:01:10,yahoo
MPWR,640.64,34.58,5.71,2025-03-17 21:01:10,yahoo
YETI,34.0,1.83,5.69,2025-03-17 21:01:10,yahoo
TKAMY,10.05,0.54,5.68,2025-03-17 21:01:10,yahoo
RKT,15.71,0.84,5.65,2025-03-17 21:01:10,yahoo
DPZ,449.6,24.02,5.64,2025-03-17 21:01:10,yahoo
SQM,45.5,2.43,5.64,2025-03-17 21:01:10,yahoo
HII,207.13,10.97,5.59,2025-03-17 21:01:10,yahoo
M,13.81,0.73,5.58,2025-03-17 21:01:10,yahoo
LTH,30.33,1.59,5.53,2025-03-17 21:01:10,yahoo
LIVN,41.41,2.17,5.53,2025-03-17 21:01:10,yahoo
ALB,79.34,4.11,5.46,2025-03-17 21:01:10,yahoo
XP,15.46,0.79,5.39,2025-03-17 21:01:10,yahoo
HGV,36.8,1.88,5.38,2025-03-17 21:01:10,yahoo
CART,40.64,2.07,5.37,2025-03-17 21:01:10,yahoo
CROX,103.87,5.27,5.34,2025-03-17 21:01:10,yahoo
RDNT,49.02,2.48,5.33,2025-03-17 21:01:10,yahoo
