symbol,price,price_change,price_percent_change,timestamp,source
INTC,24.01,3.33,16.1,2025-03-13 14:29:39,yahoo
FN,223.97,22.09,10.94,2025-03-13 14:29:39,yahoo
DLTR,66.45,4.53,7.32,2025-03-13 14:29:39,yahoo
DG,80.28,5.43,7.25,2025-03-13 14:29:39,yahoo
ALGM,26.33,1.39,5.55,2025-03-13 14:29:39,yahoo
MRCY,44.18,2.08,4.94,2025-03-13 14:29:39,yahoo
OII,20.15,0.79,4.08,2025-03-13 14:29:39,yahoo
CTRE,28.07,1.06,3.92,2025-03-13 14:29:39,yahoo
BIDU,95.91,3.51,3.8,2025-03-13 14:29:39,yahoo
FIS,70.59,2.47,3.62,2025-03-13 14:29:39,yahoo
CNTA,17.53,0.47,2.75,2025-03-13 14:29:39,yahoo
RNA,33.71,1.1,3.37,2025-03-13 14:29:39,yahoo
ORLA,8.12,0.28,3.5,2025-03-13 14:29:39,yahoo
SSRM,10.6,0.36,3.52,2025-03-13 14:29:39,yahoo
F,9.93,0.34,3.49,2025-03-13 14:29:39,yahoo
AES,12.27,0.44,3.68,2025-03-13 14:29:39,yahoo
NEM,45.08,1.45,3.32,2025-03-13 14:29:39,yahoo
SCCO,93.4,3.07,3.39,2025-03-13 14:29:39,yahoo
PAGS,7.6,0.23,3.12,2025-03-13 14:29:39,yahoo
FCX,38.01,1.24,3.36,2025-03-13 14:29:39,yahoo
EGO,15.12,0.47,3.21,2025-03-13 14:29:39,yahoo
MRNA,35.92,0.92,2.61,2025-03-13 14:29:39,yahoo
AMBA,53.59,1.59,3.06,2025-03-13 14:29:39,yahoo
HBM,7.47,0.2,2.75,2025-03-13 14:29:39,yahoo
TGTX,38.34,1.11,2.98,2025-03-13 14:29:39,yahoo
