,symbol,price,price_change,price_percent_change,timestamp
0,ADTX,7.45,3.08,70.48,2025-03-18 17:30:21
1,HMR,3.87,1.17,43.33,2025-03-18 17:30:21
2,BHAT,3.56,1.03,40.66,2025-03-18 17:30:21
3,PHH,9.87,1.98,25.1,2025-03-18 17:30:21
4,GRO,3.32,0.65,24.16,2025-03-18 17:30:21
5,ELAB,5.24,1.0,23.73,2025-03-18 17:30:21
6,RGC,22.34,3.83,20.73,2025-03-18 17:30:21
7,SMTK,3.37,0.57,20.29,2025-03-18 17:30:21
8,WKSP,4.18,0.7,20.07,2025-03-18 17:30:21
9,HURA,2.9,0.48,19.83,2025-03-18 17:30:21
10,TNXP,19.51,3.23,19.83,2025-03-18 17:30:21
11,MI,2.6,0.4,18.18,2025-03-18 17:30:21
12,PHAT,5.7,0.86,17.77,2025-03-18 17:30:21
13,TIGR,9.37,1.4,17.56,2025-03-18 17:30:21
14,YHC,2.49,0.37,17.45,2025-03-18 17:30:21
15,FINV,10.7,1.58,17.38,2025-03-18 17:30:21
16,USAR,16.57,2.44,17.23,2025-03-18 17:30:21
17,ALTI,2.94,0.42,16.67,2025-03-18 17:30:21
18,HROW,26.45,3.13,13.42,2025-03-18 17:30:21
19,TME,14.76,1.7,13.02,2025-03-18 17:30:21
20,MTEN,8.71,1.0,12.97,2025-03-18 17:30:21
21,LCID,2.43,0.27,12.5,2025-03-18 17:30:21
22,HFFG,2.74,0.3,12.3,2025-03-18 17:30:21
23,NIU,3.94,0.43,12.25,2025-03-18 17:30:21
24,OPRX,9.25,0.98,11.87,2025-03-18 17:30:21
25,ESLT,413.0,43.74,11.85,2025-03-18 17:30:21
26,HYMC,3.3,0.34,11.6,2025-03-18 17:30:21
27,LAR,2.56,0.27,11.52,2025-03-18 17:30:21
28,MRP,24.52,2.52,11.48,2025-03-18 17:30:21
29,CRVO,10.03,0.98,10.83,2025-03-18 17:30:21
30,ZEPP,3.54,0.34,10.82,2025-03-18 17:30:21
31,RGNX,7.74,0.73,10.5,2025-03-18 17:30:21
32,HRTG,14.13,1.34,10.47,2025-03-18 17:30:21
33,FEAM,4.08,0.37,9.97,2025-03-18 17:30:21
34,WOW,4.64,0.39,9.17,2025-03-18 17:30:21
35,JTAI,5.14,0.43,9.13,2025-03-18 17:30:21
36,LAZR,7.0,0.58,9.03,2025-03-18 17:30:21
37,ABVX,6.54,0.54,9.0,2025-03-18 17:30:21
38,CNL,9.28,0.75,8.79,2025-03-18 17:30:21
39,IHS,4.25,0.34,8.69,2025-03-18 17:30:21
40,QUBT,8.7,0.68,8.48,2025-03-18 17:30:21
41,CANG,4.62,0.35,8.33,2025-03-18 17:30:21
42,ESEA,29.53,2.18,7.98,2025-03-18 17:30:21
43,TRVI,7.04,0.5,7.65,2025-03-18 17:30:21
44,NEXT,7.8,0.55,7.59,2025-03-18 17:30:21
45,USAU,10.19,0.72,7.59,2025-03-18 17:30:21
46,BTMD,4.3,0.3,7.58,2025-03-18 17:30:21
47,NRXP,2.2,0.15,7.32,2025-03-18 17:30:21
48,ALDX,6.77,0.46,7.26,2025-03-18 17:30:21
49,DRD,14.45,0.96,7.12,2025-03-18 17:30:21
50,BRFS,3.41,0.22,6.9,2025-03-18 17:30:21
51,LPTH,2.24,0.14,6.67,2025-03-18 17:30:21
52,SBSW,4.35,0.26,6.36,2025-03-18 17:30:21
53,TMCI,8.47,0.5,6.27,2025-03-18 17:30:21
54,GOGO,6.88,0.41,6.26,2025-03-18 17:30:21
55,INVE,3.4,0.2,6.25,2025-03-18 17:30:21
56,CCIR,12.21,0.71,6.17,2025-03-18 17:30:21
57,AMRC,12.26,0.7,6.06,2025-03-18 17:30:21
58,COEP,9.0,0.5,5.88,2025-03-18 17:30:21
59,YALA,5.24,0.29,5.86,2025-03-18 17:30:21
60,LZMH,10.75,0.58,5.7,2025-03-18 17:30:21
61,PROP,6.15,0.33,5.67,2025-03-18 17:30:21
62,CVEO,21.89,1.15,5.54,2025-03-18 17:30:21
63,MTSR,29.94,1.55,5.48,2025-03-18 17:30:21
64,SPCE,3.66,0.19,5.48,2025-03-18 17:30:21
65,EVTL,4.28,0.22,5.42,2025-03-18 17:30:21
66,ALHC,16.93,0.84,5.25,2025-03-18 17:30:21
67,ORN,5.87,0.29,5.2,2025-03-18 17:30:21
68,JVA,5.08,0.24,5.02,2025-03-18 17:30:21
69,MAZE,12.06,0.57,4.96,2025-03-18 17:30:21
70,LENZ,24.74,1.15,4.87,2025-03-18 17:30:21
71,UPLD,3.3,0.15,4.76,2025-03-18 17:30:21
72,VLN,2.22,0.1,4.72,2025-03-18 17:30:21
73,SEI,21.42,0.96,4.72,2025-03-18 17:30:21
74,AISP,4.27,0.19,4.66,2025-03-18 17:30:21
75,MUX,7.88,0.35,4.65,2025-03-18 17:30:21
76,ASUR,9.97,0.44,4.62,2025-03-18 17:30:21
77,RCEL,9.44,0.41,4.6,2025-03-18 17:30:21
78,EXK,5.02,0.22,4.58,2025-03-18 17:30:21
79,NIO,5.26,0.23,4.57,2025-03-18 17:30:21
80,RIVN,11.52,0.49,4.49,2025-03-18 17:30:21
